case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
A010,uniform,0.9,0.0,0.02,0.0,0.0,0.0,0,0.0,4.46038e-05,0.00218559,0.0200717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A010,uniform,0.9,0.0,0.02,0.0,0.1,2.631578947368421,1,4.95873e-07,4.21719e-05,0.00218359,0.0200559,1.48695e-05,5.44168e-07,1.70572e-08,5.28273e-10,4.89871e-12,4.22019e-14,7.34552e-15,1.55489e-09,5.51295e-10
A010,uniform,0.9,0.0,0.02,0.0,0.400001,10.526342105263158,2,6.79824e-06,3.61051e-05,0.00217791,0.0200118,5.06435e-05,4.09501e-06,3.56995e-07,4.00748e-08,1.44528e-09,1.29488e-11,1.21453e-11,3.13209e-09,6.55835e-10
A010,uniform,0.9,0.0,0.02,0.0,0.700003,18.42113157894737,3,1.78531e-05,3.17992e-05,0.00217304,0.019975,7.28091e-05,6.97971e-06,9.24017e-07,1.64385e-07,9.92229e-09,1.01959e-10,1.51926e-10,4.0963e-09,8.24994e-10
A010,uniform,0.9,0.0,0.02,0.0,1.0,26.31578947368421,4,3.13257e-05,2.87576e-05,0.00216896,0.019945,8.47101e-05,8.92294e-06,1.48749e-06,3.41314e-07,2.77571e-08,3.28928e-10,6.00906e-10,5.20091e-09,1.01386e-09
A010,uniform,0.9,0.0,0.02,0.0,1.3,34.21052631578947,5,4.57508e-05,2.65147e-05,0.00216546,0.0199201,9.00486e-05,1.02613e-05,1.98413e-06,5.37853e-07,5.3497e-08,7.18618e-10,1.46431e-09,6.36529e-09,1.20744e-09
A010,uniform,0.9,0.0,0.02,0.0,1.60001,42.10552631578948,6,6.02608e-05,2.47884e-05,0.00216239,0.0198987,9.13473e-05,1.12387e-05,2.4107e-06,7.37356e-07,8.50911e-08,1.2734e-09,2.77454e-09,7.5435e-09,1.39842e-09
A010,uniform,0.9,0.0,0.02,0.0,2.00001,52.63184210526316,7,7.88589e-05,2.30067e-05,0.00215876,0.019874,8.95616e-05,1.21953e-05,2.89029e-06,9.96872e-07,1.33736e-07,2.2549e-09,5.22089e-09,9.00159e-09,1.64011e-09
A010,uniform,0.9,0.0,0.02,0.0,2.50001,65.78973684210527,8,0.000100193,2.13186e-05,0.00215475,0.0198475,8.45839e-05,1.30944e-05,3.38048e-06,1.3044e-06,2.01753e-07,3.83878e-09,9.36365e-09,1.07911e-08,1.91708e-09
A010,uniform,0.9,0.0,0.02,0.0,3.00001,78.94763157894737,9,0.000119125,2.00166e-05,0.00215113,0.0198242,7.85403e-05,1.38104e-05,3.78279e-06,1.59204e-06,2.7524e-07,5.77935e-09,1.46522e-08,1.25098e-08,2.16425e-09
A010,uniform,0.9,0.0,0.02,0.0,4.00002,105.26368421052632,10,0.000149716,1.80965e-05,0.00214461,0.0197835,6.73655e-05,1.48754e-05,4.42384e-06,2.11624e-06,4.34913e-07,1.05239e-08,2.8612e-08,1.54015e-08,2.56462e-09
A010,uniform,0.9,0.0,0.02,0.0,5.00002,131.57947368421054,11,0.000172896,1.67375e-05,0.00213871,0.0197478,5.8446e-05,1.57288e-05,4.918e-06,2.58418e-06,6.06199e-07,1.62368e-08,4.6957e-08,1.79676e-08,2.87591e-09
