case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
B004,uniform,0.8,0.0,0.0,0.2,0.0,0.0,0,0.00446705,0.0,0.0,0.0178682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B004,uniform,0.8,0.0,0.0,0.2,0.1,2.631578947368421,1,0.00446444,6.13793e-11,8.64987e-24,0.0178678,3.79858e-07,2.4028500000000002e-29,1.09695e-32,3.88428e-36,0.0,0.0,0.0,5.30418e-09,2.55843e-08
B004,uniform,0.8,0.0,0.0,0.2,0.400001,10.526342105263158,2,0.00445675,9.91385e-10,8.00628e-21,0.0178665,1.38846e-06,4.01482e-25,2.46745e-28,3.4917e-31,4.86454e-35,5.28096e-35,0.0,4.82475e-08,2.59776e-08
B004,uniform,0.8,0.0,0.0,0.2,0.700002,18.42110526315789,3,0.00444925,3.03176e-09,1.17951e-19,0.0178652,2.21253e-06,1.85344e-23,1.44639e-26,3.56779e-29,8.6782e-33,9.4009e-33,3.62341e-36,9.57226e-08,2.59748e-08
B004,uniform,0.8,0.0,0.0,0.2,1.0,26.31578947368421,4,0.0044419,6.17104e-09,6.33546e-19,0.017864,2.88581e-06,2.03718e-22,1.95447e-25,6.894470000000001e-28,2.3942e-31,2.58794e-31,1.4940600000000002e-34,1.40204e-07,2.59705e-08
B004,uniform,0.8,0.0,0.0,0.2,1.3,34.21052631578947,5,0.00443467,1.04041e-08,2.13833e-18,0.0178627,3.43627e-06,1.15629e-21,1.3274200000000002e-24,6.0994799999999994e-27,2.75669e-30,2.9736700000000002e-30,2.2939999999999998e-33,1.81325e-07,2.59663e-08
B004,uniform,0.8,0.0,0.0,0.2,1.6,42.10526315789474,6,0.00442755,1.57208e-08,5.529910000000001e-18,0.0178615,3.88664e-06,4.49241e-21,6.0337800000000005e-24,3.4171e-26,1.9054200000000002e-29,2.05133e-29,1.98375e-32,2.19288e-07,2.59614e-08
B004,uniform,0.8,0.0,0.0,0.2,2.0,52.631578947368425,7,0.00441818,2.44772e-08,1.51494e-17,0.0178598,4.36279e-06,1.90191e-20,3.0629700000000003e-23,2.17501e-25,1.52008e-28,1.6326500000000001e-28,2.01093e-31,2.65412e-07,2.59484e-08
B004,uniform,0.8,0.0,0.0,0.2,2.50001,65.78973684210527,8,0.00440661,3.80712e-08,4.09341e-17,0.0178577,4.80503e-06,7.93476e-20,1.54962e-22,1.3810200000000002e-24,1.21078e-27,1.2967299999999999e-27,2.0322100000000002e-30,3.16566e-07,2.5934e-08
B004,uniform,0.8,0.0,0.0,0.2,3.00001,78.94763157894737,9,0.00439518,5.45807e-08,9.12542e-17,0.0178555,5.12293e-06,2.52235e-19,5.80924e-22,6.2361100000000006e-24,6.584939999999999e-27,7.03198e-27,1.3370700000000002e-29,3.61342e-07,2.59252e-08
B004,uniform,0.8,0.0,0.0,0.2,4.00001,105.26342105263156,10,0.00437257,9.61651e-08,3.17413e-16,0.0178513,5.51872e-06,1.53837e-18,4.6418599999999996e-21,6.678720000000001e-23,9.47549e-26,1.00663e-25,2.6069400000000003e-28,4.34761e-07,2.58754e-08
B004,uniform,0.8,0.0,0.0,0.2,5.00001,131.5792105263158,11,0.00435015,1.48926e-07,8.23413e-16,0.017847,5.72998e-06,6.178440000000001e-18,2.31299e-20,4.18946e-22,7.4752000000000005e-25,7.89538e-25,2.6015499999999997e-27,4.90844e-07,2.58532e-08
B004,uniform,0.8,0.0,0.0,0.2,6.00001,157.89499999999998,12,0.00432784,2.1249e-07,1.78018e-15,0.0178428,5.84725e-06,1.9108e-17,8.558119999999999e-20,1.87004e-21,4.02959e-24,4.232320000000001e-24,1.69553e-26,5.33532e-07,2.58283e-08
B004,uniform,0.8,0.0,0.0,0.2,7.00002,184.21105263157892,13,0.00430559,2.86617e-07,3.3997e-15,0.0178385,5.91625e-06,4.9455e-17,2.58089e-19,6.61018e-21,1.67115e-23,1.7456500000000002e-23,8.26075e-26,5.65864e-07,2.58023e-08
B004,uniform,0.8,0.0,0.0,0.2,8.00002,210.52684210526317,14,0.00428339,3.7111e-07,5.93588e-15,0.0178342,5.96146e-06,1.12458e-16,6.703930000000001e-19,1.97004e-20,5.72492e-23,5.94577e-23,3.24921e-25,5.90115e-07,2.57726e-08
B004,uniform,0.8,0.0,0.0,0.2,10.0,263.15789473684214,15,0.00423905,5.70058e-07,1.498e-14,0.0178255,6.01703e-06,4.41893e-16,3.2968900000000004e-18,1.22033e-19,4.4786399999999995e-22,4.60173e-22,3.21274e-24,6.21444e-07,2.56632e-08
B004,uniform,0.8,0.0,0.0,0.2,12.0,315.7894736842105,16,0.00419478,8.07162e-07,3.1758e-14,0.0178168,6.06047e-06,1.34807e-15,1.20912e-17,5.41303e-19,2.40653e-21,2.44386e-21,2.0868400000000002e-23,6.37437e-07,2.56009e-08
B004,uniform,0.8,0.0,0.0,0.2,14.0,368.42105263157896,17,0.00415058,1.08097e-06,5.9839e-14,0.017808,6.10054e-06,3.45701e-15,3.62491e-17,1.90553e-18,9.97945e-21,1.00146e-20,1.01538e-22,6.44118e-07,2.55353e-08
B004,uniform,0.8,0.0,0.0,0.2,16.0,421.0526315789474,18,0.00410643,1.38957e-06,1.03412e-13,0.0177992,6.14004e-06,7.81046e-15,9.38023e-17,5.66651e-18,3.4250199999999996e-20,3.39528e-20,4.01547e-22,6.45233e-07,2.54682e-08
B004,uniform,0.8,0.0,0.0,0.2,18.0,473.6842105263158,19,0.00406235,1.73199e-06,1.67435e-13,0.0177903,6.17892e-06,1.60293e-14,2.16976e-16,1.48225e-17,1.01732e-19,9.963469999999999e-20,1.34911e-21,6.42999e-07,2.53989e-08
B004,uniform,0.8,0.0,0.0,0.2,20.0,526.3157894736843,20,0.00401833,2.1068e-06,2.57516e-13,0.0177814,6.21945e-06,3.04933e-14,4.59617e-16,3.50379e-17,2.69685e-19,2.60936e-19,3.99874e-21,6.38579e-07,2.53265e-08
