case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
D017,uniform,0.8,0.08,0.03,0.0,0.0,0.0,0,0.0,8.00821e-05,0.00258932,0.017796,0.0,0.0017796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D017,uniform,0.8,0.08,0.03,0.0,0.1,2.631578947368421,1,2.20442e-08,8.00031e-05,0.00258905,0.0177953,6.50368e-07,0.00177641,1.12697e-06,6.2218e-09,1.11993e-12,7.25261e-13,3.21979e-16,7.8885e-09,2.46904e-08
D017,uniform,0.8,0.08,0.03,0.0,0.400001,10.526342105263158,2,3.35786e-07,7.97656e-05,0.00258823,0.0177931,2.39017e-06,0.00176722,4.44365e-06,9.2622e-08,6.74824e-11,4.35025e-11,1.06219e-13,6.85297e-08,2.49259e-08
D017,uniform,0.8,0.08,0.03,0.0,0.700002,18.42110526315789,3,9.67793e-07,7.95278e-05,0.00258741,0.017791,3.82169e-06,0.00175816,7.67629e-06,2.62149e-07,3.44264e-10,2.20782e-10,1.01351e-12,1.29447e-07,2.49125e-08
D017,uniform,0.8,0.08,0.03,0.0,1.0,26.31578947368421,4,1.85991e-06,7.92898e-05,0.00258657,0.0177888,5.00038e-06,0.00174914,1.08383e-05,4.9948e-07,9.55774e-10,6.10138e-10,4.15992e-12,1.80629e-07,2.48965e-08
D017,uniform,0.8,0.08,0.03,0.0,1.3,34.21052631578947,5,2.96443e-06,7.90517e-05,0.00258573,0.0177866,5.97172e-06,0.00174013,1.39401e-05,7.935e-07,2.00611e-09,1.27486e-09,1.16062e-11,2.22942e-07,2.48768e-08
D017,uniform,0.8,0.08,0.03,0.0,1.6,42.10526315789474,6,4.2422e-06,7.88136e-05,0.00258489,0.0177843,6.77271e-06,0.00173113,1.69878e-05,1.13614e-06,3.58319e-09,2.26778e-09,2.59547e-11,2.57857e-07,2.48542e-08
D017,uniform,0.8,0.08,0.03,0.0,2.00001,52.63184210526316,7,6.16088e-06,7.84961e-05,0.00258376,0.0177814,7.62795e-06,0.00171916,2.0976e-05,1.65918e-06,6.63566e-09,4.17794e-09,6.11618e-11,2.95099e-07,2.48091e-08
D017,uniform,0.8,0.08,0.03,0.0,2.50001,65.78973684210527,8,8.82197e-06,7.80994e-05,0.00258233,0.0177776,8.43304e-06,0.00170424,2.5853e-05,2.40297e-06,1.21995e-08,7.63353e-09,1.42847e-10,3.30013e-07,2.47542e-08
D017,uniform,0.8,0.08,0.03,0.0,3.00001,78.94763157894737,9,1.16936e-05,7.77031e-05,0.00258089,0.0177738,9.02306e-06,0.00168937,3.06244e-05,3.23046e-06,1.99549e-08,1.24132e-08,2.83884e-10,3.55273e-07,2.47092e-08
D017,uniform,0.8,0.08,0.03,0.0,4.00001,105.26342105263156,10,1.78347e-05,7.69122e-05,0.002578,0.0177662,9.78123e-06,0.00165978,3.98748e-05,5.10095e-06,4.28508e-08,2.63665e-08,8.29045e-10,3.86736e-07,2.45615e-08
D017,uniform,0.8,0.08,0.03,0.0,5.00001,131.5792105263158,11,2.42582e-05,7.61243e-05,0.00257508,0.0177585,1.0213e-05,0.0016304,4.87931e-05,7.18982e-06,7.69009e-08,4.68305e-08,1.88479e-09,4.02809e-07,2.44628e-08
D017,uniform,0.8,0.08,0.03,0.0,6.00002,157.89526315789473,12,3.07994e-05,7.53396e-05,0.00257213,0.0177508,1.04781e-05,0.00160124,5.74133e-05,9.45195e-06,1.2327e-07,7.43114e-08,3.6619e-09,4.1075e-07,2.43597e-08
D017,uniform,0.8,0.08,0.03,0.0,7.00002,184.21105263157892,13,3.73723e-05,7.45586e-05,0.00256917,0.017743,1.06534e-05,0.00157231,6.57589e-05,1.18548e-05,1.82888e-07,1.09169e-07,6.38833e-09,4.14288e-07,2.4252e-08
D017,uniform,0.8,0.08,0.03,0.0,8.00002,210.52684210526317,14,4.3931e-05,7.37819e-05,0.00256618,0.0177351,1.07807e-05,0.00154362,7.38496e-05,1.43735e-05,2.5651e-07,1.51658e-07,1.0304e-08,4.15479e-07,2.41463e-08
D017,uniform,0.8,0.08,0.03,0.0,10.0,263.15789473684214,15,5.69279e-05,7.22416e-05,0.00256016,0.0177192,1.09602e-05,0.00148693,8.92929e-05,1.97081e-05,4.47994e-07,2.59967e-07,2.2711e-08,4.14424e-07,2.38418e-08
D017,uniform,0.8,0.08,0.03,0.0,12.0,315.7894736842105,16,6.96832e-05,7.072e-05,0.00255408,0.0177031,1.11119e-05,0.00143121,0.000103849,2.53057e-05,7.02599e-07,4.0017e-07,4.29702e-08,4.11192e-07,2.36187e-08
D017,uniform,0.8,0.08,0.03,0.0,14.0,368.42105263157896,17,8.21726e-05,6.92185e-05,0.00254794,0.0176867,1.12515e-05,0.00137647,0.000117565,3.10844e-05,1.02342e-06,5.72066e-07,7.31226e-08,4.06934e-07,2.33886e-08
D017,uniform,0.8,0.08,0.03,0.0,16.0,421.0526315789474,18,9.43869e-05,6.77382e-05,0.00254175,0.0176702,1.1386e-05,0.00132274,0.000130486,3.69737e-05,1.41277e-06,7.74895e-07,1.15361e-07,4.02154e-07,2.3157e-08
D017,uniform,0.8,0.08,0.03,0.0,18.0001,473.6868421052632,19,0.000106323,6.62801e-05,0.00253551,0.0176536,1.15175e-05,0.00127002,0.000142637,4.29219e-05,1.87226e-06,1.00746e-06,1.71725e-07,3.96851e-07,2.29176e-08
D017,uniform,0.8,0.08,0.03,0.0,20.0001,526.3184210526316,20,0.000117977,6.4845e-05,0.00252922,0.0176367,1.16454e-05,0.00121834,0.000154054,4.8877e-05,2.4031e-06,1.26826e-06,2.4427e-07,3.91091e-07,2.26744e-08
