BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,conversion_ratio,Adens_U233_initial,Adens_U235_initial,Adens_U238_initial,Adens_Th232_initial,Adens_Pa233_initial,Adens_Pu239_initial,Adens_Pu240_initial,Adens_Pu241_initial,Adens_Pu242_initial,Adens_Am241_initial,Adens_Am243_initial,Adens_Sm149_initial,Adens_Xe135_initial,Adens_U233_final,Adens_U235_final,Adens_U238_final,Adens_Th232_final,Adens_Pa233_final,Adens_Pu239_final,Adens_Pu240_final,Adens_Pu241_final,Adens_Pu242_final,Adens_Am241_final,Adens_Am243_final,Adens_Sm149_final,Adens_Xe135_final
0,A001,uniform,0.0,0.0,0.02,0.0,0.0,0.0,0.536048,0.0,0.000437187,0.0214222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A001,uniform,0.0,0.0,0.02,0.0,50.0002,1315.7947368421053,0.982676,,,,,,,,,,,,,,4.68445e-12,1.30023e-05,0.0203966,4.57561e-12,3.46261e-13,0.00010107,6.40147e-05,3.19655e-05,3.2542e-05,7.92731e-07,9.60043e-06,4.75674e-08,4.20593e-09
0,A002,uniform,0.0,0.0,0.03,0.0,0.0,0.0,0.429007,0.0,0.000655854,0.0212059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A002,uniform,0.0,0.0,0.03,0.0,50.0002,1315.7947368421053,0.900219,,,,,,,,,,,,,,9.73479e-12,4.58706e-05,0.0203352,6.3892e-12,4.26216e-13,0.000106747,6.19129e-05,3.25816e-05,2.555e-05,9.00712e-07,6.90439e-06,5.46167e-08,4.76441e-09
0,A003,uniform,0.0,0.0,0.05,0.0,0.0,0.0,0.336242,0.0,0.00109333,0.0207733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A003,uniform,0.0,0.0,0.05,0.0,50.0002,1315.7947368421053,0.677319,,,,,,,,,,,,,,2.81456e-11,0.000220025,0.0201065,8.99057e-12,4.98433e-13,0.000126224,5.48401e-05,3.34382e-05,1.4899e-05,1.15301e-06,3.43534e-06,8.38491e-08,7.19732e-09
0,A004,uniform,0.3,0.0,0.02,0.0,0.0,0.0,0.924399,0.0,0.000308069,0.0150954,0.00660147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A004,uniform,0.3,0.0,0.02,0.0,50.0002,1315.7947368421053,1.02606,,,,,,,,,,,,,,0.000123499,1.72522e-05,0.0143075,0.00612346,1.29448e-05,8.38966e-05,4.56311e-05,2.69775e-05,2.46927e-05,7.81481e-07,7.87419e-06,5.41933e-08,5.18653e-09
0,A005,uniform,0.3,0.0,0.03,0.0,0.0,0.0,0.704105,0.0,0.000462139,0.0149425,0.00660199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A005,uniform,0.3,0.0,0.03,0.0,50.0002,1315.7947368421053,0.996467,,,,,,,,,,,,,,0.00012373,3.17674e-05,0.0142277,0.00617408,1.25706e-05,8.54051e-05,4.48428e-05,2.70335e-05,2.17405e-05,8.06506e-07,6.51217e-06,5.69959e-08,5.39921e-09
0,A006,uniform,0.3,0.0,0.05,0.0,0.0,0.0,0.521734,0.0,0.000770353,0.0146367,0.00660303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A006,uniform,0.3,0.0,0.05,0.0,50.0002,1315.7947368421053,0.883307,,,,,,,,,,,,,,0.000124408,0.000101803,0.0140429,0.00625737,1.10886e-05,9.17446e-05,4.2602e-05,2.7446e-05,1.60378e-05,9.06173e-07,4.23564e-06,6.91217e-08,6.37389e-09
0,A007,uniform,0.6,0.0,0.02,0.0,0.0,0.0,1.70986,0.0,0.000177219,0.00868374,0.0132914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A007,uniform,0.6,0.0,0.02,0.0,50.0002,1315.7947368421053,1.04607,,,,,,,,,,,,,,0.000218618,1.75084e-05,0.00812258,0.0123971,2.14382e-05,5.71801e-05,2.71037e-05,1.92501e-05,1.83744e-05,5.7961e-07,6.48609e-06,5.29097e-08,5.35115e-09
0,A008,uniform,0.6,0.0,0.03,0.0,0.0,0.0,1.2254,0.0,0.000265841,0.00859552,0.013292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A008,uniform,0.6,0.0,0.03,0.0,50.0002,1315.7947368421053,1.04,,,,,,,,,,,,,,0.000218109,2.08905e-05,0.00806188,0.0124485,2.13927e-05,5.72044e-05,2.68943e-05,1.91754e-05,1.74378e-05,5.77996e-07,5.95638e-06,5.33906e-08,5.38144e-09
0,A009,uniform,0.6,0.0,0.05,0.0,0.0,0.0,0.834912,0.0,0.000443108,0.00841906,0.0132932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A009,uniform,0.6,0.0,0.05,0.0,50.0002,1315.7947368421053,1.01453,,,,,,,,,,,,,,0.000216996,3.5132e-05,0.00793756,0.0125458,2.09371e-05,5.775e-05,2.64624e-05,1.91643e-05,1.54628e-05,5.89023e-07,4.92352e-06,5.56794e-08,5.54501e-09
0,A010,uniform,0.9,0.0,0.02,0.0,0.0,0.0,6.99708,0.0,4.46038e-05,0.00218559,0.0200717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A010,uniform,0.9,0.0,0.02,0.0,50.0002,1315.7947368421053,1.04682,,,,,,,,,,,,,,0.000303419,2.11923e-05,0.00193776,0.018686,2.98425e-05,2.28704e-05,8.85403e-06,8.16491e-06,8.6637e-06,2.42974e-07,3.50347e-06,4.69509e-08,5.04027e-09
0,A011,uniform,0.9,0.0,0.03,0.0,0.0,0.0,4.73684,0.0,6.69064e-05,0.00216331,0.0200719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,A011,uniform,0.9,0.0,0.03,0.0,50.0002,1315.7947368421053,1.047,,,,,,,,,,,,,,0.00030313,2.11453e-05,0.00191918,0.0187043,2.99177e-05,2.27679e-05,8.80205e-06,8.11883e-06,8.55589e-06,2.40778e-07,3.43883e-06,4.68662e-08,5.03128e-09
0,A012,uniform,0.9,0.0,0.05,0.0,0.0,0.0,2.92577,0.0,0.000111513,0.00211875,0.0200724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
