BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,conversion_ratio,Adens_U233_initial,Adens_U235_initial,Adens_U238_initial,Adens_Th232_initial,Adens_Pa233_initial,Adens_Pu239_initial,Adens_Pu240_initial,Adens_Pu241_initial,Adens_Pu242_initial,Adens_Am241_initial,Adens_Am243_initial,Adens_Sm149_initial,Adens_Xe135_initial,Adens_U233_final,Adens_U235_final,Adens_U238_final,Adens_Th232_final,Adens_Pa233_final,Adens_Pu239_final,Adens_Pu240_final,Adens_Pu241_final,Adens_Pu242_final,Adens_Am241_final,Adens_Am243_final,Adens_Sm149_final,Adens_Xe135_final
0,B001,uniform,0.95,0.0,0.0,0.05,0.0,0.0,0.360502,0.0011174,0.0,9.304200000000001e-19,0.0212305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B001,uniform,0.95,0.0,0.0,0.05,50.0002,1315.7947368421053,0.758946,,,,,,,,,,,,,,0.000472346,2.05155e-05,1.75747e-09,0.0205482,2.46738e-05,2.90888e-09,4.77724e-10,2.71168e-10,4.40225e-11,3.6502e-12,4.39982e-12,5.6496e-08,6.0822e-09
0,B002,uniform,0.9,0.0,0.0,0.1,0.0,0.0,0.227246,0.00223437,0.0,0.0,0.0201093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B002,uniform,0.9,0.0,0.0,0.1,50.0001,1315.792105263158,0.36203,,,,,,,,,,,,,,0.0012782,1.6304e-05,1.36266e-10,0.0197379,1.20997e-05,1.77465e-10,1.49322e-11,5.69632e-12,3.38407e-13,8.93223e-14,2.14522e-14,1.53329e-07,1.40218e-08
0,B003,uniform,0.85,0.0,0.0,0.15,0.0,0.0,0.178652,0.00335092,0.0,6.200450000000001e-19,0.0189885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B003,uniform,0.85,0.0,0.0,0.15,50.0001,1315.792105263158,0.248264,,,,,,,,,,,,,,0.00229868,1.31628e-05,3.11709e-11,0.0187121,8.482e-06,3.02487e-11,1.62921e-12,4.44807e-13,1.46673e-14,7.51836e-15,7.1644e-16,3.11807e-07,2.01916e-08
0,B004,uniform,0.8,0.0,0.0,0.2,0.0,0.0,0.150647,0.00446705,0.0,0.0,0.0178682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B004,uniform,0.8,0.0,0.0,0.2,50.0001,1315.792105263158,0.196828,,,,,,,,,,,,,,0.00336596,1.10107e-05,1.13133e-11,0.0176405,6.8014e-06,8.51453e-12,3.2939e-13,6.74461e-14,1.48518e-15,1.18381e-15,5.90707e-17,5.30143e-07,2.37577e-08
0,B005,uniform,0.75,0.0,0.0,0.25,0.0,0.0,0.130664,0.00558275,0.0,0.0,0.0167482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B005,uniform,0.75,0.0,0.0,0.25,50.0001,1315.792105263158,0.164989,,,,,,,,,,,,,,0.0044498,9.41386e-06,5.14357e-12,0.016553,5.74566e-06,3.12206e-12,9.24593e-14,1.47513e-14,2.38719e-16,2.64554e-16,7.916840000000001e-18,8.13892e-07,2.58259e-08
0,B006,uniform,0.7,0.0,0.0,0.3,0.0,0.0,0.115102,0.00669803,0.0,1.23938e-18,0.0156287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B006,uniform,0.7,0.0,0.0,0.3,50.0001,1315.792105263158,0.142344,,,,,,,,,,,,,,0.00554141,8.16887e-06,2.66521e-12,0.0154581,4.97488e-06,1.35044e-12,3.1942e-14,4.06945e-15,5.13199e-17,7.40509e-17,1.44772e-18,1.16632e-06,2.70882e-08
0,B007,uniform,0.65,0.0,0.0,0.35,0.0,0.0,0.101989,0.00781289,0.0,0.0,0.0145097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B007,uniform,0.65,0.0,0.0,0.35,50.0001,1315.792105263158,0.124428,,,,,,,,,,,,,,0.0066373,7.17713e-06,1.50664e-12,0.0143592,4.35929e-06,6.51133e-13,1.26829e-14,1.3203e-15,1.35057e-17,2.42723e-17,3.28459e-19,1.58371e-06,2.79024e-08
0,B008,uniform,0.6,0.0,0.0,0.4,0.0,0.0,0.0906643,0.00892733,0.0,0.0,0.013391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B008,uniform,0.6,0.0,0.0,0.4,50.0001,1315.792105263158,0.109442,,,,,,,,,,,,,,0.00773576,6.35843e-06,9.03993e-13,0.0132578,3.84232e-06,3.40564e-13,5.58671e-15,4.83639e-16,4.1249800000000005e-18,8.95407e-18,8.734489999999999e-20,2.04997e-06,2.84523e-08
0,B009,uniform,0.55,0.0,0.0,0.45,0.0,0.0,0.0805814,0.0100413,0.0,0.0,0.0122727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B009,uniform,0.55,0.0,0.0,0.45,50.0001,1315.792105263158,0.0965461,,,,,,,,,,,,,,0.00883592,5.67214e-06,5.6931e-13,0.0121547,3.38988e-06,1.89477e-13,2.66481e-15,1.94683e-16,1.4151e-18,3.6259e-18,2.63842e-20,2.54106e-06,2.88392e-08
0,B010,uniform,0.5,0.0,0.0,0.5,0.0,0.0,0.0713904,0.0111549,0.0,0.0,0.0111549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B010,uniform,0.5,0.0,0.0,0.5,50.0001,1315.792105263158,0.0852358,,,,,,,,,,,,,,0.00993721,5.09482e-06,3.71438e-13,0.0110506,2.98761e-06,1.1074e-13,1.35518e-15,8.45438e-17,5.32267e-19,1.5812e-18,8.78865e-21,3.03396e-06,2.91204e-08
0,B011,uniform,0.45,0.0,0.0,0.55,0.0,0.0,0.0629601,0.0122681,0.0,0.0,0.0100375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B011,uniform,0.45,0.0,0.0,0.55,50.0001,1315.792105263158,0.0749557,,,,,,,,,,,,,,0.0110393,4.6017e-06,2.4958e-13,0.00994574,2.62397e-06,6.72944e-14,7.25237e-16,3.9092e-17,2.15999e-19,7.33638e-19,3.1799699999999997e-21,3.51028e-06,2.93311e-08
0,B012,uniform,0.4,0.0,0.0,0.6,0.0,0.0,0.0551087,0.0133809,0.0,0.0,0.00892057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,B012,uniform,0.4,0.0,0.0,0.6,50.0001,1315.792105263158,0.0656471,,,,,,,,,,,,,,0.0121419,4.17388e-06,1.7195e-13,0.00884035,2.28881e-06,4.23028e-14,4.05385e-16,1.90299e-17,9.337079999999999e-20,3.58301e-19,1.23207e-21,3.95822e-06,2.94928e-08
