BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,conversion_ratio,Adens_U233_initial,Adens_U235_initial,Adens_U238_initial,Adens_Th232_initial,Adens_Pa233_initial,Adens_Pu239_initial,Adens_Pu240_initial,Adens_Pu241_initial,Adens_Pu242_initial,Adens_Am241_initial,Adens_Am243_initial,Adens_Sm149_initial,Adens_Xe135_initial,Adens_U233_final,Adens_U235_final,Adens_U238_final,Adens_Th232_final,Adens_Pa233_final,Adens_Pu239_final,Adens_Pu240_final,Adens_Pu241_final,Adens_Pu242_final,Adens_Am241_final,Adens_Am243_final,Adens_Sm149_final,Adens_Xe135_final
0,C001,uniform,0.95,0.05,0.0,0.0,0.0,0.0,0.261523,0.0,0.0,9.293620000000001e-19,0.0212064,0.0,0.00111613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C001,uniform,0.95,0.05,0.0,0.0,50.0002,1315.7947368421053,0.880412,,,,,,,,,,,,,,0.000301673,6.92693e-06,4.22674e-10,0.0205386,2.39968e-05,5.0207e-05,0.000101911,7.02579e-05,3.71341e-05,3.6459e-06,9.17537e-06,8.83185e-08,7.71252e-09
0,C002,uniform,0.9,0.1,0.0,0.0,0.0,0.0,0.200141,0.0,0.0,0.0,0.0200637,0.0,0.0022293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C002,uniform,0.9,0.1,0.0,0.0,50.0001,1315.792105263158,0.502005,,,,,,,,,,,,,,0.000266563,3.11362e-06,6.72572e-11,0.0196311,1.33382e-05,0.000795725,0.000277269,0.000128117,1.63579e-05,7.54834e-06,3.56181e-06,3.65146e-07,2.03562e-08
0,C003,uniform,0.85,0.15,0.0,0.0,0.0,0.0,0.17101,0.0,0.0,6.179350000000001e-19,0.0189239,0.0,0.00333952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C003,uniform,0.85,0.15,0.0,0.0,50.0001,1315.792105263158,0.394888,,,,,,,,,,,,,,0.000238099,2.07782e-06,3.50448e-11,0.0185694,1.05903e-05,0.00181965,0.00033621,0.000126401,9.75797e-06,7.82354e-06,1.94527e-06,7.36401e-07,2.64484e-08
0,C004,uniform,0.8,0.2,0.0,0.0,0.0,0.0,0.150744,0.0,0.0,0.0,0.0177872,0.0,0.00444681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C004,uniform,0.8,0.2,0.0,0.0,50.0001,1315.792105263158,0.335167,,,,,,,,,,,,,,0.000214755,1.60192e-06,2.33778e-11,0.0174817,9.01936e-06,0.0028918,0.000365739,0.000117138,6.78797e-06,7.45226e-06,1.23422e-06,1.17185e-06,2.93849e-08
0,C005,uniform,0.75,0.25,0.0,0.0,0.0,0.0,0.134702,0.0,0.0,0.0,0.0166535,0.0,0.00555118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C005,uniform,0.75,0.25,0.0,0.0,50.0001,1315.792105263158,0.292735,,,,,,,,,,,,,,0.000194443,1.35288e-06,1.72002e-11,0.0163853,7.8673e-06,0.0039789,0.000383051,0.000107279,5.08658e-06,6.9493e-06,8.4683e-07,1.66824e-06,3.10346e-08
0,C006,uniform,0.7,0.3,0.0,0.0,0.0,0.0,0.121095,0.0,0.0,1.2309800000000002e-18,0.0155228,0.0,0.00665263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C006,uniform,0.7,0.3,0.0,0.0,50.0001,1315.792105263158,0.259317,,,,,,,,,,,,,,0.000176238,1.22269e-06,1.33479e-11,0.0152853,6.93764e-06,0.00507145,0.000393933,9.80629e-05,3.98044e-06,6.4355e-06,6.08048e-07,2.21533e-06,3.20595e-08
0,C007,uniform,0.65,0.35,0.0,0.0,0.0,0.0,0.109183,0.0,0.0,0.0,0.0143951,0.0,0.00775119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C007,uniform,0.65,0.35,0.0,0.0,50.0001,1315.792105263158,0.231529,,,,,,,,,,,,,,0.000159667,1.1637e-06,1.07101e-11,0.0141838,6.15198e-06,0.00616575,0.000400794,8.97899e-05,3.20449e-06,5.95029e-06,4.51413e-07,2.79984e-06,3.27452e-08
0,C008,uniform,0.6,0.4,0.0,0.0,0.0,0.0,0.098451,0.0,0.0,0.0,0.0132703,0.0,0.00884686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C008,uniform,0.6,0.4,0.0,0.0,50.0001,1315.792105263158,0.207877,,,,,,,,,,,,,,0.00014439,1.15116e-06,8.7879e-12,0.0130821,5.46434e-06,0.00725991,0.000405072,8.24034e-05,2.63255e-06,5.50103e-06,3.4287e-07,3.40589e-06,3.32303e-08
0,C009,uniform,0.55,0.45,0.0,0.0,0.0,0.0,0.0885128,0.0,0.0,0.0,0.0121485,0.0,0.00993966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C009,uniform,0.55,0.45,0.0,0.0,50.0001,1315.792105263158,0.187159,,,,,,,,,,,,,,0.000130193,1.16979e-06,7.33231e-12,0.011981,4.85285e-06,0.00835298,0.000407476,7.58407e-05,2.19706e-06,5.09311e-06,2.65428e-07,4.01355e-06,3.35854e-08
0,C010,uniform,0.5,0.5,0.0,0.0,0.0,0.0,0.0794024,0.0,0.0,0.0,0.0110296,0.0,0.0110296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C010,uniform,0.5,0.5,0.0,0.0,50.0001,1315.792105263158,0.168723,,,,,,,,,,,,,,0.000116914,1.21076e-06,6.19575e-12,0.0108809,4.30192e-06,0.00944433,0.000408598,6.99749e-05,1.85425e-06,4.72102e-06,2.08347e-07,4.61137e-06,3.38556e-08
0,C011,uniform,0.45,0.55,0.0,0.0,0.0,0.0,0.070911,0.0,0.0,0.0,0.00991363,0.0,0.0121167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C011,uniform,0.45,0.55,0.0,0.0,50.0001,1315.792105263158,0.152179,,,,,,,,,,,,,,0.000104399,1.26751e-06,5.29425e-12,0.00978221,3.7969e-06,0.0105336,0.000408716,6.47344e-05,1.58129e-06,4.38412e-06,1.65926e-07,5.18633e-06,3.40651e-08
0,C012,uniform,0.4,0.6,0.0,0.0,0.0,0.0,0.062835,0.0,0.0,0.0,0.0088006,0.0,0.0132009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,C012,uniform,0.4,0.6,0.0,0.0,50.0001,1315.792105263158,0.137194,,,,,,,,,,,,,,9.25361e-05,1.33623e-06,4.5611e-12,0.00868519,3.33075e-06,0.0116206,0.000408067,6.00576e-05,1.36004e-06,4.07949e-06,1.33469e-07,5.7319e-06,3.42319e-08
