BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,conversion_ratio,Adens_U233_initial,Adens_U235_initial,Adens_U238_initial,Adens_Th232_initial,Adens_Pa233_initial,Adens_Pu239_initial,Adens_Pu240_initial,Adens_Pu241_initial,Adens_Pu242_initial,Adens_Am241_initial,Adens_Am243_initial,Adens_Sm149_initial,Adens_Xe135_initial,Adens_U233_final,Adens_U235_final,Adens_U238_final,Adens_Th232_final,Adens_Pa233_final,Adens_Pu239_final,Adens_Pu240_final,Adens_Pu241_final,Adens_Pu242_final,Adens_Am241_final,Adens_Am243_final,Adens_Sm149_final,Adens_Xe135_final
0,D001,uniform,0.7,0.04,0.02,0.0,0.0,0.0,0.360989,0.0,0.000115432,0.00565617,0.0155389,0.0,0.000887939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D001,uniform,0.7,0.04,0.02,0.0,50.0002,1315.7947368421053,0.889353,,,,,,,,,,,,,,0.000248658,4.03578e-05,0.00535384,0.0150024,1.7716e-05,0.000116132,0.000113425,7.28278e-05,3.34516e-05,3.75173e-06,8.4526e-06,1.06649e-07,9.21812e-09
0,D002,uniform,0.7,0.04,0.03,0.0,0.0,0.0,0.355825,0.0,0.000173153,0.00559862,0.0155394,0.0,0.000887965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D002,uniform,0.7,0.04,0.03,0.0,50.0002,1315.7947368421053,0.863559,,,,,,,,,,,,,,0.000247686,6.04356e-05,0.00530394,0.015017,1.71896e-05,0.000124457,0.000116171,7.44163e-05,3.1846e-05,3.8722e-06,7.94396e-06,1.12774e-07,9.64238e-09
0,D003,uniform,0.7,0.04,0.05,0.0,0.0,0.0,0.345854,0.0,0.000288606,0.00548351,0.0155403,0.0,0.000888017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D003,uniform,0.7,0.04,0.05,0.0,50.0002,1315.7947368421053,0.814949,,,,,,,,,,,,,,0.000245651,0.00010605,0.00520287,0.0150431,1.62321e-05,0.000141856,0.000120653,7.69559e-05,2.88577e-05,4.07765e-06,7.04871e-06,1.25821e-07,1.05131e-08
0,D004,uniform,0.7,0.06,0.02,0.0,0.0,0.0,0.315952,0.0,0.000106544,0.00522066,0.0155377,0.0,0.0013318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D004,uniform,0.7,0.06,0.02,0.0,50.0002,1315.7947368421053,0.732842,,,,,,,,,,,,,,0.000243432,5.20715e-05,0.00496379,0.0150954,1.40456e-05,0.000317831,0.000195458,0.000106919,2.48612e-05,5.9264e-06,5.76661e-06,1.9235e-07,1.42158e-08
0,D005,uniform,0.7,0.06,0.03,0.0,0.0,0.0,0.312572,0.0,0.000159821,0.00516753,0.0155381,0.0,0.00133184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D005,uniform,0.7,0.06,0.03,0.0,50.0002,1315.7947368421053,0.71672,,,,,,,,,,,,,,0.000242327,7.77163e-05,0.00491543,0.0151025,1.37892e-05,0.000330952,0.000195467,0.00010667,2.38326e-05,5.94203e-06,5.48852e-06,2.00301e-07,1.46085e-08
0,D006,uniform,0.7,0.06,0.05,0.0,0.0,0.0,0.306132,0.0,0.000266382,0.00506126,0.015539,0.0,0.00133191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D006,uniform,0.7,0.06,0.05,0.0,50.0002,1315.7947368421053,0.686824,,,,,,,,,,,,,,0.000240085,0.000131996,0.00481822,0.0151159,1.33178e-05,0.000356454,0.000195053,0.000105933,2.19554e-05,5.95511e-06,4.99171e-06,2.16285e-07,1.53619e-08
0,D007,uniform,0.7,0.08,0.02,0.0,0.0,0.0,0.287242,0.0,9.76577e-05,0.00478523,0.0155364,0.0,0.00177559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D007,uniform,0.7,0.08,0.02,0.0,50.0002,1315.7947368421053,0.629176,,,,,,,,,,,,,,0.000236287,5.62003e-05,0.0045601,0.0151435,1.21172e-05,0.000623788,0.00024969,0.000121741,1.84399e-05,7.04525e-06,4.10477e-06,3.03781e-07,1.87126e-08
0,D008,uniform,0.7,0.08,0.03,0.0,0.0,0.0,0.284775,0.0,0.00014649,0.00473651,0.0155368,0.0,0.00177564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D008,uniform,0.7,0.08,0.03,0.0,50.0002,1315.7947368421053,0.619546,,,,,,,,,,,,,,0.000235353,8.36769e-05,0.00451481,0.0151478,1.19797e-05,0.000636907,0.000248382,0.000120764,1.78578e-05,7.00802e-06,3.94791e-06,3.12204e-07,1.89801e-08
0,D009,uniform,0.7,0.08,0.05,0.0,0.0,0.0,0.28024,0.0,0.000244162,0.00463908,0.0155376,0.0,0.00177573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D009,uniform,0.7,0.08,0.05,0.0,50.0002,1315.7947368421053,0.600915,,,,,,,,,,,,,,0.000233409,0.000140363,0.00442397,0.0151561,1.17158e-05,0.000662319,0.00024573,0.000118772,1.6762e-05,6.92786e-06,3.66519e-06,3.29107e-07,1.94943e-08
0,D010,uniform,0.8,0.04,0.02,0.0,0.0,0.0,0.356589,0.0,7.11945e-05,0.00348853,0.0177986,0.0,0.000889931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D010,uniform,0.8,0.04,0.02,0.0,50.0002,1315.7947368421053,0.919902,,,,,,,,,,,,,,0.000274857,2.62542e-05,0.00325588,0.0171842,2.05832e-05,8.5462e-05,9.88908e-05,6.67995e-05,3.52375e-05,3.4242e-06,9.08493e-06,9.51625e-08,8.42687e-09
0,D011,uniform,0.8,0.04,0.03,0.0,0.0,0.0,0.352982,0.0,0.000106794,0.003453,0.0177989,0.0,0.000889947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D011,uniform,0.8,0.04,0.03,0.0,50.0002,1315.7947368421053,0.902881,,,,,,,,,,,,,,0.000274175,3.70949e-05,0.00322457,0.0171956,2.0179e-05,8.9852e-05,0.000101057,6.8062e-05,3.4214e-05,3.51146e-06,8.74932e-06,9.86302e-08,8.67457e-09
0,D012,uniform,0.8,0.04,0.05,0.0,0.0,0.0,0.346373,0.0,0.000177996,0.00338192,0.0177996,0.0,0.00088998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D012,uniform,0.8,0.04,0.05,0.0,50.0002,1315.7947368421053,0.869371,,,,,,,,,,,,,,0.000272781,6.10527e-05,0.00316154,0.0172166,1.94096e-05,9.90583e-05,0.000104996,7.03163e-05,3.22363e-05,3.6729e-06,8.11672e-06,1.05905e-07,9.18615e-09
0,D013,uniform,0.8,0.06,0.02,0.0,0.0,0.0,0.307844,0.0,6.22902e-05,0.00305222,0.0177972,0.0,0.00133479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D013,uniform,0.8,0.06,0.02,0.0,50.0002,1315.7947368421053,0.745086,,,,,,,,,,,,,,0.000268224,3.16106e-05,0.00286079,0.0173005,1.59455e-05,0.000269417,0.000187384,0.000104838,2.64138e-05,5.78169e-06,6.17445e-06,1.7599e-07,1.33641e-08
0,D014,uniform,0.8,0.06,0.03,0.0,0.0,0.0,0.305792,0.0,9.34368e-05,0.00302112,0.0177975,0.0,0.00133481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D014,uniform,0.8,0.06,0.03,0.0,50.0002,1315.7947368421053,0.734563,,,,,,,,,,,,,,0.000267489,4.57336e-05,0.00283226,0.0173056,1.57558e-05,0.000277019,0.000187666,0.00010483,2.57514e-05,5.80009e-06,5.99591e-06,1.80477e-07,1.36024e-08
0,D015,uniform,0.8,0.06,0.05,0.0,0.0,0.0,0.301754,0.0,0.000155733,0.00295893,0.017798,0.0,0.00133485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D015,uniform,0.8,0.06,0.05,0.0,50.0002,1315.7947368421053,0.714262,,,,,,,,,,,,,,0.000265987,7.51164e-05,0.0027751,0.0173153,1.53963e-05,0.000291995,0.000188059,0.000104701,2.44943e-05,5.82848e-06,5.6645e-06,1.89515e-07,1.40685e-08
0,D016,uniform,0.8,0.08,0.02,0.0,0.0,0.0,0.277238,0.0,5.33873e-05,0.00261598,0.0177958,0.0,0.00177958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D016,uniform,0.8,0.08,0.02,0.0,50.0002,1315.7947368421053,0.62785,,,,,,,,,,,,,,0.000259553,3.191e-05,0.00245456,0.017359,1.35377e-05,0.000568216,0.000245892,0.000121815,1.94134e-05,7.02814e-06,4.35362e-06,2.84749e-07,1.80491e-08
0,D017,uniform,0.8,0.08,0.03,0.0,0.0,0.0,0.275715,0.0,8.00821e-05,0.00258932,0.017796,0.0,0.0017796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D017,uniform,0.8,0.08,0.03,0.0,50.0002,1315.7947368421053,0.622028,,,,,,,,,,,,,,0.000258963,4.6436e-05,0.00242966,0.0173617,1.34446e-05,0.000575553,0.000245279,0.000121313,1.90655e-05,7.01052e-06,4.26238e-06,2.89263e-07,1.82046e-08
0,D018,uniform,0.8,0.08,0.05,0.0,0.0,0.0,0.272994,0.0,0.000133474,0.002536,0.0177965,0.0,0.00177965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D018,uniform,0.8,0.08,0.05,0.0,50.0002,1315.7947368421053,0.610716,,,,,,,,,,,,,,0.000257761,7.60481e-05,0.00237982,0.0173671,1.3269e-05,0.000589924,0.000243987,0.000120315,1.84005e-05,6.97414e-06,4.08485e-06,2.98325e-07,1.85082e-08
0,D019,uniform,0.9,0.04,0.02,0.0,0.0,0.0,0.340585,0.0,2.6758e-05,0.00131114,0.0200685,0.0,0.000891933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D019,uniform,0.9,0.04,0.02,0.0,50.0002,1315.7947368421053,0.954626,,,,,,,,,,,,,,0.000298953,1.42101e-05,0.00117365,0.0193632,2.42915e-05,4.96473e-05,7.75177e-05,5.73171e-05,3.74544e-05,2.92068e-06,9.93039e-06,8.04933e-08,7.33987e-09
0,D020,uniform,0.9,0.04,0.03,0.0,0.0,0.0,0.338845,0.0,4.01372e-05,0.00129777,0.0200686,0.0,0.000891939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D020,uniform,0.9,0.04,0.03,0.0,50.0002,1315.7947368421053,0.948462,,,,,,,,,,,,,,0.000298664,1.75482e-05,0.00116175,0.0193687,2.41009e-05,5.07949e-05,7.85337e-05,5.78875e-05,3.70735e-05,2.95754e-06,9.79497e-06,8.15811e-08,7.41954e-09
0,D021,uniform,0.9,0.04,0.05,0.0,0.0,0.0,0.335887,0.0,6.68963e-05,0.00127103,0.0200689,0.0,0.000891951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D021,uniform,0.9,0.04,0.05,0.0,50.0002,1315.7947368421053,0.934465,,,,,,,,,,,,,,0.000298128,2.4563e-05,0.0011379,0.0193792,2.37273e-05,5.31597e-05,8.04608e-05,5.90391e-05,3.63224e-05,3.0307e-06,9.52615e-06,8.38466e-08,7.58583e-09
0,D022,uniform,0.9,0.06,0.02,0.0,0.0,0.0,0.284842,0.0,1.78372e-05,0.000874024,0.0200669,0.0,0.00133779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
