isotope,case,label,family,th_fraction,burnup,adens
Am241,M43-10,"M=43%, Th=10%",M43,10.0,0.0,1.06375e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,1.06378e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,1.06387e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,1.06399e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,1.06414e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,1.06432e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,1.06455e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,1.06491e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,1.06546e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,1.06609e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,1.06763e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,1.06953e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,1.07171e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,1.07416e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,1.07683e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,1.08274e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,1.08911e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,1.09572e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,1.10231e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,1.10878e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,16.165,1.11481e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,1.1252e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,1.13252e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,1.13614e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,1.12543e-05
Am241,M43-10,"M=43%, Th=10%",M43,10.0,41.657,1.09604e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,0.0,1.06378e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,1.06382e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,1.06392e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,1.06405e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,1.06422e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,1.06442e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,1.06466e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,1.06503e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,1.06559e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,1.06624e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,1.06782e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,1.06976e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,1.072e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,1.07448e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,1.07721e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,1.08319e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,1.08969e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,1.09637e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,1.10306e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,1.10957e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,1.11565e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,1.12604e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,22.762,1.13326e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,27.828,1.13646e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,1.125e-05
Am241,M43-15,"M=43%, Th=15%",M43,15.0,41.6791,1.09454e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,0.0,1.06376e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,0.0786693,1.0638e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,0.314506,1.0639e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,0.55041,1.06403e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,0.786183,1.0642e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,1.02201,1.06441e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,1.25808,1.06466e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,1.57309,1.06503e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,1.96722,1.06559e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,2.36178,1.06624e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,3.15208,1.06783e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,3.94369,1.06981e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,4.73727,1.07209e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,5.5333,1.0746e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,6.33072,1.07734e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,7.9319,1.08337e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,9.54167,1.08987e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,11.1576,1.0967e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,12.7824,1.10344e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,14.415,1.10996e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,16.0557,1.11599e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,19.3605,1.12635e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,22.6989,1.13325e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,27.7693,1.13591e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,34.6461,1.12345e-05
Am241,M43-20,"M=43%, Th=20%",M43,20.0,41.652,1.0923e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,0.0,1.0638e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,0.0782794,1.06385e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,0.313162,1.06396e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,0.547869,1.06409e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,0.782675,1.06426e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,1.01744,1.06447e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,1.25234,1.06471e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,1.56562,1.0651e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,1.95781,1.06566e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,2.35041,1.06633e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,3.13683,1.06791e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,3.92548,1.06984e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,4.71634,1.07211e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,5.50903,1.07463e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,6.30351,1.07741e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,7.8993,1.08342e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,9.50336,1.08995e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,11.115,1.09672e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,12.7355,1.10347e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,14.3649,1.10989e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,16.0034,1.11583e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,19.3062,1.12584e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,22.6428,1.1324e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,27.7101,1.13458e-05
Am241,M43-25,"M=43%, Th=25%",M43,25.0,34.5896,1.12072e-05
