isotope,case,label,family,th_fraction,burnup,adens
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.0
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,1.23236e-07
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,4.92816e-07
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,8.62216e-07
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,1.23156e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,1.60079e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,1.9699e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,2.46204e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,3.07724e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,3.69283e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,4.92395e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,6.15537e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,7.38768e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,8.62023e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,9.85382e-06
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,1.23212e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,1.47908e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,1.72634e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,1.97382e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,2.22149e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,16.165,2.46952e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,2.96613e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,3.4636e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,4.21198e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,5.2141e-05
Cs137,M43-10,"M=43%, Th=10%",M43,10.0,41.657,6.22186e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.0
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,1.22534e-07
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,4.90068e-07
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,8.57695e-07
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,1.22505e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,1.59242e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,1.95959e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,2.44944e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,3.0617e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,3.6744e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,4.89992e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,6.12643e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,7.35335e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,8.58166e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,9.81032e-06
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,1.22707e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,1.47361e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,1.72052e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,1.96779e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,2.21543e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,2.46358e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,2.96115e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,22.762,3.4602e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,27.828,4.21184e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,5.2196e-05
Cs137,M43-15,"M=43%, Th=15%",M43,15.0,41.6791,6.23538e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,0.0,0.0
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,0.0786693,1.21984e-07
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,0.314506,4.87949e-07
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,0.55041,8.53894e-07
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,0.786183,1.21946e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,1.02201,1.58493e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,1.25808,1.95061e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,1.57309,2.43832e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,1.96722,3.04809e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,2.36178,3.6581e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,3.15208,4.87859e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,3.94369,6.09935e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,4.73727,7.32145e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,5.5333,8.54561e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,6.33072,9.77019e-06
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,7.9319,1.22239e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,9.54167,1.4684e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,11.1576,1.71467e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,12.7824,1.9616e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,14.415,2.20904e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,16.0557,2.45703e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,19.3605,2.95439e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,22.6989,3.45414e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,27.7693,4.20786e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,34.6461,5.22008e-05
Cs137,M43-20,"M=43%, Th=20%",M43,20.0,41.652,6.24048e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,0.0,0.0
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,0.0782794,1.21427e-07
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,0.313162,4.86055e-07
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,0.547869,8.50286e-07
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,0.782675,1.2145e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,1.01744,1.57847e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,1.25234,1.9425e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,1.56562,2.42772e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,1.95781,3.03475e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,2.35041,3.64201e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,3.13683,4.8571e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,3.92548,6.07396e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,4.71634,7.2926e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,5.50903,8.51238e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,6.30351,9.73327e-06
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,7.8993,1.21807e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,9.50336,1.46341e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,11.115,1.70924e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,12.7355,1.95578e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,14.3649,2.20301e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,16.0034,2.45096e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,19.3062,2.94873e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,22.6428,3.44896e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,27.7101,4.20344e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,34.5896,5.2182e-05
Cs137,M43-25,"M=43%, Th=25%",M43,25.0,41.6097,6.24296e-05
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,0.0,0.0
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,0.0779385,1.20945e-07
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,0.311599,4.83821e-07
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,0.545317,8.46664e-07
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,0.779062,1.20938e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,1.01276,1.57184e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,1.24672,1.93456e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,1.55878,2.4181e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,1.94905,3.02245e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,2.33973,3.62701e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,3.12294,4.8377e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,3.90868,6.05072e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,4.6961,7.26474e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,5.48579,8.4807e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,6.27739,9.69799e-06
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,7.86746,1.21383e-05
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,9.46675,1.45864e-05
Cs137,M43-30,"M=43%, Th=30%",M43,30.0,11.075,1.70418e-05
