isotope,case,label,family,th_fraction,burnup,adens
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.0
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,1.74523e-09
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,5.35895e-08
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,1.70623e-07
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,3.32441e-07
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,5.24173e-07
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,7.3582e-07
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,1.03778e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,1.43376e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,1.84048e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,2.66679e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,3.49651e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,4.3248e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,5.15035e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,5.97279e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,7.60892e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,9.22954e-06
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,1.08359e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,1.24274e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,1.40035e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,16.165,1.5564e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,1.86399e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,2.16408e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,2.60103e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,3.15599e-05
Nd143,M43-10,"M=43%, Th=10%",M43,10.0,41.657,3.67672e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.0
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,1.73562e-09
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,5.32992e-08
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,1.69725e-07
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,3.30735e-07
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,5.2151e-07
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,7.32117e-07
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,1.03263e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,1.42681e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,1.83177e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,2.65473e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,3.48157e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,4.30733e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,5.13079e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,5.95156e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,7.586e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,9.20767e-06
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,1.08171e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,1.24137e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,1.39965e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,1.55659e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,1.8666e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,22.762,2.16985e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,27.828,2.61257e-05
Nd143,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,3.17694e-05
