isotope,case,label,family,th_fraction,burnup,adens
Np239,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.0
Np239,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,7.76606e-07
Np239,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,1.4033e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,1.46894e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,1.48039e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,1.48331e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,1.48639e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,1.48896e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,1.49354e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,1.49801e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,1.5015e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,1.50961e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,1.51658e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,1.5237e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,1.5305e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,1.53824e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,1.55109e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,1.56303e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,1.57741e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,1.5885e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,16.165,1.60218e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,1.61838e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,1.64345e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,1.67226e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,1.71406e-06
Np239,M43-10,"M=43%, Th=10%",M43,10.0,41.657,1.7635e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.0
Np239,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,7.45247e-07
Np239,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,1.34627e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,1.41023e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,1.42008e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,1.42317e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,1.42708e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,1.42998e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,1.43349e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,1.43658e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,1.44179e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,1.44885e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,1.45369e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,1.46127e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,1.46655e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,1.47703e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,1.48683e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,1.49938e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,1.51083e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,1.52333e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,1.53397e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,1.55092e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,22.762,1.57263e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,27.828,1.60096e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,1.64012e-06
Np239,M43-15,"M=43%, Th=15%",M43,15.0,41.6791,1.68544e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,0.0,0.0
Np239,M43-20,"M=43%, Th=20%",M43,20.0,0.0786693,7.14507e-07
Np239,M43-20,"M=43%, Th=20%",M43,20.0,0.314506,1.29022e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,0.55041,1.35172e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,0.786183,1.36112e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,1.02201,1.36519e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,1.25808,1.3676e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,1.57309,1.37032e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,1.96722,1.37357e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,2.36178,1.37749e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,3.15208,1.38105e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,3.94369,1.38799e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,4.73727,1.39369e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,5.5333,1.40095e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,6.33072,1.405e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,7.9319,1.41235e-06
Np239,M43-20,"M=43%, Th=20%",M43,20.0,9.54167,1.42411e-06
