isotope,case,label,family,th_fraction,burnup,adens
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.0
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,2.54553e-07
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,9.33819e-07
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,1.4882e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,1.94109e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,2.31272e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,2.61632e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,2.93749e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,3.23531e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,3.45118e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,3.71873e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,3.86361e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,3.94615e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,3.99517e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,4.03041e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,4.0752e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,4.11245e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,4.14677e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,4.17904e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,4.20837e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,16.165,4.2456e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,4.29771e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,4.35904e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,4.44427e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,4.54068e-06
Pa233,M43-10,"M=43%, Th=10%",M43,10.0,41.657,4.65667e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.0
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,3.35925e-07
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,1.23123e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,1.96438e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,2.56344e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,3.05384e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,3.45486e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,3.87845e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,4.27349e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,4.55667e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,4.90764e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,5.10067e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,5.20815e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,5.27496e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,5.32252e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,5.3819e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,5.42792e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,5.48288e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,5.53198e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,5.56414e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,5.61513e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,5.68916e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,22.762,5.77177e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,27.828,5.88125e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,6.02185e-06
Pa233,M43-15,"M=43%, Th=15%",M43,15.0,41.6791,6.18867e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,0.0,0.0
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,0.0786693,4.07266e-07
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,0.314506,1.49419e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,0.55041,2.38248e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,0.786183,3.10911e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,1.02201,3.70343e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,1.25808,4.19027e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,1.57309,4.70284e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,1.96722,5.17975e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,2.36178,5.52641e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,3.15208,5.95926e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,3.94369,6.1882e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,4.73727,6.32043e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,5.5333,6.40074e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,6.33072,6.4565e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,7.9319,6.5276e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,9.54167,6.5888e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,11.1576,6.65317e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,12.7824,6.69931e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,14.415,6.75983e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,16.0557,6.81646e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,19.3605,6.90351e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,22.6989,7.01164e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,27.7693,7.14329e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,34.6461,7.32349e-06
Pa233,M43-20,"M=43%, Th=20%",M43,20.0,41.652,7.53185e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,0.0,0.0
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,0.0782794,4.72082e-07
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,0.313162,1.73221e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,0.547869,2.76145e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,0.782675,3.60484e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,1.01744,4.29268e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,1.25234,4.85676e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,1.56562,5.45262e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,1.95781,6.0085e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,2.35041,6.40789e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,3.13683,6.90665e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,3.92548,7.17556e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,4.71634,7.32997e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,5.50903,7.42872e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,6.30351,7.49336e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,7.8993,7.57227e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,9.50336,7.64109e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,11.115,7.71138e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,12.7355,7.77773e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,14.3649,7.84496e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,16.0034,7.91507e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,19.3062,8.0208e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,22.6428,8.14927e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,27.7101,8.30773e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,34.5896,8.51764e-06
Pa233,M43-25,"M=43%, Th=25%",M43,25.0,41.6097,8.7673e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,0.0,0.0
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,0.0779385,5.32891e-07
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,0.311599,1.95504e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,0.545317,3.11717e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,0.779062,4.06737e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,1.01276,4.84511e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,1.24672,5.48052e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,1.55878,6.15389e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,1.94905,6.7805e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,2.33973,7.23151e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,3.12294,7.79469e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,3.90868,8.10016e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,4.6961,8.27148e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,5.48579,8.38018e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,6.27739,8.45047e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,7.86746,8.55313e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,9.46675,8.62759e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,11.075,8.71331e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,12.6909,8.78664e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,14.3173,8.86231e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,15.9516,8.93223e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,19.2474,9.05383e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,22.58,9.20629e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,27.6446,9.38608e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,34.5216,9.63848e-06
Pa233,M43-30,"M=43%, Th=30%",M43,30.0,41.5441,9.91607e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,0.0,0.0
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,0.0800103,1.53694e-07
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,0.31996,5.65029e-07
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,0.559822,9.00295e-07
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,0.799821,1.17432e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,1.03982,1.39951e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,1.27992,1.58246e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,1.60019,1.77741e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,2.00088,1.95611e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,2.40174,2.08688e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,3.20424,2.24808e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,4.00801,2.33385e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,4.81278,2.3831e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,5.61896,2.41365e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,6.42646,2.43365e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,8.04461,2.46102e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,9.66829,2.47958e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,11.2966,2.50012e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,12.9299,2.52109e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,14.5694,2.53833e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,16.2135,2.55168e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,19.5162,2.58577e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,22.8425,2.62129e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,27.8744,2.66451e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,34.6699,2.71883e-06
Pa233,M43-5,"M=43%, Th=5%",M43,5.0,41.5656,2.78251e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,0.0,0.0
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,0.106192,4.43394e-07
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,0.425252,1.62701e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,0.744222,2.59533e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,1.06328,3.38794e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,1.38241,4.03539e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,1.70159,4.56756e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,2.12731,5.12973e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,2.65954,5.65245e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,3.19208,6.02949e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,4.25755,6.49895e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,5.32458,6.75628e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,6.39306,6.90235e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,7.4626,6.9937e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,8.53341,7.05965e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,10.6787,7.14178e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,12.8298,7.21045e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,14.986,7.2837e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,17.1477,7.35244e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,19.3144,7.41172e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,21.4862,7.47844e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,25.8447,7.58678e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,30.2201,7.71824e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,36.8146,7.88119e-06
Pa233,M87-25,"M=87%, Th=25%",M87,25.0,45.6623,8.10576e-06
Pa233,M87-30,"M=87%, Th=30%",M87,30.0,0.0,0.0
Pa233,M87-30,"M=87%, Th=30%",M87,30.0,0.105853,4.99128e-07
