isotope,case,label,family,th_fraction,burnup,adens
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.000108937
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,0.000109134
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,0.000109736
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,0.000110331
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,0.000110922
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,0.000111507
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,0.000112087
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,0.000112848
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,0.000113784
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,0.0001147
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,0.000116479
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,0.00011818
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,0.00011981
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,0.000121369
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,0.000122844
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,0.000125576
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,0.000128018
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,0.000130197
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,0.000132113
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,0.000133771
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,16.165,0.000135187
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,0.000137322
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,0.000138608
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,0.000139102
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,0.000137524
Pu241,M43-10,"M=43%, Th=10%",M43,10.0,41.657,0.000133977
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.00010894
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,0.000109136
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,0.000109736
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,0.000110332
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,0.000110922
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,0.000111505
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,0.000112084
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,0.000112846
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,0.000113782
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,0.000114699
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,0.000116468
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,0.000118161
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,0.000119781
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,0.000121328
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,0.000122799
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,0.000125518
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,0.000127947
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,0.000130101
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,0.000131998
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,0.000133619
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,0.000134986
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,0.00013706
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,22.762,0.000138216
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,27.828,0.000138547
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,0.000136761
Pu241,M43-15,"M=43%, Th=15%",M43,15.0,41.6791,0.00013298
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,0.0,0.000108937
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,0.0786693,0.000109134
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,0.314506,0.000109735
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,0.55041,0.00011033
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,0.786183,0.000110922
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,1.02201,0.000111507
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,1.25808,0.000112085
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,1.57309,0.000112849
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,1.96722,0.000113784
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,2.36178,0.000114702
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,3.15208,0.000116476
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,3.94369,0.000118176
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,4.73727,0.000119794
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,5.5333,0.000121332
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,6.33072,0.000122801
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,7.9319,0.000125507
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,9.54167,0.000127927
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,11.1576,0.000130052
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,12.7824,0.000131909
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,14.415,0.000133502
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,16.0557,0.000134844
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,19.3605,0.000136833
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,22.6989,0.000137881
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,27.7693,0.000138057
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,34.6461,0.000136031
Pu241,M43-20,"M=43%, Th=20%",M43,20.0,41.652,0.000131963
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,0.0,0.000108942
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,0.0782794,0.000109139
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,0.313162,0.000109742
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,0.547869,0.000110338
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,0.782675,0.00011093
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,1.01744,0.000111515
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,1.25234,0.000112095
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,1.56562,0.000112858
Pu241,M43-25,"M=43%, Th=25%",M43,25.0,1.95781,0.000113795
