isotope,case,label,family,th_fraction,burnup,adens
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.0
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,6.85538e-09
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,5.60593e-08
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,9.92665e-08
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,1.30284e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,1.52119e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,1.67471e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,1.81138e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,1.91398e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,1.97294e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,2.03333e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,2.06017e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,2.07696e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,2.09208e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,2.10423e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,2.12417e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,2.1372e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,2.14541e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,2.15135e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,2.15274e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,16.165,2.15139e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,2.148e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,2.13309e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,2.10441e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,2.05905e-07
Sm149,M43-10,"M=43%, Th=10%",M43,10.0,41.657,2.00333e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.0
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,6.80589e-09
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,5.56932e-08
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,9.86624e-08
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,1.2957e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,1.51314e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,1.66663e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,1.80312e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,1.90595e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,1.96492e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,2.02371e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,2.05104e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,2.06965e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,2.08282e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,2.09528e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,2.117e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,2.12988e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,2.13842e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,2.14521e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,2.14813e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,2.14719e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,2.14378e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,22.762,2.12968e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,27.828,2.10194e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,2.05915e-07
Sm149,M43-15,"M=43%, Th=15%",M43,15.0,41.6791,2.00451e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,0.0,0.0
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,0.0786693,6.76455e-09
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,0.314506,5.53674e-08
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,0.55041,9.81302e-08
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,0.786183,1.28895e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,1.02201,1.5056e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,1.25808,1.65747e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,1.57309,1.79313e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,1.96722,1.89616e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,2.36178,1.95539e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,3.15208,2.01433e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,3.94369,2.04168e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,4.73727,2.05993e-07
Sm149,M43-20,"M=43%, Th=20%",M43,20.0,5.5333,2.07414e-07
