isotope,case,label,family,th_fraction,burnup,adens
Th232,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.00242174
Th232,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,0.00242147
Th232,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,0.00242065
Th232,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,0.00241983
Th232,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,0.00241901
Th232,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,0.00241818
Th232,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,0.00241735
Th232,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,0.00241624
Th232,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,0.00241486
Th232,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,0.00241346
Th232,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,0.00241067
Th232,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,0.00240786
Th232,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,0.00240505
Th232,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,0.00240222
Th232,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,0.00239937
Th232,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,0.00239365
Th232,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,0.00238787
Th232,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,0.00238205
Th232,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,0.00237618
Th232,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,0.00237028
Th232,M43-10,"M=43%, Th=10%",M43,10.0,16.165,0.00236432
Th232,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,0.00235226
Th232,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,0.00234003
Th232,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,0.00232132
Th232,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,0.00229579
Th232,M43-10,"M=43%, Th=10%",M43,10.0,41.657,0.00226959
Th232,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.00363273
