isotope,case,label,family,th_fraction,burnup,adens
U233,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.0
U233,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,8.53511e-09
U233,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,1.2975e-07
U233,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,3.73078e-07
U233,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,7.15104e-07
U233,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,1.13692e-06
U233,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,1.62309e-06
U233,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,2.3498e-06
U233,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,3.35196e-06
U233,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,4.42692e-06
U233,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,6.705e-06
U233,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,9.06056e-06
U233,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,1.14325e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,1.37892e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,1.61156e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,2.06552e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,2.50215e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,2.92123e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,3.32278e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,3.70712e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,16.165,4.07489e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,4.76394e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,5.38984e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,6.2234e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,7.1446e-05
U233,M43-10,"M=43%, Th=10%",M43,10.0,41.657,7.86909e-05
U233,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.0
U233,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,1.12635e-08
U233,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,1.71113e-07
