isotope,case,label,family,th_fraction,burnup,adens
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,0.0,0.0
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,0.0795368,1.62408e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,0.317885,1.6382e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,0.556198,1.63763e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,0.794596,1.63731e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,1.03304,1.63663e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,1.27151,1.63546e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,1.58966,1.63349e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,1.98765,1.63098e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,2.38619,1.62922e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,3.18419,1.62337e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,3.9836,1.61871e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,4.7848,1.61422e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,5.58736,1.61022e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,6.39179,1.60612e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,8.00447,1.5933e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,9.62353,1.58379e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,11.2493,1.57485e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,12.8814,1.5653e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,14.5196,1.55579e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,16.165,1.54633e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,19.4744,1.52269e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,22.8092,1.50449e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,27.8632,1.47293e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,34.7019,1.43434e-08
Xe135,M43-10,"M=43%, Th=10%",M43,10.0,41.657,1.40118e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,0.0,0.0
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,0.0790548,1.61709e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,0.315997,1.63151e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,0.553078,1.63119e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,0.790099,1.6307e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,1.02724,1.63012e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,1.26438,1.62931e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,1.58091,1.6273e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,1.97683,1.62476e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,2.37332,1.62308e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,3.16728,1.61686e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,3.96305,1.61288e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,4.76026,1.6089e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,5.5595,1.60456e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,6.36014,1.60067e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,7.96698,1.58954e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,9.58164,1.58103e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,11.2034,1.57215e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,12.8322,1.56385e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,14.4681,1.55517e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,16.1119,1.54638e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,19.4227,1.52441e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,22.762,1.50692e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,27.828,1.47675e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,34.6883,1.44118e-08
Xe135,M43-15,"M=43%, Th=15%",M43,15.0,41.6791,1.41042e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,0.0,0.0
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,0.0786693,1.61182e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,0.314506,1.62535e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,0.55041,1.62547e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,0.786183,1.62418e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,1.02201,1.62352e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,1.25808,1.62229e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,1.57309,1.62063e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,1.96722,1.6191e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,2.36178,1.61708e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,3.15208,1.61106e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,3.94369,1.60622e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,4.73727,1.60288e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,5.5333,1.59969e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,6.33072,1.59549e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,7.9319,1.58479e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,9.54167,1.57691e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,11.1576,1.56829e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,12.7824,1.56054e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,14.415,1.55208e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,16.0557,1.5444e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,19.3605,1.52207e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,22.6989,1.50618e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,27.7693,1.47825e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,34.6461,1.44339e-08
Xe135,M43-20,"M=43%, Th=20%",M43,20.0,41.652,1.41297e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,0.0,0.0
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,0.0782794,1.6062e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,0.313162,1.62003e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,0.547869,1.61946e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,0.782675,1.61875e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,1.01744,1.6172e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,1.25234,1.61639e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,1.56562,1.61432e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,1.95781,1.61246e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,2.35041,1.6109e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,3.13683,1.60493e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,3.92548,1.60148e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,4.71634,1.59776e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,5.50903,1.59392e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,6.30351,1.58989e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,7.8993,1.57911e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,9.50336,1.57148e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,11.115,1.56388e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,12.7355,1.55667e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,14.3649,1.54828e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,16.0034,1.5403e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,19.3062,1.5198e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,22.6428,1.50422e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,27.7101,1.4758e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,34.5896,1.44184e-08
Xe135,M43-25,"M=43%, Th=25%",M43,25.0,41.6097,1.41201e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,0.0,0.0
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,0.0779385,1.60102e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,0.311599,1.61425e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,0.545317,1.61367e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,0.779062,1.61274e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,1.01276,1.61162e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,1.24672,1.61046e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,1.55878,1.60881e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,1.94905,1.60635e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,2.33973,1.60396e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,3.12294,1.59929e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,3.90868,1.59555e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,4.6961,1.59174e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,5.48579,1.58806e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,6.27739,1.58412e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,7.86746,1.57362e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,9.46675,1.56692e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,11.075,1.55911e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,12.6909,1.55119e-08
Xe135,M43-30,"M=43%, Th=30%",M43,30.0,14.3173,1.54352e-08
