isotope,case,family,th_fraction,burnup,adens
Th232,M43-10,M43,10.0,0.0,0.00242174
Th232,M43-10,M43,10.0,0.1,0.00242147
Th232,M43-10,M43,10.0,0.4,0.00242065
Th232,M43-10,M43,10.0,0.7,0.00241983
Th232,M43-10,M43,10.0,1.0,0.00241901
Th232,M43-10,M43,10.0,1.3,0.00241818
Th232,M43-10,M43,10.0,1.6,0.00241735
Th232,M43-10,M43,10.0,2.0,0.00241624
Th232,M43-10,M43,10.0,2.5,0.00241486
Th232,M43-10,M43,10.0,3.0,0.00241346
Th232,M43-10,M43,10.0,4.0,0.00241067
Th232,M43-10,M43,10.0,5.0,0.00240786
Th232,M43-10,M43,10.0,6.0,0.00240505
Th232,M43-10,M43,10.0,7.0,0.00240222
Th232,M43-10,M43,10.0,8.0,0.00239937
Th232,M43-10,M43,10.0,10.0,0.00239365
Th232,M43-10,M43,10.0,12.0,0.00238787
Th232,M43-10,M43,10.0,14.0,0.00238205
Th232,M43-10,M43,10.0,16.0,0.00237618
Th232,M43-10,M43,10.0,18.0,0.00237028
Th232,M43-10,M43,10.0,20.0,0.00236432
Th232,M43-10,M43,10.0,24.0,0.00235226
Th232,M43-10,M43,10.0,28.0,0.00234003
Th232,M43-10,M43,10.0,34.0,0.00232132
Th232,M43-10,M43,10.0,42.0,0.00229579
Th232,M43-10,M43,10.0,50.0,0.00226959
Th232,M43-15,M43,15.0,0.0,0.00363273
Th232,M43-15,M43,15.0,0.1,0.00363237
Th232,M43-15,M43,15.0,0.4,0.00363128
Th232,M43-15,M43,15.0,0.7,0.00363019
Th232,M43-15,M43,15.0,1.0,0.0036291
Th232,M43-15,M43,15.0,1.3,0.003628
Th232,M43-15,M43,15.0,1.6,0.00362691
Th232,M43-15,M43,15.0,2.0,0.00362544
Th232,M43-15,M43,15.0,2.5,0.0036236
Th232,M43-15,M43,15.0,3.0,0.00362176
Th232,M43-15,M43,15.0,4.0,0.00361806
Th232,M43-15,M43,15.0,5.0,0.00361435
Th232,M43-15,M43,15.0,6.0,0.00361062
Th232,M43-15,M43,15.0,7.0,0.00360687
Th232,M43-15,M43,15.0,8.0,0.0036031
Th232,M43-15,M43,15.0,10.0,0.00359552
Th232,M43-15,M43,15.0,12.0,0.00358788
Th232,M43-15,M43,15.0,14.0,0.00358015
Th232,M43-15,M43,15.0,16.0,0.00357237
Th232,M43-15,M43,15.0,18.0,0.00356454
Th232,M43-15,M43,15.0,20.0,0.00355663
Th232,M43-15,M43,15.0,24.0,0.00354063
Th232,M43-15,M43,15.0,28.0,0.0035244
Th232,M43-15,M43,15.0,34.0,0.00349957
Th232,M43-15,M43,15.0,42.0,0.00346564
Th232,M43-15,M43,15.0,50.0,0.00343074
Th232,M43-20,M43,20.0,0.0,0.00484453
Th232,M43-20,M43,20.0,0.1,0.00484409
Th232,M43-20,M43,20.0,0.4,0.00484277
Th232,M43-20,M43,20.0,0.7,0.00484144
Th232,M43-20,M43,20.0,1.0,0.00484012
Th232,M43-20,M43,20.0,1.3,0.00483878
Th232,M43-20,M43,20.0,1.6,0.00483745
Th232,M43-20,M43,20.0,2.0,0.00483567
Th232,M43-20,M43,20.0,2.5,0.00483344
Th232,M43-20,M43,20.0,3.0,0.00483119
Th232,M43-20,M43,20.0,4.0,0.00482669
Th232,M43-20,M43,20.0,5.0,0.00482218
Th232,M43-20,M43,20.0,6.0,0.00481764
Th232,M43-20,M43,20.0,7.0,0.00481308
Th232,M43-20,M43,20.0,8.0,0.0048085
Th232,M43-20,M43,20.0,10.0,0.00479928
Th232,M43-20,M43,20.0,12.0,0.00478998
Th232,M43-20,M43,20.0,14.0,0.00478059
Th232,M43-20,M43,20.0,16.0,0.00477114
Th232,M43-20,M43,20.0,18.0,0.0047616
Th232,M43-20,M43,20.0,20.0,0.00475198
Th232,M43-20,M43,20.0,24.0,0.00473253
Th232,M43-20,M43,20.0,28.0,0.00471276
Th232,M43-20,M43,20.0,34.0,0.00468254
Th232,M43-20,M43,20.0,42.0,0.00464119
Th232,M43-20,M43,20.0,50.0,0.00459865
Th232,M43-25,M43,25.0,0.0,0.00605568
Th232,M43-25,M43,25.0,0.1,0.00605517
Th232,M43-25,M43,25.0,0.4,0.00605364
Th232,M43-25,M43,25.0,0.7,0.0060521
Th232,M43-25,M43,25.0,1.0,0.00605056
Th232,M43-25,M43,25.0,1.3,0.00604901
Th232,M43-25,M43,25.0,1.6,0.00604746
Th232,M43-25,M43,25.0,2.0,0.00604539
Th232,M43-25,M43,25.0,2.5,0.00604279
Th232,M43-25,M43,25.0,3.0,0.00604019
Th232,M43-25,M43,25.0,4.0,0.00603496
Th232,M43-25,M43,25.0,5.0,0.00602971
Th232,M43-25,M43,25.0,6.0,0.00602444
Th232,M43-25,M43,25.0,7.0,0.00601913
Th232,M43-25,M43,25.0,8.0,0.0060138
Th232,M43-25,M43,25.0,10.0,0.00600309
Th232,M43-25,M43,25.0,12.0,0.00599229
Th232,M43-25,M43,25.0,14.0,0.00598138
Th232,M43-25,M43,25.0,16.0,0.00597039
Th232,M43-25,M43,25.0,18.0,0.00595929
Th232,M43-25,M43,25.0,20.0,0.0059481
Th232,M43-25,M43,25.0,24.0,0.00592545
Th232,M43-25,M43,25.0,28.0,0.00590243
Th232,M43-25,M43,25.0,34.0,0.00586723
Th232,M43-25,M43,25.0,42.0,0.00581906
Th232,M43-25,M43,25.0,50.0,0.00576946
Th232,M43-30,M43,30.0,0.0,0.00726689
Th232,M43-30,M43,30.0,0.1,0.00726632
Th232,M43-30,M43,30.0,0.4,0.00726458
Th232,M43-30,M43,30.0,0.7,0.00726284
Th232,M43-30,M43,30.0,1.0,0.0072611
Th232,M43-30,M43,30.0,1.3,0.00725935
Th232,M43-30,M43,30.0,1.6,0.0072576
Th232,M43-30,M43,30.0,2.0,0.00725525
Th232,M43-30,M43,30.0,2.5,0.00725232
Th232,M43-30,M43,30.0,3.0,0.00724938
Th232,M43-30,M43,30.0,4.0,0.00724347
Th232,M43-30,M43,30.0,5.0,0.00723753
Th232,M43-30,M43,30.0,6.0,0.00723156
Th232,M43-30,M43,30.0,7.0,0.00722557
Th232,M43-30,M43,30.0,8.0,0.00721955
Th232,M43-30,M43,30.0,10.0,0.00720742
Th232,M43-30,M43,30.0,12.0,0.0071952
Th232,M43-30,M43,30.0,14.0,0.00718286
Th232,M43-30,M43,30.0,16.0,0.00717041
Th232,M43-30,M43,30.0,18.0,0.00715786
Th232,M43-30,M43,30.0,20.0,0.00714521
Th232,M43-30,M43,30.0,24.0,0.0071196
Th232,M43-30,M43,30.0,28.0,0.00709356
Th232,M43-30,M43,30.0,34.0,0.00705372
Th232,M43-30,M43,30.0,42.0,0.00699913
Th232,M43-30,M43,30.0,50.0,0.00694294
Th232,M43-5,M43,5.0,0.0,0.00121084
Th232,M43-5,M43,5.0,0.1,0.00121067
Th232,M43-5,M43,5.0,0.4,0.00121018
Th232,M43-5,M43,5.0,0.7,0.00120968
Th232,M43-5,M43,5.0,1.0,0.00120919
Th232,M43-5,M43,5.0,1.3,0.00120869
Th232,M43-5,M43,5.0,1.6,0.00120819
Th232,M43-5,M43,5.0,2.0,0.00120752
Th232,M43-5,M43,5.0,2.5,0.00120668
Th232,M43-5,M43,5.0,3.0,0.00120585
Th232,M43-5,M43,5.0,4.0,0.00120416
Th232,M43-5,M43,5.0,5.0,0.00120248
Th232,M43-5,M43,5.0,6.0,0.00120078
Th232,M43-5,M43,5.0,7.0,0.00119908
Th232,M43-5,M43,5.0,8.0,0.00119737
Th232,M43-5,M43,5.0,10.0,0.00119392
Th232,M43-5,M43,5.0,12.0,0.00119045
Th232,M43-5,M43,5.0,14.0,0.00118696
Th232,M43-5,M43,5.0,16.0,0.00118343
Th232,M43-5,M43,5.0,18.0,0.00117988
Th232,M43-5,M43,5.0,20.0,0.00117631
Th232,M43-5,M43,5.0,24.0,0.00116908
Th232,M43-5,M43,5.0,28.0,0.00116175
Th232,M43-5,M43,5.0,34.0,0.00115057
Th232,M43-5,M43,5.0,42.0,0.00113532
Th232,M43-5,M43,5.0,50.0,0.0011197
Th232,M70-10,M70,10.0,0.0,0.00241769
Th232,M70-10,M70,10.0,0.1,0.00241743
Th232,M70-10,M70,10.0,0.4,0.00241661
Th232,M70-10,M70,10.0,0.7,0.0024158
Th232,M70-10,M70,10.0,1.0,0.00241498
Th232,M70-10,M70,10.0,1.3,0.00241417
Th232,M70-10,M70,10.0,1.6,0.00241335
Th232,M70-10,M70,10.0,2.0,0.00241225
Th232,M70-10,M70,10.0,2.5,0.00241088
Th232,M70-10,M70,10.0,3.0,0.0024095
Th232,M70-10,M70,10.0,4.0,0.00240674
Th232,M70-10,M70,10.0,5.0,0.00240396
Th232,M70-10,M70,10.0,6.0,0.00240117
Th232,M70-10,M70,10.0,7.0,0.00239837
Th232,M70-10,M70,10.0,8.0,0.00239556
Th232,M70-10,M70,10.0,10.0,0.0023899
Th232,M70-10,M70,10.0,12.0,0.00238419
Th232,M70-10,M70,10.0,14.0,0.00237843
Th232,M70-10,M70,10.0,16.0,0.00237263
Th232,M70-10,M70,10.0,18.0,0.00236678
Th232,M70-10,M70,10.0,20.0,0.00236089
Th232,M70-10,M70,10.0,24.0,0.00234897
Th232,M70-10,M70,10.0,28.0,0.00233686
Th232,M70-10,M70,10.0,34.0,0.00231836
Th232,M70-10,M70,10.0,42.0,0.00229308
Th232,M70-10,M70,10.0,50.0,0.00226712
Th232,M70-15,M70,15.0,0.0,0.00362661
Th232,M70-15,M70,15.0,0.1,0.00362626
Th232,M70-15,M70,15.0,0.4,0.00362518
Th232,M70-15,M70,15.0,0.7,0.0036241
Th232,M70-15,M70,15.0,1.0,0.00362302
Th232,M70-15,M70,15.0,1.3,0.00362194
Th232,M70-15,M70,15.0,1.6,0.00362085
Th232,M70-15,M70,15.0,2.0,0.0036194
Th232,M70-15,M70,15.0,2.5,0.00361758
Th232,M70-15,M70,15.0,3.0,0.00361576
Th232,M70-15,M70,15.0,4.0,0.00361209
Th232,M70-15,M70,15.0,5.0,0.00360841
Th232,M70-15,M70,15.0,6.0,0.00360472
Th232,M70-15,M70,15.0,7.0,0.003601
Th232,M70-15,M70,15.0,8.0,0.00359727
Th232,M70-15,M70,15.0,10.0,0.00358977
Th232,M70-15,M70,15.0,12.0,0.00358219
Th232,M70-15,M70,15.0,14.0,0.00357456
Th232,M70-15,M70,15.0,16.0,0.00356686
Th232,M70-15,M70,15.0,18.0,0.0035591
Th232,M70-15,M70,15.0,20.0,0.00355128
Th232,M70-15,M70,15.0,24.0,0.00353545
Th232,M70-15,M70,15.0,28.0,0.00351938
Th232,M70-15,M70,15.0,34.0,0.00349482
Th232,M70-15,M70,15.0,42.0,0.00346121
Th232,M70-15,M70,15.0,50.0,0.00342664
Th232,M70-20,M70,20.0,0.0,0.00483558
Th232,M70-20,M70,20.0,0.1,0.00483515
Th232,M70-20,M70,20.0,0.4,0.00483384
Th232,M70-20,M70,20.0,0.7,0.00483253
Th232,M70-20,M70,20.0,1.0,0.00483122
Th232,M70-20,M70,20.0,1.3,0.0048299
Th232,M70-20,M70,20.0,1.6,0.00482858
Th232,M70-20,M70,20.0,2.0,0.00482681
Th232,M70-20,M70,20.0,2.5,0.0048246
Th232,M70-20,M70,20.0,3.0,0.00482238
Th232,M70-20,M70,20.0,4.0,0.00481793
Th232,M70-20,M70,20.0,5.0,0.00481345
Th232,M70-20,M70,20.0,6.0,0.00480895
Th232,M70-20,M70,20.0,7.0,0.00480444
Th232,M70-20,M70,20.0,8.0,0.0047999
Th232,M70-20,M70,20.0,10.0,0.00479077
Th232,M70-20,M70,20.0,12.0,0.00478155
Th232,M70-20,M70,20.0,14.0,0.00477227
Th232,M70-20,M70,20.0,16.0,0.00476291
Th232,M70-20,M70,20.0,18.0,0.00475346
Th232,M70-20,M70,20.0,20.0,0.00474395
Th232,M70-20,M70,20.0,24.0,0.00472469
Th232,M70-20,M70,20.0,28.0,0.00470513
Th232,M70-20,M70,20.0,34.0,0.00467522
Th232,M70-20,M70,20.0,42.0,0.00463428
Th232,M70-20,M70,20.0,50.0,0.00459216
Th232,M70-25,M70,25.0,0.0,0.0060446
Th232,M70-25,M70,25.0,0.1,0.0060441
Th232,M70-25,M70,25.0,0.4,0.00604258
Th232,M70-25,M70,25.0,0.7,0.00604106
Th232,M70-25,M70,25.0,1.0,0.00603953
Th232,M70-25,M70,25.0,1.3,0.00603799
Th232,M70-25,M70,25.0,1.6,0.00603646
Th232,M70-25,M70,25.0,2.0,0.0060344
Th232,M70-25,M70,25.0,2.5,0.00603183
Th232,M70-25,M70,25.0,3.0,0.00602925
Th232,M70-25,M70,25.0,4.0,0.00602407
Th232,M70-25,M70,25.0,5.0,0.00601887
Th232,M70-25,M70,25.0,6.0,0.00601364
Th232,M70-25,M70,25.0,7.0,0.00600838
Th232,M70-25,M70,25.0,8.0,0.00600311
Th232,M70-25,M70,25.0,10.0,0.00599249
Th232,M70-25,M70,25.0,12.0,0.00598178
Th232,M70-25,M70,25.0,14.0,0.00597099
Th232,M70-25,M70,25.0,16.0,0.0059601
Th232,M70-25,M70,25.0,18.0,0.00594911
Th232,M70-25,M70,25.0,20.0,0.00593803
Th232,M70-25,M70,25.0,24.0,0.00591561
Th232,M70-25,M70,25.0,28.0,0.00589285
Th232,M70-25,M70,25.0,34.0,0.00585802
Th232,M70-25,M70,25.0,42.0,0.00581036
Th232,M70-25,M70,25.0,50.0,0.00576132
Th232,M70-30,M70,30.0,0.0,0.00725367
Th232,M70-30,M70,30.0,0.1,0.0072531
Th232,M70-30,M70,30.0,0.4,0.00725138
Th232,M70-30,M70,30.0,0.7,0.00724966
Th232,M70-30,M70,30.0,1.0,0.00724793
Th232,M70-30,M70,30.0,1.3,0.0072462
Th232,M70-30,M70,30.0,1.6,0.00724446
Th232,M70-30,M70,30.0,2.0,0.00724214
Th232,M70-30,M70,30.0,2.5,0.00723922
Th232,M70-30,M70,30.0,3.0,0.00723631
Th232,M70-30,M70,30.0,4.0,0.00723045
Th232,M70-30,M70,30.0,5.0,0.00722456
Th232,M70-30,M70,30.0,6.0,0.00721864
Th232,M70-30,M70,30.0,7.0,0.0072127
Th232,M70-30,M70,30.0,8.0,0.00720674
Th232,M70-30,M70,30.0,10.0,0.00719472
Th232,M70-30,M70,30.0,12.0,0.00718261
Th232,M70-30,M70,30.0,14.0,0.00717038
Th232,M70-30,M70,30.0,16.0,0.00715806
Th232,M70-30,M70,30.0,18.0,0.00714564
Th232,M70-30,M70,30.0,20.0,0.00713311
Th232,M70-30,M70,30.0,24.0,0.00710776
Th232,M70-30,M70,30.0,28.0,0.00708197
Th232,M70-30,M70,30.0,34.0,0.00704258
Th232,M70-30,M70,30.0,42.0,0.00698861
Th232,M70-30,M70,30.0,50.0,0.00693306
Th232,M70-5,M70,5.0,0.0,0.00120882
Th232,M70-5,M70,5.0,0.1,0.00120866
Th232,M70-5,M70,5.0,0.4,0.00120817
Th232,M70-5,M70,5.0,0.7,0.00120768
Th232,M70-5,M70,5.0,1.0,0.00120719
Th232,M70-5,M70,5.0,1.3,0.0012067
Th232,M70-5,M70,5.0,1.6,0.00120621
Th232,M70-5,M70,5.0,2.0,0.00120555
Th232,M70-5,M70,5.0,2.5,0.00120472
Th232,M70-5,M70,5.0,3.0,0.0012039
Th232,M70-5,M70,5.0,4.0,0.00120223
Th232,M70-5,M70,5.0,5.0,0.00120056
Th232,M70-5,M70,5.0,6.0,0.00119889
Th232,M70-5,M70,5.0,7.0,0.0011972
Th232,M70-5,M70,5.0,8.0,0.00119551
Th232,M70-5,M70,5.0,10.0,0.00119211
Th232,M70-5,M70,5.0,12.0,0.00118868
Th232,M70-5,M70,5.0,14.0,0.00118523
Th232,M70-5,M70,5.0,16.0,0.00118175
Th232,M70-5,M70,5.0,18.0,0.00117824
Th232,M70-5,M70,5.0,20.0,0.0011747
Th232,M70-5,M70,5.0,24.0,0.00116754
Th232,M70-5,M70,5.0,28.0,0.00116029
Th232,M70-5,M70,5.0,34.0,0.0011492
Th232,M70-5,M70,5.0,42.0,0.00113409
Th232,M70-5,M70,5.0,50.0,0.0011186
Th232,M87-10,M87,10.0,0.0,0.00242173
Th232,M87-10,M87,10.0,0.1,0.00242147
Th232,M87-10,M87,10.0,0.4,0.00242069
Th232,M87-10,M87,10.0,0.7,0.00241991
Th232,M87-10,M87,10.0,1.0,0.00241912
Th232,M87-10,M87,10.0,1.3,0.00241834
Th232,M87-10,M87,10.0,1.6,0.00241755
Th232,M87-10,M87,10.0,2.0,0.0024165
Th232,M87-10,M87,10.0,2.5,0.00241518
Th232,M87-10,M87,10.0,3.0,0.00241385
Th232,M87-10,M87,10.0,4.0,0.0024112
Th232,M87-10,M87,10.0,5.0,0.00240853
Th232,M87-10,M87,10.0,6.0,0.00240585
Th232,M87-10,M87,10.0,7.0,0.00240315
Th232,M87-10,M87,10.0,8.0,0.00240045
Th232,M87-10,M87,10.0,10.0,0.002395
Th232,M87-10,M87,10.0,12.0,0.0023895
Th232,M87-10,M87,10.0,14.0,0.00238395
Th232,M87-10,M87,10.0,16.0,0.00237837
Th232,M87-10,M87,10.0,18.0,0.00237273
Th232,M87-10,M87,10.0,20.0,0.00236704
Th232,M87-10,M87,10.0,24.0,0.00235552
Th232,M87-10,M87,10.0,28.0,0.00234381
Th232,M87-10,M87,10.0,34.0,0.0023259
Th232,M87-10,M87,10.0,42.0,0.00230139
Th232,M87-10,M87,10.0,50.0,0.00227615
