isotope,M43-10,M43-15,M43-20,M43-25,M43-30,M43-5,M70-10,M70-15,M70-20,M70-25,M70-30,M70-5,M87-10,M87-15,M87-20,M87-25,M87-30,M87-5,mox1,mox43
Am241,1.09604e-05,1.09454e-05,1.0923e-05,1.08759e-05,1.08175e-05,1.09202e-05,1.79454e-05,1.79653e-05,1.79457e-05,1.79019e-05,1.78374e-05,1.78654e-05,2.46904e-05,2.47387e-05,2.47429e-05,2.47216e-05,2.46723e-05,2.45755e-05,1.07708e-05,7.51201e-06
Am243,2.72235e-05,2.71946e-05,2.72197e-05,2.72627e-05,2.72808e-05,2.72322e-05,3.72856e-05,3.73143e-05,3.73635e-05,3.73863e-05,3.75046e-05,3.73171e-05,4.10176e-05,4.10189e-05,4.10961e-05,4.11057e-05,4.12079e-05,4.10818e-05,2.73344e-05,3.15649e-05
Cs137,6.22186e-05,6.23538e-05,6.24048e-05,6.24296e-05,6.24129e-05,6.19588e-05,7.81989e-05,7.83224e-05,7.83943e-05,7.84381e-05,7.84592e-05,7.79829e-05,8.20777e-05,8.20749e-05,8.20457e-05,8.20111e-05,8.1963e-05,8.20309e-05,6.13291e-05,7.43406e-05
Nd143,3.67672e-05,3.70963e-05,3.73401e-05,3.75363e-05,3.76911e-05,3.62807e-05,4.65032e-05,4.68242e-05,4.70716e-05,4.7271e-05,4.74384e-05,4.60464e-05,4.99579e-05,5.01819e-05,5.03517e-05,5.04922e-05,5.0605e-05,4.9631e-05,3.53596e-05,3.91391e-05
Np237,4.07012e-06,3.88594e-06,3.69208e-06,3.50199e-06,3.30543e-06,4.25488e-06,4.13834e-06,3.94088e-06,3.74294e-06,3.54091e-06,3.33964e-06,4.32767e-06,4.22746e-06,4.01056e-06,3.80011e-06,3.58559e-06,3.37046e-06,4.43614e-06,4.43317e-06,4.5529e-06
Np239,1.7635e-06,1.68544e-06,1.60955e-06,1.53643e-06,1.46266e-06,1.84465e-06,1.72647e-06,1.65003e-06,1.57594e-06,1.50153e-06,1.42829e-06,1.80772e-06,1.6726e-06,1.59754e-06,1.52419e-06,1.45134e-06,1.37835e-06,1.75059e-06,1.94032e-06,2.25092e-06
Pa233,4.65667e-06,6.18867e-06,7.53185e-06,8.7673e-06,9.91607e-06,2.78251e-06,4.61452e-06,6.13038e-06,7.45545e-06,8.66409e-06,9.80154e-06,2.75984e-06,4.48502e-06,5.9358e-06,7.21028e-06,8.369e-06,9.44022e-06,2.69187e-06,,
Pu238,2.17156e-05,2.16574e-05,2.15862e-05,2.1516e-05,2.14385e-05,2.17679e-05,3.40787e-05,3.40197e-05,3.39574e-05,3.38866e-05,3.38075e-05,3.41175e-05,4.26216e-05,4.25665e-05,4.24972e-05,4.24274e-05,4.23521e-05,4.26705e-05,2.17884e-05,1.98664e-05
Pu239,0.000296568,0.0002867,0.00027674,0.000266233,0.00025542,0.000305079,0.000384796,0.000374879,0.000364044,0.000352524,0.000340514,0.000393298,0.000511618,0.000500921,0.000489279,0.000476833,0.000463596,0.000520518,0.000311319,0.000230059
Pu240,0.000197616,0.00019454,0.000191111,0.000187723,0.000184158,0.000200546,0.000319054,0.000316235,0.000313178,0.000309795,0.000306284,0.000321542,0.000409845,0.000407471,0.000404943,0.000402016,0.000399307,0.000411736,0.000203018,0.000184775
