case,material,Th232,U233,U235,U238,Pu239,Pu240,Pu241,Pu242,Xe135,Sm149,burnup_end,eta_end
M43-10,M43-10,0.00226959,7.86909e-05,2.26617e-05,0.0190631,0.000296568,0.000197616,0.000133977,8.48473e-05,1.40118e-08,2.00333e-07,50.0,0.036723624090694795
M43-15,M43-15,0.00343074,0.000104604,2.32756e-05,0.0179146,0.0002867,0.00019454,0.00013298,8.46467e-05,1.41042e-08,2.00451e-07,50.0,0.03229410273002326
M43-20,M43-20,0.00459865,0.000127403,2.37802e-05,0.016765,0.00027674,0.000191111,0.000131963,8.44289e-05,1.41297e-08,1.99789e-07,50.0,0.02934227436312831
M43-25,M43-25,0.00576946,0.000148284,2.421e-05,0.0156154,0.000266233,0.000187723,0.000130787,8.43169e-05,1.41201e-08,1.98488e-07,50.0,0.02722114374655514
M43-30,M43-30,0.00694294,0.000167723,2.45984e-05,0.014466,0.00025542,0.000184158,0.0001296,8.42472e-05,1.40834e-08,1.96757e-07,50.0,0.02558556893765465
M43-5,M43-5,0.0011197,4.69579e-05,2.18306e-05,0.0202107,0.000305079,0.000200546,0.000134826,8.53019e-05,1.38124e-08,1.98483e-07,50.0,0.04442297936947397
M70-10,M70-10,0.00226712,8.00675e-05,2.42526e-05,0.0184534,0.000384796,0.000319054,0.000195153,0.000129106,1.75109e-08,2.6219e-07,50.0,0.037352244257030945
M70-15,M70-15,0.00342664,0.000106434,2.48293e-05,0.017306,0.000374879,0.000316235,0.000194252,0.000128833,1.76005e-08,2.62461e-07,50.0,0.032849782877687764
M70-20,M70-20,0.00459216,0.00012956,2.53001e-05,0.0161584,0.000364044,0.000313178,0.00019321,0.000128671,1.76222e-08,2.61826e-07,50.0,0.029836819710114634
M70-25,M70-25,0.00576132,0.000150681,2.57032e-05,0.0150109,0.000352524,0.000309795,0.000192148,0.000128642,1.76075e-08,2.60453e-07,50.0,0.027657739892941197
M70-30,M70-30,0.00693306,0.000170374,2.60566e-05,0.0138635,0.000340514,0.000306284,0.000190958,0.00012856,1.75598e-08,2.58666e-07,50.0,0.025987881253010936
M70-5,M70-5,0.0011186,4.78289e-05,2.34796e-05,0.0195999,0.000393298,0.000321542,0.000195864,0.00012959,1.73109e-08,2.59973e-07,50.0,0.045225049168603614
M87-10,M87-10,0.00227615,8.11479e-05,2.67166e-05,0.0181386,0.000511618,0.000409845,0.000242405,0.000149236,2.09728e-08,3.4133e-07,50.0,0.0376218263295477
M87-15,M87-15,0.00344049,0.000107463,2.72487e-05,0.0169891,0.000500921,0.000407471,0.000241565,0.000148981,2.10405e-08,3.41391e-07,50.0,0.03296007254780569
M87-20,M87-20,0.00461058,0.00013056,2.76773e-05,0.0158392,0.000489279,0.000404943,0.000240596,0.000148782,2.10521e-08,3.40401e-07,50.0,0.029881333801821026
M87-25,M87-25,0.00578433,0.000151532,2.80477e-05,0.0146893,0.000476833,0.000402016,0.00023962,0.00014876,2.1028e-08,3.3871e-07,50.0,0.027643823917376777
M87-30,M87-30,0.00695993,0.000171025,2.83819e-05,0.01354,0.000463596,0.000399307,0.000238456,0.00014868,2.09674e-08,3.36438e-07,50.0,0.02592917170143953
M87-5,M87-5,0.00112366,4.87279e-05,2.59942e-05,0.0192863,0.000520518,0.000411736,0.000243163,0.000149742,2.07978e-08,3.39419e-07,50.0,0.04576096862040118
mox1,mox43,3.85817e-13,1.10881e-11,2.04086e-05,0.0213547,0.000311319,0.000203018,0.000135307,8.61505e-05,1.33363e-08,1.93082e-07,50.0,29.119416718288726
mox43,mox43,4.29427e-13,9.64144e-12,1.45898e-05,0.0212535,0.000230059,0.000184775,0.000114769,0.000100988,1.11625e-08,1.449e-07,50.0,22.80282562577574
