Thermal / Resonance / Fast fractions (%) per detector and case
================================================================================

DET0
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.81%        41.38%      53.82%
M43-15             4.80%        41.36%      53.85%
M43-20             4.79%        41.34%      53.86%
M43-25             4.79%        41.34%      53.87%
M43-30             4.78%        41.33%      53.89%
M43-5              4.82%        41.40%      53.78%
M70-10             4.78%        41.32%      53.90%
M70-15             4.77%        41.28%      53.95%
M70-20             4.76%        41.26%      53.98%
M70-25             4.75%        41.24%      54.01%
M70-30             4.75%        41.23%      54.03%
M70-5              4.80%        41.36%      53.84%
M87-10             4.81%        41.38%      53.81%
M87-15             4.81%        41.37%      53.83%
M87-20             4.81%        41.35%      53.84%
M87-25             4.80%        41.34%      53.86%
M87-30             4.80%        41.34%      53.86%
M87-5              4.82%        41.40%      53.78%
mox1               4.84%        41.44%      53.72%
mox43              6.60%        41.30%      52.11%

DET1
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.72%        41.41%      53.87%
M43-15             4.72%        41.39%      53.89%
M43-20             4.71%        41.38%      53.91%
M43-25             4.71%        41.37%      53.92%
M43-30             4.70%        41.36%      53.94%
M43-5              4.74%        41.44%      53.83%
M70-10             4.70%        41.35%      53.95%
M70-15             4.69%        41.31%      54.00%
M70-20             4.68%        41.29%      54.03%
M70-25             4.67%        41.27%      54.05%
M70-30             4.67%        41.26%      54.07%
M70-5              4.72%        41.40%      53.88%
M87-10             4.73%        41.41%      53.86%
M87-15             4.73%        41.40%      53.88%
M87-20             4.72%        41.38%      53.89%
M87-25             4.72%        41.37%      53.91%
M87-30             4.72%        41.37%      53.91%
M87-5              4.74%        41.43%      53.82%
mox1               4.76%        41.48%      53.76%
mox43              6.45%        41.36%      52.19%

DET2
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.72%        41.41%      53.87%
M43-15             4.71%        41.39%      53.90%
M43-20             4.71%        41.37%      53.92%
M43-25             4.70%        41.37%      53.93%
M43-30             4.70%        41.36%      53.94%
M43-5              4.73%        41.43%      53.84%
M70-10             4.69%        41.35%      53.95%
M70-15             4.68%        41.32%      54.00%
