case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M43-5,0,0.000000,2,1,0.004173,1.100648,10.064835
M43-5,0,0.000000,2,2,0.003945,1.040541,4.054129
M43-5,0,0.000000,3,1,0.004197,1.106997,10.699693
M43-5,0,0.000000,3,2,0.003952,1.042401,4.240077
M43-5,0,0.000000,3,3,0.003950,1.041791,4.179149
M43-5,0,0.000000,4,2,0.004231,1.115899,11.589865
M43-5,0,0.000000,4,3,0.004236,1.117341,11.734139
M43-5,0,0.000000,5,1,0.004314,1.137814,13.781403
M43-5,0,0.000000,5,2,0.004070,1.073447,7.344733
M43-5,0,0.000000,5,3,0.004098,1.080943,8.094324
M43-5,0,0.000000,5,4,0.004459,1.175956,17.595559
M43-5,0,0.000000,5,5,0.003949,1.041567,4.156730
M43-5,0,0.000000,6,1,0.003929,1.036377,3.637661
M43-5,0,0.000000,6,2,0.003734,0.984805,-1.519535
M43-5,0,0.000000,6,3,0.003772,0.994804,-0.519641
M43-5,0,0.000000,6,4,0.004076,1.074961,7.496128
M43-5,0,0.000000,6,5,0.004228,1.115276,11.527619
M43-5,0,0.000000,7,2,0.004059,1.070586,7.058559
M43-5,0,0.000000,7,3,0.004079,1.075945,7.594509
M43-5,0,0.000000,7,5,0.004242,1.118808,11.880786
M43-5,0,0.000000,7,6,0.004103,1.082120,8.211959
M43-5,0,0.000000,7,7,0.003859,1.017932,1.793224
M43-5,0,0.000000,8,1,0.004150,1.094545,9.454507
M43-5,0,0.000000,8,2,0.003959,1.044084,4.408352
M43-5,0,0.000000,8,3,0.003977,1.048852,4.885221
M43-5,0,0.000000,8,4,0.004172,1.100290,10.028965
M43-5,0,0.000000,8,5,0.003972,1.047549,4.754926
M43-5,0,0.000000,8,6,0.003840,1.012723,1.272309
M43-5,0,0.000000,8,7,0.003842,1.013264,1.326378
M43-5,0,0.000000,8,8,0.002936,0.774344,-22.565630
M43-5,0,0.000000,9,1,0.003027,0.798381,-20.161928
M43-5,0,0.000000,9,2,0.003014,0.795070,-20.493045
M43-5,0,0.000000,9,3,0.003036,0.800776,-19.922359
M43-5,0,0.000000,9,4,0.003032,0.799630,-20.036987
M43-5,0,0.000000,9,5,0.003017,0.795727,-20.427318
M43-5,0,0.000000,9,6,0.002981,0.786356,-21.364412
M43-5,0,0.000000,9,7,0.002997,0.790365,-20.963452
M43-5,0,0.000000,9,8,0.003094,0.816089,-18.391079
M43-5,0,0.000000,9,9,0.003166,0.834996,-16.500353
M43-5,1,0.100000,2,1,0.004200,1.107909,10.790935
M43-5,1,0.100000,2,2,0.003975,1.048566,4.856554
M43-5,1,0.100000,3,1,0.004162,1.097785,9.778526
M43-5,1,0.100000,3,2,0.003978,1.049251,4.925138
M43-5,1,0.100000,3,3,0.003994,1.053643,5.364341
M43-5,1,0.100000,4,2,0.004221,1.113470,11.346995
M43-5,1,0.100000,4,3,0.004233,1.116564,11.656415
M43-5,1,0.100000,5,1,0.004327,1.141283,14.128348
M43-5,1,0.100000,5,2,0.004095,1.080204,8.020397
M43-5,1,0.100000,5,3,0.004112,1.084786,8.478592
M43-5,1,0.100000,5,4,0.004452,1.174304,17.430414
M43-5,1,0.100000,5,5,0.003936,1.038151,3.815129
M43-5,1,0.100000,6,1,0.003953,1.042773,4.277281
M43-5,1,0.100000,6,2,0.003737,0.985655,-1.434464
M43-5,1,0.100000,6,3,0.003756,0.990855,-0.914543
M43-5,1,0.100000,6,4,0.004058,1.070412,7.041225
M43-5,1,0.100000,6,5,0.004225,1.114451,11.445123
M43-5,1,0.100000,7,2,0.004052,1.068917,6.891659
M43-5,1,0.100000,7,3,0.004062,1.071383,7.138298
M43-5,1,0.100000,7,5,0.004233,1.116609,11.660899
M43-5,1,0.100000,7,6,0.004122,1.087289,8.728924
M43-5,1,0.100000,7,7,0.003836,1.011915,1.191519
M43-5,1,0.100000,8,1,0.004163,1.098054,9.805433
M43-5,1,0.100000,8,2,0.003943,1.040061,4.006110
M43-5,1,0.100000,8,3,0.003944,1.040393,4.039347
M43-5,1,0.100000,8,4,0.004182,1.103246,10.324562
M43-5,1,0.100000,8,5,0.003964,1.045521,4.552146
M43-5,1,0.100000,8,6,0.003802,1.002896,0.289637
M43-5,1,0.100000,8,7,0.003840,1.012838,1.283844
M43-5,1,0.100000,8,8,0.002924,0.771193,-22.880668
M43-5,1,0.100000,9,1,0.003024,0.797757,-20.224270
M43-5,1,0.100000,9,2,0.003013,0.794686,-20.531369
M43-5,1,0.100000,9,3,0.003026,0.798209,-20.179110
M43-5,1,0.100000,9,4,0.003048,0.803993,-19.600655
M43-5,1,0.100000,9,5,0.003031,0.799503,-20.049697
M43-5,1,0.100000,9,6,0.002983,0.786981,-21.301939
M43-5,1,0.100000,9,7,0.002988,0.788114,-21.188564
M43-5,1,0.100000,9,8,0.003082,0.812909,-18.709086
M43-5,1,0.100000,9,9,0.003175,0.837466,-16.253429
M43-5,2,0.400000,2,1,0.004197,1.107927,10.792695
M43-5,2,0.400000,2,2,0.003958,1.044765,4.476474
M43-5,2,0.400000,3,1,0.004184,1.104469,10.446883
M43-5,2,0.400000,3,2,0.003960,1.045277,4.527686
M43-5,2,0.400000,3,3,0.003973,1.048859,4.885905
M43-5,2,0.400000,4,2,0.004247,1.120999,12.099918
M43-5,2,0.400000,4,3,0.004278,1.129193,12.919308
