case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
mox43,0,0.000000,2,1,0.004015,1.060499,6.049942
mox43,0,0.000000,2,2,0.003807,1.005431,0.543074
mox43,0,0.000000,3,1,0.003974,1.049683,4.968326
mox43,0,0.000000,3,2,0.003811,1.006688,0.668800
mox43,0,0.000000,3,3,0.003803,1.004393,0.439270
mox43,0,0.000000,4,2,0.003999,1.056324,5.632351
mox43,0,0.000000,4,3,0.003999,1.056268,5.626804
mox43,0,0.000000,5,1,0.003980,1.051186,5.118616
mox43,0,0.000000,5,2,0.003807,1.005668,0.566846
mox43,0,0.000000,5,3,0.003817,1.008183,0.818298
mox43,0,0.000000,5,4,0.004061,1.072539,7.253852
mox43,0,0.000000,5,5,0.003991,1.054189,5.418933
mox43,0,0.000000,6,1,0.003997,1.055777,5.577676
mox43,0,0.000000,6,2,0.003791,1.001252,0.125218
mox43,0,0.000000,6,3,0.003830,1.011625,1.162461
mox43,0,0.000000,6,4,0.004062,1.072848,7.284755
mox43,0,0.000000,6,5,0.004137,1.092824,9.282378
mox43,0,0.000000,7,2,0.003931,1.038178,3.817771
mox43,0,0.000000,7,3,0.003954,1.044276,4.427649
mox43,0,0.000000,7,5,0.004075,1.076223,7.622315
mox43,0,0.000000,7,6,0.003924,1.036345,3.634464
mox43,0,0.000000,7,7,0.003634,0.959755,-4.024545
mox43,0,0.000000,8,1,0.003876,1.023653,2.365314
mox43,0,0.000000,8,2,0.003709,0.979736,-2.026393
mox43,0,0.000000,8,3,0.003725,0.983925,-1.607481
mox43,0,0.000000,8,4,0.003895,1.028912,2.891199
mox43,0,0.000000,8,5,0.003692,0.975167,-2.483340
mox43,0,0.000000,8,6,0.003545,0.936456,-6.354445
mox43,0,0.000000,8,7,0.003469,0.916273,-8.372670
mox43,0,0.000000,8,8,0.003408,0.900029,-9.997076
mox43,0,0.000000,9,1,0.003617,0.955357,-4.464323
mox43,0,0.000000,9,2,0.003587,0.947362,-5.263848
mox43,0,0.000000,9,3,0.003590,0.948180,-5.181967
mox43,0,0.000000,9,4,0.003599,0.950489,-4.951116
mox43,0,0.000000,9,5,0.003566,0.941905,-5.809542
mox43,0,0.000000,9,6,0.003521,0.930037,-6.996283
mox43,0,0.000000,9,7,0.003485,0.920513,-7.948740
mox43,0,0.000000,9,8,0.003454,0.912261,-8.773885
mox43,0,0.000000,9,9,0.003519,0.929593,-7.040657
mox43,1,0.100000,2,1,0.003981,1.050598,5.059788
mox43,1,0.100000,2,2,0.003810,1.005409,0.540948
mox43,1,0.100000,3,1,0.004012,1.058588,5.858798
mox43,1,0.100000,3,2,0.003805,1.004077,0.407692
mox43,1,0.100000,3,3,0.003804,1.003776,0.377610
mox43,1,0.100000,4,2,0.003992,1.053453,5.345299
mox43,1,0.100000,4,3,0.004006,1.057050,5.704959
mox43,1,0.100000,5,1,0.003984,1.051189,5.118895
mox43,1,0.100000,5,2,0.003801,1.003114,0.311378
mox43,1,0.100000,5,3,0.003812,1.005805,0.580529
mox43,1,0.100000,5,4,0.004063,1.072201,7.220123
mox43,1,0.100000,5,5,0.003995,1.054226,5.422614
mox43,1,0.100000,6,1,0.003979,1.049957,4.995666
mox43,1,0.100000,6,2,0.003788,0.999496,-0.050393
mox43,1,0.100000,6,3,0.003806,1.004354,0.435399
mox43,1,0.100000,6,4,0.004068,1.073544,7.354435
mox43,1,0.100000,6,5,0.004159,1.097422,9.742229
mox43,1,0.100000,7,2,0.003970,1.047603,4.760291
mox43,1,0.100000,7,3,0.003971,1.047840,4.784040
mox43,1,0.100000,7,5,0.004068,1.073476,7.347574
mox43,1,0.100000,7,6,0.003946,1.041117,4.111689
mox43,1,0.100000,7,7,0.003644,0.961580,-3.841996
mox43,1,0.100000,8,1,0.003879,1.023638,2.363789
mox43,1,0.100000,8,2,0.003714,0.980146,-1.985380
mox43,1,0.100000,8,3,0.003726,0.983255,-1.674537
mox43,1,0.100000,8,4,0.003889,1.026314,2.631357
mox43,1,0.100000,8,5,0.003697,0.975473,-2.452701
mox43,1,0.100000,8,6,0.003557,0.938618,-6.138227
mox43,1,0.100000,8,7,0.003476,0.917123,-8.287743
mox43,1,0.100000,8,8,0.003441,0.908053,-9.194677
mox43,1,0.100000,9,1,0.003645,0.961862,-3.813762
mox43,1,0.100000,9,2,0.003592,0.947837,-5.216251
mox43,1,0.100000,9,3,0.003587,0.946645,-5.335522
mox43,1,0.100000,9,4,0.003602,0.950598,-4.940239
mox43,1,0.100000,9,5,0.003563,0.940127,-5.987291
mox43,1,0.100000,9,6,0.003495,0.922331,-7.766856
mox43,1,0.100000,9,7,0.003478,0.917729,-8.227052
mox43,1,0.100000,9,8,0.003463,0.913924,-8.607558
mox43,1,0.100000,9,9,0.003526,0.930451,-6.954916
mox43,2,0.400000,2,1,0.003986,1.050841,5.084147
mox43,2,0.400000,2,2,0.003825,1.008557,0.855671
mox43,2,0.400000,3,1,0.003985,1.050620,5.062000
mox43,2,0.400000,3,2,0.003818,1.006719,0.671904
mox43,2,0.400000,3,3,0.003805,1.003234,0.323354
mox43,2,0.400000,4,2,0.003980,1.049352,4.935183
mox43,2,0.400000,4,3,0.004013,1.057965,5.796539
mox43,2,0.400000,5,1,0.003985,1.050757,5.075710
mox43,2,0.400000,5,2,0.003801,1.002092,0.209192
mox43,2,0.400000,5,3,0.003825,1.008459,0.845916
mox43,2,0.400000,5,4,0.004083,1.076498,7.649760
mox43,2,0.400000,5,5,0.003982,1.049884,4.988441
mox43,2,0.400000,6,1,0.003961,1.044342,4.434241
mox43,2,0.400000,6,2,0.003794,1.000394,0.039399
mox43,2,0.400000,6,3,0.003834,1.010771,1.077140
mox43,2,0.400000,6,4,0.004078,1.075158,7.515824
mox43,2,0.400000,6,5,0.004159,1.096414,9.641399
mox43,2,0.400000,7,2,0.003984,1.050267,5.026671
mox43,2,0.400000,7,3,0.003945,1.040198,4.019778
mox43,2,0.400000,7,5,0.004061,1.070734,7.073413
mox43,2,0.400000,7,6,0.003944,1.039860,3.986030
mox43,2,0.400000,7,7,0.003638,0.959240,-4.075970
mox43,2,0.400000,8,1,0.003874,1.021336,2.133600
mox43,2,0.400000,8,2,0.003721,0.981160,-1.883954
mox43,2,0.400000,8,3,0.003712,0.978632,-2.136797
mox43,2,0.400000,8,4,0.003903,1.028945,2.894504
mox43,2,0.400000,8,5,0.003708,0.977567,-2.243313
mox43,2,0.400000,8,6,0.003559,0.938296,-6.170434
mox43,2,0.400000,8,7,0.003470,0.914881,-8.511941
mox43,2,0.400000,8,8,0.003435,0.905782,-9.421810
