keff vs. Conversion Ratio - End-of-cycle summary
===========================================================================
case             BU0     BUend       CR0     CRend     keff0    keff_end
---------------------------------------------------------------------------
M43-10         0.000    50.000    0.6181    0.8033    1.1557      0.9223
M43-15         0.000    50.000    0.6214    0.8055    1.1531      0.9221
M43-20         0.000    50.000    0.6240    0.8076    1.1510      0.9216
M43-25         0.000    50.000    0.6260    0.8089    1.1490      0.9214
M43-30         0.000    50.000    0.6279    0.8109    1.1476      0.9208
M43-5          0.000    50.000    0.6128    0.7989    1.1599      0.9230
M70-10         0.000    50.000    0.6310    0.8122    1.1466      0.9213
M70-15         0.000    50.000    0.6370    0.8169    1.1423      0.9208
M70-20         0.000    50.000    0.6418    0.8217    1.1381      0.9190
M70-25         0.000    50.000    0.6455    0.8244    1.1348      0.9180
M70-30         0.000    50.000    0.6486    0.8270    1.1320      0.9174
M70-5          0.000    50.000    0.6208    0.8054    1.1542      0.9223
M87-10         0.000    50.000    0.6173    0.8033    1.1562      0.9216
M87-15         0.000    50.000    0.6205    0.8060    1.1537      0.9210
M87-20         0.000    50.000    0.6224    0.8074    1.1521      0.9208
M87-25         0.000    50.000    0.6248    0.8094    1.1498      0.9200
M87-30         0.000    50.000    0.6255    0.8107    1.1495      0.9192
M87-5          0.000    50.000    0.6128    0.7997    1.1598      0.9221
mox1           0.000    50.000    0.6035    0.7933    1.1663      0.9232
mox43          0.000    50.000    0.6315    0.8811    1.1350      0.8542
