# BURN_STEP: step (dimensionless) | case: case label | layout_base: layout | Th_level: fraction | Pu_level: fraction | U235_enrichment: fraction | U233_enrichment: fraction | burnup_MWd_kgHM: MWd/kgHM | EFPD: day | ANA_KEFF: dimensionless | reactivity_pcm: pcm | conversion_ratio: dimensionless | Mdens_U233: g/cm3 | Mdens_U235: g/cm3 | Mdens_U238: g/cm3 | Mdens_Th232: g/cm3 | Mdens_Pa233: g/cm3 | Mdens_Pu239: g/cm3 | Mdens_Pu241: g/cm3 | Mdens_Pu240: g/cm3 | Mdens_Pu242: g/cm3 | Mdens_Am241: g/cm3 | Mdens_Am243: g/cm3 | Mdens_Sm149: g/cm3 | Mdens_Xe135: g/cm3 | Adens_U233: atoms/barn/cm | Adens_U235: atoms/barn/cm | Adens_U238: atoms/barn/cm | Adens_Th232: atoms/barn/cm | Adens_Pa233: atoms/barn/cm | Adens_Pu239: atoms/barn/cm | Adens_Pu241: atoms/barn/cm | Adens_Pu240: atoms/barn/cm | Adens_Pu242: atoms/barn/cm | Adens_Am241: atoms/barn/cm | Adens_Am243: atoms/barn/cm | Adens_Sm149: atoms/barn/cm | Adens_Xe135: atoms/barn/cm | Mass_U233_kg: kg | Mass_U235_kg: kg | Mass_U238_kg: kg | Mass_Th232_kg: kg | Mass_Pa233_kg: kg | Mass_Pu239_kg: kg | Mass_Pu241_kg: kg | Mass_Pu240_kg: kg | Mass_Pu242_kg: kg | Mass_Am241_kg: kg | Mass_Am243_kg: kg | Mass_Sm149_kg: kg | Mass_Xe135_kg: kg | U235_FISS: 1/s | U238_FISS: 1/s | PU239_FISS: 1/s | PU240_FISS: 1/s | PU241_FISS: 1/s | U235_CAPT: 1/s | U238_CAPT: 1/s | PU239_CAPT: 1/s | PU240_CAPT: 1/s | PU241_CAPT: 1/s | XE135_CAPT: 1/s | XE135M_CAPT: 1/s
BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,ANA_KEFF,reactivity_pcm,conversion_ratio,Mdens_U233,Mdens_U235,Mdens_U238,Mdens_Th232,Mdens_Pa233,Mdens_Pu239,Mdens_Pu241,Mdens_Pu240,Mdens_Pu242,Mdens_Am241,Mdens_Am243,Mdens_Sm149,Mdens_Xe135,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu241,Adens_Pu240,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135,Mass_U233_kg,Mass_U235_kg,Mass_U238_kg,Mass_Th232_kg,Mass_Pa233_kg,Mass_Pu239_kg,Mass_Pu241_kg,Mass_Pu240_kg,Mass_Pu242_kg,Mass_Am241_kg,Mass_Am243_kg,Mass_Sm149_kg,Mass_Xe135_kg,U235_FISS,U238_FISS,PU239_FISS,PU240_FISS,PU241_FISS,U235_CAPT,U238_CAPT,PU239_CAPT,PU240_CAPT,PU241_CAPT,XE135_CAPT,XE135M_CAPT
0,A001,uniform,0.00,0,0.02,0,0.0,0.0,1.24679,19794.031071792368,0.536048,0.0,0.170637,8.46817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000437187,0.0214222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.683355559670176,430.9272376432555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333560000000000.0,76769500000000.0,2938040000000.0,29038700.0,29015400.0,267305000000000.0,858168000000000.0,1580730000000.0,17393900000.0,2478730000.0,77713800000000.0,0.0
1,A001,uniform,0.00,0,0.02,0,0.1,2.6315789473684212,1.20054,16704.149799256997,0.54976,2.92918e-11,0.169619,8.46755,1.7936e-14,2.42147e-16,0.000167163,3.28339e-09,6.52142e-07,3.3454e-12,2.64249e-13,8.58061e-16,1.45931e-06,1.08317e-06,7.56938e-14,0.00043458,0.0214206,4.6549e-17,6.25738e-19,4.21106e-07,8.20279e-12,1.63598e-09,8.32285e-15,6.60143e-16,2.12592e-18,5.90128e-09,4.83513e-09,1.4905976686342753e-09,8.631551695562482,430.89568715627433,9.12725055634149e-13,1.2322348017765514e-14,0.00850657105681151,1.6708476362726406e-07,3.3186125291668435e-05,1.7024032120419723e-10,1.3447071990759825e-11,4.366490711209263e-14,7.426119541355207e-05,5.512022739246438e-05,1333560000000000.0,76769500000000.0,2938040000000.0,29038700.0,29015400.0,267305000000000.0,858168000000000.0,1580730000000.0,17393900000.0,2478730000.0,77713800000000.0,0.0
2,A001,uniform,0.00,0,0.02,0,0.400001,10.526342105263158,1.19169,16085.559163876505,0.55094,1.17681e-10,0.166602,8.46569,2.85615e-13,1.26525e-14,0.0015226,3.54945e-07,1.74131e-05,1.44201e-09,1.13226e-10,2.14023e-12,6.69806e-06,1.09273e-06,3.04103e-13,0.00042685,0.0214159,7.41251e-16,3.26956e-17,3.83563e-06,8.86749e-10,4.36828e-08,3.5875e-12,2.8286e-13,5.3026e-15,2.70862e-08,4.87779e-09,5.98853686842564e-09,8.478022954881828,430.80103569533105,1.4534342482434624e-11,6.438589298846493e-13,0.07748188947973657,1.8062399357273807e-05,0.0008861157820173394,7.338083505101467e-08,5.761831353101703e-09,1.0891177217996624e-10,0.0003408500884333668,5.560671554656018e-05,1327930000000000.0,79675800000000.0,26658700000000.0,1019270000.0,6508040000.0,267451000000000.0,879574000000000.0,14284900000000.0,468872000000.0,14794600000.0,78267500000000.0,0.0
3,A001,uniform,0.00,0,0.02,0,0.700003,18.42113157894737,1.18794,15820.664343317003,0.550335,2.08124e-10,0.163645,8.46381,8.69184e-13,5.63646e-14,0.00308581,2.21236e-06,6.06401e-05,1.5995e-08,1.25421e-09,4.49976e-11,7.9838e-06,1.10071e-06,5.3782e-13,0.000419275,0.0214112,2.25578e-15,1.45653e-16,7.77357e-06,5.52708e-09,1.52123e-07,3.97931e-11,3.13324e-12,1.11485e-13,3.22856e-08,4.9134e-09,1.059098960073604e-08,8.327547487134831,430.70536647674317,4.4230933026110177e-11,2.8682751266055168e-12,0.1570303358567358,0.00011258231512504269,0.0030858462670696,8.139516762303864e-07,6.382409076867227e-08,2.289832569324441e-09,0.0004062786741286751,5.60128008467364e-05,1327930000000000.0,79675800000000.0,26658700000000.0,1019270000.0,6508040000.0,267451000000000.0,879574000000000.0,14284900000000.0,468872000000.0,14794600000.0,78267500000000.0,0.0
4,A001,uniform,0.00,0,0.02,0,1.0,26.315789473684212,1.18497,15609.677882140482,0.549532,2.90271e-10,0.160752,8.46193,1.76168e-12,1.38924e-13,0.00460172,6.8131e-06,0.000128741,7.14582e-08,5.60109e-09,3.00083e-10,8.26218e-06,1.10775e-06,7.50097e-13,0.000411861,0.0214064,4.57205e-15,3.58997e-16,1.15923e-05,1.70209e-08,3.22963e-07,1.77777e-10,1.39925e-11,7.43481e-13,3.34113e-08,4.94481e-09,1.4771276462086308e-08,8.180328843850395,430.60969725815534,8.964816436271005e-11,7.069548150586446e-12,0.23417178540436975,0.0003467042304048294,0.006551356845862844,3.6363564657959488e-06,2.850276082661616e-07,1.5270588362503472e-08,0.0004204448427831932,5.637105153761866e-05,1302240000000000.0,80586300000000.0,53631000000000.0,3552990000.0,39971800000.0,262830000000000.0,884386000000000.0,28763700000000.0,1606790000000.0,44652000000.0,78419300000000.0,0.0
5,A001,uniform,0.00,0,0.02,0,1.30001,34.210789473684216,1.18183,15385.46153000008,0.549951,3.73062e-10,0.157919,8.46004,2.9561e-12,2.61933e-13,0.00604868,1.51821e-05,0.000219042,2.09872e-07,1.6437e-08,1.18132e-09,8.39608e-06,1.11406e-06,9.64041e-13,0.000404602,0.0214016,7.67191e-15,6.76869e-16,1.52374e-05,3.7929e-08,5.49492e-07,5.22129e-10,4.10626e-11,2.92682e-12,3.39528e-08,4.973e-09,1.8984335119591153e-08,8.036163473499618,430.51351916074515,1.504296686529944e-10,1.3329215655520712e-11,0.30780451547241094,0.0007725849167675743,0.011146583498896925,1.0679941618869876e-05,8.364441201749836e-07,6.011487303310285e-08,0.0004272587302134681,5.6692154074474796e-05,1302240000000000.0,80586300000000.0,53631000000000.0,3552990000.0,39971800000.0,262830000000000.0,884386000000000.0,28763700000000.0,1606790000000.0,44652000000.0,78419300000000.0,0.0
6,A001,uniform,0.00,0,0.02,0,1.60001,42.105526315789476,1.17835,15135.5709254466,0.55076,4.53387e-10,0.155143,8.45815,4.44576e-12,4.2459e-13,0.00742857,2.81376e-05,0.000329037,4.84472e-07,3.78944e-08,3.43504e-09,8.51538e-06,1.11954e-06,1.17161e-12,0.00039749,0.0213969,1.1538e-14,1.09719e-15,1.87136e-05,7.02952e-08,8.25427e-07,1.20529e-09,9.46671e-11,8.51058e-12,3.44352e-08,4.99745e-09,2.3071904259522738e-08,7.894898712435815,430.41734106333496,2.26235311292154e-10,2.160648591501468e-11,0.3780241952794474,0.001431862874967185,0.01674399610452127,2.4653754078567542e-05,1.9283657642853865e-06,1.7480191096707887e-07,0.00043332965456322023,5.6971019669082024e-05,1273790000000000.0,81030000000000.0,79546300000000.0,7528610000.0,129268000000.0,257298000000000.0,886409000000000.0,42645600000000.0,3400670000000.0,98274700000.0,78548200000000.0,0.0
7,A001,uniform,0.00,0,0.02,0,2.00001,52.63184210526316,1.17345,14781.20073288168,0.552538,5.62624e-10,0.151526,8.45563,6.88016e-12,7.00252e-13,0.00917149,5.36437e-05,0.000502546,1.17032e-06,9.13135e-08,1.06312e-08,8.67231e-06,1.12591e-06,1.45389e-12,0.000388223,0.0213905,1.78559e-14,1.80954e-15,2.31042e-05,1.34016e-07,1.26069e-06,2.91158e-09,2.28118e-10,2.63397e-11,3.50698e-08,5.0259e-09,2.8630743850418565e-08,7.710837242418602,430.2891036001214,3.5011677178701195e-10,3.563434130563805e-11,0.4667177029715677,0.002729814287852453,0.025573501661949095,5.95551063285993e-05,4.646750633789521e-06,5.409992535380109e-07,0.00044131548992119683,5.7295175478871796e-05,1273790000000000.0,81030000000000.0,79546300000000.0,7528610000.0,129268000000.0,257298000000000.0,886409000000000.0,42645600000000.0,3400670000000.0,98274700000.0,78548200000000.0,0.0
8,A001,uniform,0.00,0,0.02,0,2.50001,65.78973684210527,1.16709,14316.805045026515,0.555808,6.92882e-10,0.147132,8.45245,1.06233e-11,1.1331e-12,0.011206,0.000100108,0.000756308,2.77313e-06,2.15496e-07,3.22915e-08,8.86839e-06,1.13244e-06,1.7905e-12,0.000376967,0.0213824,2.75705e-14,2.92808e-15,2.82293e-05,2.50097e-07,1.89729e-06,6.89912e-09,5.3835e-10,8.00048e-11,3.58628e-08,5.05505e-09,3.5259297613620674e-08,7.487235887910549,430.1272801346377,5.405972392684129e-10,5.7661059352088215e-11,0.5702496082424328,0.005094284114040108,0.038486912431788124,0.0001411187128418113,1.0966135068517871e-05,1.643246048952393e-06,0.0004512935858683837,5.762747334981799e-05,1247020000000000.0,81582400000000.0,103989000000000.0,12544200000.0,286844000000.0,252308000000000.0,887797000000000.0,55579900000000.0,5758410000000.0,183708000000.0,78664100000000.0,0.0
9,A001,uniform,0.00,0,0.02,0,3.00001,78.94763157894737,1.16028,13813.90698796842,0.559972,8.16555e-10,0.142873,8.44926,1.51197e-11,1.6564e-12,0.0130938,0.000163728,0.00104431,5.52456e-06,4.27186e-07,7.89842e-08,9.059e-06,1.13779e-06,2.11008e-12,0.000366053,0.0213744,3.92398e-14,4.28034e-15,3.2985e-05,4.09037e-07,2.61978e-06,1.37443e-08,1.06719e-09,1.9569e-10,3.66335e-08,5.07891e-09,4.155275467235406e-08,7.27050439750322,429.96494779033173,7.694095129165723e-10,8.429068812178882e-11,0.6663157523116869,0.00833177118135972,0.05314272428910002,0.00028113315863928376,2.1738590857277514e-05,4.019338667440831e-06,0.00046099332509978556,5.7899723519735635e-05,1247020000000000.0,81582400000000.0,103989000000000.0,12544200000.0,286844000000.0,252308000000000.0,887797000000000.0,55579900000000.0,5758410000000.0,183708000000.0,78664100000000.0,0.0
