case,detector,G1,G2,G3,G4,G5,G6,G7
A001,det1,288264878892.7336,1356056955017.301,55442169896193.77,51904502422145.33,89723280622837.38,17288123529411.766,253805512110726.66
A002,det1,180684512110.72665,852691256055.3633,36052393771626.3,38345366782006.92,80808383391003.45,15838641522491.35,233266404844290.66
A003,det1,99406640484.42906,467149965397.9239,20587971626297.58,26409721453287.195,71971353287197.23,14563331833910.035,215849100346020.75
A004,det1,422634688581.3149,1982955224913.4949,79762540484429.06,70486161591695.5,109997764705882.36,21646506574394.465,319239871972318.3
A005,det1,268797359861.5917,1267150138408.3044,52419631833910.03,51277935294117.65,95172211072664.36,18962549134948.098,280153519031141.88
A006,det1,149759871972.31833,705462532871.9723,30377956401384.082,34889917301038.062,81911128373702.42,16695861245674.74,247837546712802.78
A007,det1,763431920415.2249,3567833010380.623,140660840830449.83,116452273356401.39,158592069204152.25,30787616608996.54,454530934256055.4
A008,det1,495742221453.2872,2325272560553.6333,93528700000000.0,82839898269896.19,128543930795847.75,25128716955017.3,371612833910034.6
A009,det1,282321868512.1107,1329976608996.5398,55192561245674.74,54855633217993.08,103369505190311.42,20490563667820.07,303800456747404.9
A010,det1,3048691349480.9688,14177420415224.914,546716193771626.3,420508519031141.9,479560515570934.25,90087853979238.75,1328458650519031.2
A011,det1,2075776228373.7024,9663317474048.443,374765882352941.2,293930110726643.6,350561961937716.25,65937140138408.305,972768750865051.9
A012,det1,1245193840830.4497,5811208200692.042,227978913494809.7,185673083044982.7,240627231833910.03,45396238408304.5,670357297577854.6
B001,det1,78433521453.2872,368120961937.71625,15947036678200.691,20809403460207.613,66057990657439.445,13767506920415.225,208336878892733.56
B002,det1,31298892387.54325,144447477508.6505,6403947820069.204,10595114913494.81,51424829757785.47,11846807612456.748,182649799307958.47
B003,det1,18369839792.387543,83246340830.44983,3669173979238.7544,6891079584775.087,44053846712802.766,10963630795847.75,172137622837370.25
B004,det1,12612671972.318338,56722696885.81315,2461327024221.453,4983909965397.924,39041599307958.48,10347724221453.287,165480553633218.0
B005,det1,9486994359.861591,42420005536.33218,1807055847750.865,3834080761245.675,35239746020761.24,9858781937716.264,160486377162629.75
B006,det1,7558949792.387544,33526238062.283737,1408477636678.2007,3076795778546.713,32189051557093.426,9433209377162.629,156345363321799.3
B007,det1,6216502283.737024,27612453633.217995,1144132346020.7612,2543649273356.4014,29641611072664.36,9052310103806.229,152734792387543.25
