case,material,step,burnup_MWd_kgHM
M43-10,M43-10,0,0.0
M43-10,M43-10,1,0.0795368
M43-10,M43-10,2,0.317885
M43-10,M43-10,3,0.556198
M43-10,M43-10,4,0.794596
M43-10,M43-10,5,1.03304
M43-10,M43-10,6,1.27151
M43-10,M43-10,7,1.58966
M43-10,M43-10,8,1.98765
M43-10,M43-10,9,2.38619
M43-10,M43-10,10,3.18419
M43-10,M43-10,11,3.9836
M43-10,M43-10,12,4.7848
M43-10,M43-10,13,5.58736
M43-10,M43-10,14,6.39179
M43-10,M43-10,15,8.00447
M43-10,M43-10,16,9.62353
M43-10,M43-10,17,11.2493
M43-10,M43-10,18,12.8814
M43-10,M43-10,19,14.5196
M43-10,M43-10,20,16.165
M43-10,M43-10,21,19.4744
M43-10,M43-10,22,22.8092
M43-10,M43-10,23,27.8632
M43-10,M43-10,24,34.7019
M43-10,M43-10,25,41.657
M43-10,mox70,0,0.0
M43-10,mox70,1,0.105554
M43-10,mox70,2,0.422151
M43-10,mox70,3,0.738664
M43-10,mox70,4,1.05519
M43-10,mox70,5,1.37162
M43-10,mox70,6,1.68804
M43-10,mox70,7,2.10981
M43-10,mox70,8,2.63687
M43-10,mox70,9,3.16364
M43-10,mox70,10,4.21668
M43-10,mox70,11,5.26926
M43-10,mox70,12,6.32084
M43-10,mox70,13,7.37174
M43-10,mox70,14,8.42186
M43-10,mox70,15,10.5196
M43-10,mox70,16,12.6144
M43-10,mox70,17,14.7061
M43-10,mox70,18,16.7948
M43-10,mox70,19,18.8802
M43-10,mox70,20,20.9624
M43-10,mox70,21,25.1179
M43-10,mox70,22,29.2608
M43-10,mox70,23,35.4515
M43-10,mox70,24,43.6602
M43-10,mox70,25,51.8206
M43-10,mox87,0,0.0
M43-10,mox87,1,0.109981
M43-10,mox87,2,0.440306
M43-10,mox87,3,0.770824
M43-10,mox87,4,1.10124
M43-10,mox87,5,1.43177
M43-10,mox87,6,1.7623
M43-10,mox87,7,2.20307
M43-10,mox87,8,2.75399
M43-10,mox87,9,3.30491
M43-10,mox87,10,4.40678
M43-10,mox87,11,5.50812
M43-10,mox87,12,6.60955
M43-10,mox87,13,7.71089
M43-10,mox87,14,8.81181
M43-10,mox87,15,11.0146
M43-10,mox87,16,13.2165
M43-10,mox87,17,15.4176
M43-10,mox87,18,17.6178
M43-10,mox87,19,19.8184
M43-10,mox87,20,22.0176
M43-10,mox87,21,26.4146
M43-10,mox87,22,30.8096
M43-10,mox87,23,37.395
M43-10,mox87,24,46.1612
M43-10,mox87,25,54.9022
M43-15,M43-15,0,0.0
M43-15,M43-15,1,0.0790548
M43-15,M43-15,2,0.315997
M43-15,M43-15,3,0.553078
M43-15,M43-15,4,0.790099
M43-15,M43-15,5,1.02724
M43-15,M43-15,6,1.26438
M43-15,M43-15,7,1.58091
M43-15,M43-15,8,1.97683
M43-15,M43-15,9,2.37332
M43-15,M43-15,10,3.16728
M43-15,M43-15,11,3.96305
M43-15,M43-15,12,4.76026
M43-15,M43-15,13,5.5595
M43-15,M43-15,14,6.36014
M43-15,M43-15,15,7.96698
M43-15,M43-15,16,9.58164
M43-15,M43-15,17,11.2034
M43-15,M43-15,18,12.8322
M43-15,M43-15,19,14.4681
M43-15,M43-15,20,16.1119
M43-15,M43-15,21,19.4227
M43-15,M43-15,22,22.762
M43-15,M43-15,23,27.828
M43-15,M43-15,24,34.6883
M43-15,M43-15,25,41.6791
M43-15,mox70,0,0.0
M43-15,mox70,1,0.105643
M43-15,mox70,2,0.422436
M43-15,mox70,3,0.739243
M43-15,mox70,4,1.05604
M43-15,mox70,5,1.37268
M43-15,mox70,6,1.68932
M43-15,mox70,7,2.11138
M43-15,mox70,8,2.639
M43-15,mox70,9,3.1662
M43-15,mox70,10,4.22021
M43-15,mox70,11,5.27336
M43-15,mox70,12,6.32568
M43-15,mox70,13,7.37701
M43-15,mox70,14,8.42766
M43-15,mox70,15,10.5264
M43-15,mox70,16,12.6217
M43-15,mox70,17,14.7134
M43-15,mox70,18,16.8017
M43-15,mox70,19,18.8866
M43-15,mox70,20,20.9681
M43-15,mox70,21,25.1212
M43-15,mox70,22,29.2608
M43-15,mox70,23,35.4437
M43-15,mox70,24,43.6396
M43-15,mox70,25,51.7822
M43-15,mox87,0,0.0
M43-15,mox87,1,0.110293
M43-15,mox87,2,0.441653
M43-15,mox87,3,0.772846
M43-15,mox87,4,1.10412
M43-15,mox87,5,1.43556
M43-15,mox87,6,1.76702
M43-15,mox87,7,2.20884
M43-15,mox87,8,2.76077
M43-15,mox87,9,3.31295
M43-15,mox87,10,4.41702
M43-15,mox87,11,5.52092
M43-15,mox87,12,6.62493
M43-15,mox87,13,7.72877
M43-15,mox87,14,8.83249
M43-15,mox87,15,11.0392
M43-15,mox87,16,13.2447
M43-15,mox87,17,15.4496
M43-15,mox87,18,17.654
M43-15,mox87,19,19.8578
M43-15,mox87,20,22.0599
M43-15,mox87,21,26.4599
M43-15,mox87,22,30.8566
M43-15,mox87,23,37.4447
M43-15,mox87,24,46.2134
M43-15,mox87,25,54.9523
M43-20,M43-20,0,0.0
M43-20,M43-20,1,0.0786693
M43-20,M43-20,2,0.314506
M43-20,M43-20,3,0.55041
M43-20,M43-20,4,0.786183
M43-20,M43-20,5,1.02201
M43-20,M43-20,6,1.25808
M43-20,M43-20,7,1.57309
M43-20,M43-20,8,1.96722
M43-20,M43-20,9,2.36178
M43-20,M43-20,10,3.15208
M43-20,M43-20,11,3.94369
M43-20,M43-20,12,4.73727
M43-20,M43-20,13,5.5333
M43-20,M43-20,14,6.33072
M43-20,M43-20,15,7.9319
M43-20,M43-20,16,9.54167
M43-20,M43-20,17,11.1576
M43-20,M43-20,18,12.7824
M43-20,M43-20,19,14.415
M43-20,M43-20,20,16.0557
M43-20,M43-20,21,19.3605
M43-20,M43-20,22,22.6989
M43-20,M43-20,23,27.7693
M43-20,M43-20,24,34.6461
M43-20,M43-20,25,41.652
M43-20,mox70,0,0.0
M43-20,mox70,1,0.10575
M43-20,mox70,2,0.422875
M43-20,mox70,3,0.740015
M43-20,mox70,4,1.05709
M43-20,mox70,5,1.37406
M43-20,mox70,6,1.69102
M43-20,mox70,7,2.11348
M43-20,mox70,8,2.64137
M43-20,mox70,9,3.169
M43-20,mox70,10,4.22382
M43-20,mox70,11,5.27807
M43-20,mox70,12,6.33144
M43-20,mox70,13,7.38372
M43-20,mox70,14,8.43505
M43-20,mox70,15,10.535
M43-20,mox70,16,12.6312
M43-20,mox70,17,14.7237
M43-20,mox70,18,16.813
M43-20,mox70,19,18.8981
M43-20,mox70,20,20.98
M43-20,mox70,21,25.1327
M43-20,mox70,22,29.2708
M43-20,mox70,23,35.4514
M43-20,mox70,24,43.6403
M43-20,mox70,25,51.7764
M43-20,mox87,0,0.0
M43-20,mox87,1,0.110477
M43-20,mox87,2,0.442317
M43-20,mox87,3,0.774059
M43-20,mox87,4,1.10606
M43-20,mox87,5,1.43818
M43-20,mox87,6,1.7701
M43-20,mox87,7,2.21269
M43-20,mox87,8,2.76592
M43-20,mox87,9,3.3192
M43-20,mox87,10,4.4254
M43-20,mox87,11,5.53138
M43-20,mox87,12,6.63705
M43-20,mox87,13,7.74231
M43-20,mox87,14,8.84797
M43-20,mox87,15,11.058
M43-20,mox87,16,13.2667
M43-20,mox87,17,15.476
M43-20,mox87,18,17.6824
M43-20,mox87,19,19.889
M43-20,mox87,20,22.0937
M43-20,mox87,21,26.5002
M43-20,mox87,22,30.9007
M43-20,mox87,23,37.4888
M43-20,mox87,24,46.2544
M43-20,mox87,25,54.9901
M43-25,M43-25,0,0.0
M43-25,M43-25,1,0.0782794
M43-25,M43-25,2,0.313162
M43-25,M43-25,3,0.547869
M43-25,M43-25,4,0.782675
M43-25,M43-25,5,1.01744
M43-25,M43-25,6,1.25234
M43-25,M43-25,7,1.56562
M43-25,M43-25,8,1.95781
M43-25,M43-25,9,2.35041
M43-25,M43-25,10,3.13683
M43-25,M43-25,11,3.92548
M43-25,M43-25,12,4.71634
M43-25,M43-25,13,5.50903
M43-25,M43-25,14,6.30351
M43-25,M43-25,15,7.8993
M43-25,M43-25,16,9.50336
M43-25,M43-25,17,11.115
M43-25,M43-25,18,12.7355
M43-25,M43-25,19,14.3649
M43-25,M43-25,20,16.0034
M43-25,M43-25,21,19.3062
M43-25,M43-25,22,22.6428
M43-25,M43-25,23,27.7101
M43-25,M43-25,24,34.5896
M43-25,M43-25,25,41.6097
M43-25,mox70,0,0.0
M43-25,mox70,1,0.105824
M43-25,mox70,2,0.423209
M43-25,mox70,3,0.740601
M43-25,mox70,4,1.05787
M43-25,mox70,5,1.37513
M43-25,mox70,6,1.69235
M43-25,mox70,7,2.11522
M43-25,mox70,8,2.64366
M43-25,mox70,9,3.17187
M43-25,mox70,10,4.22774
M43-25,mox70,11,5.28242
M43-25,mox70,12,6.3366
M43-25,mox70,13,7.38955
M43-25,mox70,14,8.44166
M43-25,mox70,15,10.5428
M43-25,mox70,16,12.6402
M43-25,mox70,17,14.7339
M43-25,mox70,18,16.8239
M43-25,mox70,19,18.9097
M43-25,mox70,20,20.9916
M43-25,mox70,21,25.1447
M43-25,mox70,22,29.282
M43-25,mox70,23,35.4606
M43-25,mox70,24,43.6476
M43-25,mox70,25,51.7783
M43-25,mox87,0,0.0
M43-25,mox87,1,0.110727
M43-25,mox87,2,0.443028
M43-25,mox87,3,0.775491
M43-25,mox87,4,1.10809
M43-25,mox87,5,1.44074
M43-25,mox87,6,1.77332
M43-25,mox87,7,2.21686
M43-25,mox87,8,2.771
M43-25,mox87,9,3.32515
M43-25,mox87,10,4.43325
M43-25,mox87,11,5.54136
M43-25,mox87,12,6.64822
M43-25,mox87,13,7.75554
M43-25,mox87,14,8.86268
M43-25,mox87,15,11.0758
M43-25,mox87,16,13.288
M43-25,mox87,17,15.4993
M43-25,mox87,18,17.7088
M43-25,mox87,19,19.9173
M43-25,mox87,20,22.1241
M43-25,mox87,21,26.5319
M43-25,mox87,22,30.9358
M43-25,mox87,23,37.5306
M43-25,mox87,24,46.2969
M43-25,mox87,25,55.0287
M43-30,M43-30,0,0.0
M43-30,M43-30,1,0.0779385
M43-30,M43-30,2,0.311599
M43-30,M43-30,3,0.545317
M43-30,M43-30,4,0.779062
M43-30,M43-30,5,1.01276
M43-30,M43-30,6,1.24672
M43-30,M43-30,7,1.55878
M43-30,M43-30,8,1.94905
M43-30,M43-30,9,2.33973
M43-30,M43-30,10,3.12294
M43-30,M43-30,11,3.90868
M43-30,M43-30,12,4.6961
M43-30,M43-30,13,5.48579
M43-30,M43-30,14,6.27739
M43-30,M43-30,15,7.86746
M43-30,M43-30,16,9.46675
M43-30,M43-30,17,11.075
M43-30,M43-30,18,12.6909
M43-30,M43-30,19,14.3173
M43-30,M43-30,20,15.9516
M43-30,M43-30,21,19.2474
M43-30,M43-30,22,22.58
M43-30,M43-30,23,27.6446
M43-30,M43-30,24,34.5216
M43-30,M43-30,25,41.5441
M43-30,mox70,0,0.0
M43-30,mox70,1,0.105961
M43-30,mox70,2,0.423739
M43-30,mox70,3,0.741366
M43-30,mox70,4,1.05898
M43-30,mox70,5,1.37659
M43-30,mox70,6,1.69409
M43-30,mox70,7,2.11722
M43-30,mox70,8,2.64601
M43-30,mox70,9,3.17472
M43-30,mox70,10,4.23142
M43-30,mox70,11,5.28718
M43-30,mox70,12,6.34193
M43-30,mox70,13,7.39574
M43-30,mox70,14,8.44869
M43-30,mox70,15,10.5513
M43-30,mox70,16,12.6497
M43-30,mox70,17,14.7444
M43-30,mox70,18,16.8353
M43-30,mox70,19,18.9218
M43-30,mox70,20,21.0047
M43-30,mox70,21,25.1597
M43-30,mox70,22,29.2987
M43-30,mox70,23,35.4769
M43-30,mox70,24,43.6647
M43-30,mox70,25,51.7933
M43-30,mox87,0,0.0
M43-30,mox87,1,0.110811
M43-30,mox87,2,0.443591
M43-30,mox87,3,0.776598
M43-30,mox87,4,1.10961
M43-30,mox87,5,1.44267
M43-30,mox87,6,1.77566
M43-30,mox87,7,2.21995
M43-30,mox87,8,2.77532
M43-30,mox87,9,3.33043
M43-30,mox87,10,4.4402
M43-30,mox87,11,5.54917
M43-30,mox87,12,6.65839
M43-30,mox87,13,7.7671
M43-30,mox87,14,8.87552
M43-30,mox87,15,11.0917
M43-30,mox87,16,13.3065
M43-30,mox87,17,15.5195
M43-30,mox87,18,17.7318
M43-30,mox87,19,19.9419
M43-30,mox87,20,22.151
M43-30,mox87,21,26.5624
M43-30,mox87,22,30.9669
M43-30,mox87,23,37.5653
M43-30,mox87,24,46.3327
M43-30,mox87,25,55.0662
M43-5,M43-5,0,0.0
M43-5,M43-5,1,0.0800103
M43-5,M43-5,2,0.31996
M43-5,M43-5,3,0.559822
M43-5,M43-5,4,0.799821
M43-5,M43-5,5,1.03982
M43-5,M43-5,6,1.27992
M43-5,M43-5,7,1.60019
M43-5,M43-5,8,2.00088
M43-5,M43-5,9,2.40174
M43-5,M43-5,10,3.20424
M43-5,M43-5,11,4.00801
M43-5,M43-5,12,4.81278
M43-5,M43-5,13,5.61896
M43-5,M43-5,14,6.42646
M43-5,M43-5,15,8.04461
M43-5,M43-5,16,9.66829
M43-5,M43-5,17,11.2966
M43-5,M43-5,18,12.9299
M43-5,M43-5,19,14.5694
M43-5,M43-5,20,16.2135
M43-5,M43-5,21,19.5162
M43-5,M43-5,22,22.8425
M43-5,M43-5,23,27.8744
M43-5,M43-5,24,34.6699
M43-5,M43-5,25,41.5656
M43-5,mox70,0,0.0
M43-5,mox70,1,0.105483
M43-5,mox70,2,0.421822
M43-5,mox70,3,0.738038
M43-5,mox70,4,1.05423
M43-5,mox70,5,1.37042
M43-5,mox70,6,1.6865
M43-5,mox70,7,2.10787
M43-5,mox70,8,2.63441
M43-5,mox70,9,3.16079
M43-5,mox70,10,4.21328
M43-5,mox70,11,5.2651
M43-5,mox70,12,6.31641
M43-5,mox70,13,7.36685
M43-5,mox70,14,8.41662
M43-5,mox70,15,10.5147
M43-5,mox70,16,12.6099
M43-5,mox70,17,14.7025
M43-5,mox70,18,16.7922
M43-5,mox70,19,18.8789
M43-5,mox70,20,20.9631
M43-5,mox70,21,25.1246
M43-5,mox70,22,29.2737
M43-5,mox70,23,35.4763
M43-5,mox70,24,43.7076
M43-5,mox70,25,51.8932
M43-5,mox87,0,0.0
M43-5,mox87,1,0.109642
M43-5,mox87,2,0.438854
M43-5,mox87,3,0.768384
M43-5,mox87,4,1.09783
M43-5,mox87,5,1.42727
M43-5,mox87,6,1.75683
M43-5,mox87,7,2.19622
M43-5,mox87,8,2.74542
M43-5,mox87,9,3.29475
M43-5,mox87,10,4.3932
M43-5,mox87,11,5.49159
M43-5,mox87,12,6.58997
M43-5,mox87,13,7.68856
M43-5,mox87,14,8.7871
M43-5,mox87,15,10.9837
M43-5,mox87,16,13.1804
M43-5,mox87,17,15.3772
M43-5,mox87,18,17.5745
M43-5,mox87,19,19.7712
M43-5,mox87,20,21.9679
M43-5,mox87,21,26.3603
M43-5,mox87,22,30.7523
M43-5,mox87,23,37.3374
M43-5,mox87,24,46.1044
M43-5,mox87,25,54.8572
M70-10,M70-10,0,0.0
M70-10,M70-10,1,0.104709
M70-10,M70-10,2,0.418692
M70-10,M70-10,3,0.732644
M70-10,M70-10,4,1.04652
M70-10,M70-10,5,1.36032
M70-10,M70-10,6,1.6742
M70-10,M70-10,7,2.09261
M70-10,M70-10,8,2.61567
M70-10,M70-10,9,3.13874
M70-10,M70-10,10,4.18505
M70-10,M70-10,11,5.23131
M70-10,M70-10,12,6.27784
M70-10,M70-10,13,7.32429
M70-10,M70-10,14,8.37099
M70-10,M70-10,15,10.4649
M70-10,M70-10,16,12.5593
M70-10,M70-10,17,14.6535
M70-10,M70-10,18,16.7482
M70-10,M70-10,19,18.8432
M70-10,M70-10,20,20.9385
M70-10,M70-10,21,25.1278
M70-10,M70-10,22,29.3176
M70-10,M70-10,23,35.6013
M70-10,M70-10,24,43.9762
M70-10,M70-10,25,52.346
M70-10,mox43,0,0.0
M70-10,mox43,1,0.0810074
M70-10,mox43,2,0.323866
