case,family,th_content_pct,case_type,n_materials,materials_csv,has_res,n_burn_steps,n_detector_files,n_steps_res
M43-10,M43,10,family,3,"M43-10,mox70,mox87",True,26,26,26
M43-15,M43,15,family,3,"M43-15,mox70,mox87",True,26,26,26
M43-20,M43,20,family,3,"M43-20,mox70,mox87",True,26,26,26
M43-25,M43,25,family,3,"M43-25,mox70,mox87",True,26,26,26
M43-30,M43,30,family,3,"M43-30,mox70,mox87",True,26,26,26
M43-5,M43,5,family,3,"M43-5,mox70,mox87",True,26,26,26
M70-10,M70,10,family,3,"M70-10,mox43,mox87",True,26,26,26
M70-15,M70,15,family,3,"M70-15,mox43,mox87",True,26,26,26
M70-20,M70,20,family,3,"M70-20,mox43,mox87",True,26,26,26
M70-25,M70,25,family,3,"M70-25,mox43,mox87",True,26,26,26
M70-30,M70,30,family,3,"M70-30,mox43,mox87",True,26,26,26
M70-5,M70,5,family,3,"M70-5,mox43,mox87",True,26,26,26
M87-10,M87,10,family,3,"M87-10,mox43,mox70",True,26,26,26
M87-15,M87,15,family,3,"M87-15,mox43,mox70",True,26,26,26
M87-20,M87,20,family,3,"M87-20,mox43,mox70",True,26,26,26
M87-25,M87,25,family,3,"M87-25,mox43,mox70",True,26,26,26
M87-30,M87,30,family,3,"M87-30,mox43,mox70",True,26,26,26
M87-5,M87,5,family,3,"M87-5,mox43,mox70",True,26,26,26
mox1,MOX,,reference_mox,3,"mox43,mox70,mox87",True,26,26,26
mox43,MOX,,reference_mox,1,mox43,True,26,26,26
mox70,MOX,,reference_mox,1,mox70,True,26,26,26
mox87,MOX,,reference_mox,1,mox87,True,26,26,26
