case,material,step,isotope,adens_atoms_per_barn_cm
M43-10,M43-10,0,Th232,0.00242174
M43-10,M43-10,1,Th232,0.00242147
M43-10,M43-10,2,Th232,0.00242065
M43-10,M43-10,3,Th232,0.00241983
M43-10,M43-10,4,Th232,0.00241901
M43-10,M43-10,5,Th232,0.00241818
M43-10,M43-10,6,Th232,0.00241735
M43-10,M43-10,7,Th232,0.00241624
M43-10,M43-10,8,Th232,0.00241486
M43-10,M43-10,9,Th232,0.00241346
M43-10,M43-10,10,Th232,0.00241067
M43-10,M43-10,11,Th232,0.00240786
M43-10,M43-10,12,Th232,0.00240505
M43-10,M43-10,13,Th232,0.00240222
M43-10,M43-10,14,Th232,0.00239937
M43-10,M43-10,15,Th232,0.00239365
M43-10,M43-10,16,Th232,0.00238787
M43-10,M43-10,17,Th232,0.00238205
M43-10,M43-10,18,Th232,0.00237618
M43-10,M43-10,19,Th232,0.00237028
M43-10,M43-10,20,Th232,0.00236432
M43-10,M43-10,21,Th232,0.00235226
M43-10,M43-10,22,Th232,0.00234003
M43-10,M43-10,23,Th232,0.00232132
M43-10,M43-10,24,Th232,0.00229579
M43-10,M43-10,25,Th232,0.00226959
M43-10,M43-10,0,Th233,0.0
M43-10,M43-10,1,Th233,2.2298e-09
M43-10,M43-10,2,Th233,2.2495e-09
M43-10,M43-10,3,Th233,2.25322e-09
M43-10,M43-10,4,Th233,2.25765e-09
M43-10,M43-10,5,Th233,2.26642e-09
M43-10,M43-10,6,Th233,2.26932e-09
M43-10,M43-10,7,Th233,2.27448e-09
M43-10,M43-10,8,Th233,2.27886e-09
M43-10,M43-10,9,Th233,2.28767e-09
M43-10,M43-10,10,Th233,2.29337e-09
M43-10,M43-10,11,Th233,2.30499e-09
M43-10,M43-10,12,Th233,2.31615e-09
M43-10,M43-10,13,Th233,2.32472e-09
M43-10,M43-10,14,Th233,2.33706e-09
M43-10,M43-10,15,Th233,2.35009e-09
M43-10,M43-10,16,Th233,2.37026e-09
M43-10,M43-10,17,Th233,2.38957e-09
M43-10,M43-10,18,Th233,2.40792e-09
M43-10,M43-10,19,Th233,2.42435e-09
M43-10,M43-10,20,Th233,2.44751e-09
M43-10,M43-10,21,Th233,2.47124e-09
M43-10,M43-10,22,Th233,2.50735e-09
M43-10,M43-10,23,Th233,2.55471e-09
M43-10,M43-10,24,Th233,2.61037e-09
M43-10,M43-10,25,Th233,2.67824e-09
M43-10,M43-10,0,Pa233,0.0
M43-10,M43-10,1,Pa233,2.54553e-07
M43-10,M43-10,2,Pa233,9.33819e-07
M43-10,M43-10,3,Pa233,1.4882e-06
M43-10,M43-10,4,Pa233,1.94109e-06
M43-10,M43-10,5,Pa233,2.31272e-06
M43-10,M43-10,6,Pa233,2.61632e-06
M43-10,M43-10,7,Pa233,2.93749e-06
M43-10,M43-10,8,Pa233,3.23531e-06
M43-10,M43-10,9,Pa233,3.45118e-06
M43-10,M43-10,10,Pa233,3.71873e-06
M43-10,M43-10,11,Pa233,3.86361e-06
M43-10,M43-10,12,Pa233,3.94615e-06
M43-10,M43-10,13,Pa233,3.99517e-06
M43-10,M43-10,14,Pa233,4.03041e-06
M43-10,M43-10,15,Pa233,4.0752e-06
M43-10,M43-10,16,Pa233,4.11245e-06
M43-10,M43-10,17,Pa233,4.14677e-06
M43-10,M43-10,18,Pa233,4.17904e-06
M43-10,M43-10,19,Pa233,4.20837e-06
