case,material,step,isotope,mdens_g_per_cm3
M43-10,M43-10,0,Th232,0.933134
M43-10,M43-10,1,Th232,0.93303
M43-10,M43-10,2,Th232,0.932713
M43-10,M43-10,3,Th232,0.932396
M43-10,M43-10,4,Th232,0.932079
M43-10,M43-10,5,Th232,0.93176
M43-10,M43-10,6,Th232,0.931441
M43-10,M43-10,7,Th232,0.931014
M43-10,M43-10,8,Th232,0.93048
M43-10,M43-10,9,Th232,0.929943
M43-10,M43-10,10,Th232,0.928868
M43-10,M43-10,11,Th232,0.927786
M43-10,M43-10,12,Th232,0.9267
M43-10,M43-10,13,Th232,0.925609
M43-10,M43-10,14,Th232,0.924513
M43-10,M43-10,15,Th232,0.922307
M43-10,M43-10,16,Th232,0.920082
M43-10,M43-10,17,Th232,0.917839
M43-10,M43-10,18,Th232,0.915579
M43-10,M43-10,19,Th232,0.913304
M43-10,M43-10,20,Th232,0.911007
M43-10,M43-10,21,Th232,0.906362
M43-10,M43-10,22,Th232,0.90165
M43-10,M43-10,23,Th232,0.894439
M43-10,M43-10,24,Th232,0.884601
M43-10,M43-10,25,Th232,0.874507
M43-10,M43-10,0,Th233,0.0
M43-10,M43-10,1,Th233,8.62893e-07
M43-10,M43-10,2,Th233,8.70514e-07
M43-10,M43-10,3,Th233,8.71953e-07
M43-10,M43-10,4,Th233,8.73667e-07
M43-10,M43-10,5,Th233,8.77061e-07
M43-10,M43-10,6,Th233,8.78186e-07
M43-10,M43-10,7,Th233,8.80181e-07
M43-10,M43-10,8,Th233,8.81876e-07
M43-10,M43-10,9,Th233,8.85285e-07
M43-10,M43-10,10,Th233,8.87492e-07
M43-10,M43-10,11,Th233,8.91989e-07
M43-10,M43-10,12,Th233,8.96309e-07
M43-10,M43-10,13,Th233,8.99625e-07
M43-10,M43-10,14,Th233,9.04399e-07
M43-10,M43-10,15,Th233,9.09443e-07
M43-10,M43-10,16,Th233,9.17248e-07
M43-10,M43-10,17,Th233,9.2472e-07
M43-10,M43-10,18,Th233,9.31821e-07
M43-10,M43-10,19,Th233,9.38179e-07
M43-10,M43-10,20,Th233,9.4714e-07
M43-10,M43-10,21,Th233,9.56323e-07
M43-10,M43-10,22,Th233,9.70299e-07
M43-10,M43-10,23,Th233,9.88627e-07
M43-10,M43-10,24,Th233,1.01016e-06
M43-10,M43-10,25,Th233,1.03643e-06
M43-10,M43-10,0,Pa233,0.0
M43-10,M43-10,1,Pa233,9.85065e-05
M43-10,M43-10,2,Pa233,0.000361368
M43-10,M43-10,3,Pa233,0.000575902
M43-10,M43-10,4,Pa233,0.000751161
M43-10,M43-10,5,Pa233,0.000894974
M43-10,M43-10,6,Pa233,0.00101246
M43-10,M43-10,7,Pa233,0.00113674
M43-10,M43-10,8,Pa233,0.00125199
M43-10,M43-10,9,Pa233,0.00133553
M43-10,M43-10,10,Pa233,0.00143907
M43-10,M43-10,11,Pa233,0.00149513
M43-10,M43-10,12,Pa233,0.00152708
M43-10,M43-10,13,Pa233,0.00154604
M43-10,M43-10,14,Pa233,0.00155968
M43-10,M43-10,15,Pa233,0.00157701
M43-10,M43-10,16,Pa233,0.00159143
M43-10,M43-10,17,Pa233,0.00160471
M43-10,M43-10,18,Pa233,0.0016172
M43-10,M43-10,19,Pa233,0.00162855
M43-10,M43-10,20,Pa233,0.00164295
M43-10,M43-10,21,Pa233,0.00166312
M43-10,M43-10,22,Pa233,0.00168685
M43-10,M43-10,23,Pa233,0.00171983
M43-10,M43-10,24,Pa233,0.00175714
M43-10,M43-10,25,Pa233,0.00180203
M43-10,M43-10,0,Pa234,0.0
M43-10,M43-10,1,Pa234,9.56547e-09
M43-10,M43-10,2,Pa234,4.03467e-08
M43-10,M43-10,3,Pa234,6.5495e-08
M43-10,M43-10,4,Pa234,8.61694e-08
M43-10,M43-10,5,Pa234,1.03191e-07
M43-10,M43-10,6,Pa234,1.16841e-07
M43-10,M43-10,7,Pa234,1.31613e-07
M43-10,M43-10,8,Pa234,1.45103e-07
M43-10,M43-10,9,Pa234,1.55429e-07
M43-10,M43-10,10,Pa234,1.67677e-07
M43-10,M43-10,11,Pa234,1.74578e-07
M43-10,M43-10,12,Pa234,1.78944e-07
M43-10,M43-10,13,Pa234,1.81215e-07
M43-10,M43-10,14,Pa234,1.83313e-07
M43-10,M43-10,15,Pa234,1.85621e-07
M43-10,M43-10,16,Pa234,1.8825e-07
M43-10,M43-10,17,Pa234,1.90468e-07
M43-10,M43-10,18,Pa234,1.92779e-07
M43-10,M43-10,19,Pa234,1.94728e-07
M43-10,M43-10,20,Pa234,1.97299e-07
M43-10,M43-10,21,Pa234,2.00842e-07
M43-10,M43-10,22,Pa234,2.05786e-07
M43-10,M43-10,23,Pa234,2.12297e-07
M43-10,M43-10,24,Pa234,2.21222e-07
M43-10,M43-10,25,Pa234,2.31579e-07
M43-10,M43-10,0,U233,0.0
M43-10,M43-10,1,U233,3.3029e-06
M43-10,M43-10,2,U233,5.02102e-05
M43-10,M43-10,3,U233,0.000144373
M43-10,M43-10,4,U233,0.000276729
M43-10,M43-10,5,U233,0.000439963
M43-10,M43-10,6,U233,0.000628098
M43-10,M43-10,7,U233,0.000909321
M43-10,M43-10,8,U233,0.00129714
M43-10,M43-10,9,U233,0.00171312
M43-10,M43-10,10,U233,0.00259469
M43-10,M43-10,11,U233,0.00350624
M43-10,M43-10,12,U233,0.00442411
M43-10,M43-10,13,U233,0.00533612
M43-10,M43-10,14,U233,0.00623638
M43-10,M43-10,15,U233,0.00799311
M43-10,M43-10,16,U233,0.00968276
M43-10,M43-10,17,U233,0.0113045
M43-10,M43-10,18,U233,0.0128584
M43-10,M43-10,19,U233,0.0143457
M43-10,M43-10,20,U233,0.0157689
M43-10,M43-10,21,U233,0.0184354
M43-10,M43-10,22,U233,0.0208575
M43-10,M43-10,23,U233,0.0240832
M43-10,M43-10,24,U233,0.027648
M43-10,M43-10,25,U233,0.0304516
M43-10,M43-10,0,U234,0.0
M43-10,M43-10,1,U234,4.72026e-07
M43-10,M43-10,2,U234,2.75001e-06
M43-10,M43-10,3,U234,6.17989e-06
M43-10,M43-10,4,U234,1.06005e-05
M43-10,M43-10,5,U234,1.588e-05
M43-10,M43-10,6,U234,2.18974e-05
M43-10,M43-10,7,U234,3.09302e-05
M43-10,M43-10,8,U234,4.3597e-05
M43-10,M43-10,9,U234,5.7598e-05
M43-10,M43-10,10,U234,8.88439e-05
M43-10,M43-10,11,U234,0.000123746
M43-10,M43-10,12,U234,0.000161833
M43-10,M43-10,13,U234,0.000202759
M43-10,M43-10,14,U234,0.000246409
M43-10,M43-10,15,U234,0.000341296
M43-10,M43-10,16,U234,0.000445855
M43-10,M43-10,17,U234,0.000559467
M43-10,M43-10,18,U234,0.000681799
M43-10,M43-10,19,U234,0.000812246
M43-10,M43-10,20,U234,0.000950427
M43-10,M43-10,21,U234,0.00124791
M43-10,M43-10,22,U234,0.00157156
M43-10,M43-10,23,U234,0.00209828
M43-10,M43-10,24,U234,0.00286094
M43-10,M43-10,25,U234,0.00367245
M43-10,M43-10,0,U235,0.0206293
M43-10,M43-10,1,U235,0.020597
M43-10,M43-10,2,U235,0.0205005
M43-10,M43-10,3,U235,0.0204042
M43-10,M43-10,4,U235,0.0203081
M43-10,M43-10,5,U235,0.0202124
M43-10,M43-10,6,U235,0.0201169
M43-10,M43-10,7,U235,0.01999
M43-10,M43-10,8,U235,0.0198321
M43-10,M43-10,9,U235,0.0196749
M43-10,M43-10,10,U235,0.0193631
M43-10,M43-10,11,U235,0.0190544
M43-10,M43-10,12,U235,0.018749
M43-10,M43-10,13,U235,0.018447
M43-10,M43-10,14,U235,0.0181483
M43-10,M43-10,15,U235,0.0175614
M43-10,M43-10,16,U235,0.0169885
M43-10,M43-10,17,U235,0.0164294
M43-10,M43-10,18,U235,0.0158844
M43-10,M43-10,19,U235,0.0153541
M43-10,M43-10,20,U235,0.0148379
M43-10,M43-10,21,U235,0.0138498
M43-10,M43-10,22,U235,0.0129203
M43-10,M43-10,23,U235,0.0116359
M43-10,M43-10,24,U235,0.0101277
M43-10,M43-10,25,U235,0.008845
M43-10,M43-10,0,U236,0.0
M43-10,M43-10,1,U236,7.70941e-06
M43-10,M43-10,2,U236,3.08372e-05
M43-10,M43-10,3,U236,5.38834e-05
M43-10,M43-10,4,U236,7.68488e-05
M43-10,M43-10,5,U236,9.96978e-05
M43-10,M43-10,6,U236,0.000122435
M43-10,M43-10,7,U236,0.000152603
M43-10,M43-10,8,U236,0.000190037
M43-10,M43-10,9,U236,0.000227235
M43-10,M43-10,10,U236,0.000300658
M43-10,M43-10,11,U236,0.000372914
M43-10,M43-10,12,U236,0.000444028
M43-10,M43-10,13,U236,0.000513967
M43-10,M43-10,14,U236,0.000582764
M43-10,M43-10,15,U236,0.000716801
M43-10,M43-10,16,U236,0.000846292
M43-10,M43-10,17,U236,0.000971427
M43-10,M43-10,18,U236,0.00109219
M43-10,M43-10,19,U236,0.00120851
M43-10,M43-10,20,U236,0.00132061
M43-10,M43-10,21,U236,0.00153221
M43-10,M43-10,22,U236,0.00172783
M43-10,M43-10,23,U236,0.00199303
M43-10,M43-10,24,U236,0.00229673
M43-10,M43-10,25,U236,0.00254986
M43-10,M43-10,0,U237,0.0
M43-10,M43-10,1,U237,3.09169e-06
M43-10,M43-10,2,U237,8.7516e-06
M43-10,M43-10,3,U237,1.1331e-05
M43-10,M43-10,4,U237,1.25311e-05
M43-10,M43-10,5,U237,1.31382e-05
M43-10,M43-10,6,U237,1.343e-05
M43-10,M43-10,7,U237,1.36243e-05
M43-10,M43-10,8,U237,1.38205e-05
M43-10,M43-10,9,U237,1.39412e-05
M43-10,M43-10,10,U237,1.41756e-05
M43-10,M43-10,11,U237,1.44104e-05
M43-10,M43-10,12,U237,1.46221e-05
M43-10,M43-10,13,U237,1.4804e-05
M43-10,M43-10,14,U237,1.4989e-05
