case,detector,energy_group_idx,E_min_MeV,E_max_MeV,E_mid_MeV,flux,rel_err
M43-10,0,1,1e-09,1.40332e-09,1.1846180819150111e-09,2007440000000.0,0.0075
M43-10,0,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3208270000000.0,0.00677
M43-10,0,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,5555890000000.0,0.00572
M43-10,0,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,17355800000000.0,0.00307
M43-10,0,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,24697800000000.0,0.00301
M43-10,0,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,55916500000000.0,0.00192
M43-10,0,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,95314500000000.0,0.00165
M43-10,0,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,187010000000000.0,0.00122
M43-10,0,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,331319000000000.0,0.00102
M43-10,0,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,584404000000000.0,0.00081
M43-10,0,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,960141000000000.0,0.00072
M43-10,0,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1479830000000000.0,0.00058
M43-10,0,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2069050000000000.0,0.00048
M43-10,0,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2542100000000000.0,0.00046
M43-10,0,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,2624300000000000.0,0.00045
M43-10,0,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2254670000000000.0,0.00048
M43-10,0,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,1680990000000000.0,0.0006
M43-10,0,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2051120000000000.0,0.00049
M43-10,0,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,2777910000000000.0,0.00048
M43-10,0,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,2772170000000000.0,0.00046
M43-10,0,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,1932210000000000.0,0.00054
M43-10,0,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3387150000000000.0,0.00047
M43-10,0,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3570660000000000.0,0.00051
M43-10,0,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3359590000000000.0,0.00051
M43-10,0,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3549880000000000.0,0.00051
M43-10,0,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3124790000000000.0,0.00049
M43-10,0,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3400110000000000.0,0.00047
M43-10,0,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,3739510000000000.0,0.00048
M43-10,0,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,3785740000000000.0,0.00043
M43-10,0,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,3733800000000000.0,0.00046
M43-10,0,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4260840000000000.0,0.00047
M43-10,0,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4151220000000000.0,0.00047
M43-10,0,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4318850000000000.0,0.00042
M43-10,0,34,7.18125e-05,0.000100776,8.50704208288639e-05,4548790000000000.0,0.00038
M43-10,0,35,0.000100776,0.000141421,0.00011938108181784918,4626940000000000.0,0.00043
M43-10,0,36,0.000141421,0.00019846,0.0001675303305673334,4835260000000000.0,0.00041
M43-10,0,37,0.00019846,0.000278503,0.00023509935214712947,4889380000000000.0,0.0004
M43-10,0,38,0.000278503,0.00039083,0.0003299201835141342,5049240000000000.0,0.0004
M43-10,0,39,0.00039083,0.00054846,0.00046298447252580727,5123510000000000.0,0.00044
M43-10,0,40,0.00054846,0.000769667,0.0006497165249706983,5203240000000000.0,0.00038
M43-10,0,41,0.000769667,0.00108009,0.0009117618274692136,5281580000000000.0,0.00043
M43-10,0,42,0.00108009,0.00151572,0.001279497563420892,5418880000000000.0,0.00042
M43-10,0,43,0.00151572,0.00212704,0.0017955492387567655,5387400000000000.0,0.0004
M43-10,0,44,0.00212704,0.00298492,0.0025197309850061374,5491510000000000.0,0.00041
M43-10,0,45,0.00298492,0.00418881,0.003535995297677869,5576500000000000.0,0.00043
M43-10,0,46,0.00418881,0.00587825,0.00496214393004677,5683370000000000.0,0.00046
M43-10,0,47,0.00587825,0.00824909,0.006963491458492644,5785980000000000.0,0.00041
M43-10,0,48,0.00824909,0.0115761,0.009772015695290303,5914190000000000.0,0.00041
M43-10,0,49,0.0115761,0.016245,0.013713268921012232,6086390000000000.0,0.0004
M43-10,0,50,0.016245,0.022797,0.01924414885101443,6335410000000000.0,0.00043
M43-10,0,51,0.022797,0.0319916,0.027005786513264154,6615530000000000.0,0.00041
M43-10,0,52,0.0319916,0.0448946,0.03789789024945848,7054080000000000.0,0.00036
M43-10,0,53,0.0448946,0.0630016,0.053183001338397595,7627100000000000.0,0.0004
M43-10,0,54,0.0630016,0.0884115,0.07463287451518935,8417870000000000.0,0.00039
M43-10,0,55,0.0884115,0.12407,0.10473401932991973,9443140000000000.0,0.00035
M43-10,0,56,0.12407,0.17411,0.14697560239713256,1.09292e+16,0.00037
M43-10,0,57,0.17411,0.244333,0.20625425724091126,1.29305e+16,0.00036
M43-10,0,58,0.244333,0.342878,0.2894415491493922,1.60652e+16,0.0003
M43-10,0,59,0.342878,0.481168,0.4061796665319425,1.48183e+16,0.00034
M43-10,0,60,0.481168,0.675234,0.5700008713256498,2.14585e+16,0.00032
M43-10,0,61,0.675234,0.947571,0.7998950910050643,2.50962e+16,0.00033
M43-10,0,62,0.947571,1.32975,1.1225117091816905,2.08695e+16,0.00034
M43-10,0,63,1.32975,1.86607,1.5752481018874456,2.37966e+16,0.00035
M43-10,0,64,1.86607,2.61869,2.210578849147888,2.4512e+16,0.00039
M43-10,0,65,2.61869,3.67487,3.102151724255279,2.00994e+16,0.00042
M43-10,0,66,3.67487,5.15703,4.35332227569933,1.28435e+16,0.00051
M43-10,0,67,5.15703,7.23698,6.109118018945124,6394310000000000.0,0.00088
M43-10,0,68,7.23698,10.1558,8.573057884092467,1666140000000000.0,0.00162
M43-10,0,69,10.1558,14.2519,12.030770799080164,237230000000000.0,0.00454
M43-10,0,70,14.2519,20.0,16.88306844148895,13237200000000.0,0.022
M43-10,1,1,1e-09,1.40332e-09,1.1846180819150111e-09,2003140000000.0,0.00897
M43-10,1,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3186670000000.0,0.00708
M43-10,1,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,5465750000000.0,0.00548
M43-10,1,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,17312000000000.0,0.00362
M43-10,1,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,24353800000000.0,0.00281
M43-10,1,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,55261800000000.0,0.00206
M43-10,1,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,93890600000000.0,0.00152
M43-10,1,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,185216000000000.0,0.00132
M43-10,1,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,327515000000000.0,0.00103
M43-10,1,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,577769000000000.0,0.00088
M43-10,1,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,947290000000000.0,0.00072
M43-10,1,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1457570000000000.0,0.00061
M43-10,1,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2036730000000000.0,0.00051
M43-10,1,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2513440000000000.0,0.00048
M43-10,1,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,2619920000000000.0,0.00046
M43-10,1,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2270570000000000.0,0.00048
M43-10,1,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,1703630000000000.0,0.00054
M43-10,1,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2088240000000000.0,0.00047
M43-10,1,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,2827860000000000.0,0.00049
M43-10,1,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,2819970000000000.0,0.00054
M43-10,1,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,1965290000000000.0,0.00045
M43-10,1,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3448780000000000.0,0.00053
M43-10,1,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3636030000000000.0,0.00048
M43-10,1,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3421180000000000.0,0.0005
M43-10,1,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3608830000000000.0,0.00051
M43-10,1,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3179030000000000.0,0.00049
M43-10,1,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3467190000000000.0,0.00045
M43-10,1,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,3807310000000000.0,0.00045
M43-10,1,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,3856070000000000.0,0.00046
M43-10,1,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,3802160000000000.0,0.00042
M43-10,1,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4337580000000000.0,0.0004
M43-10,1,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4228750000000000.0,0.00045
M43-10,1,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4397530000000000.0,0.00041
M43-10,1,34,7.18125e-05,0.000100776,8.50704208288639e-05,4632760000000000.0,0.00045
M43-10,1,35,0.000100776,0.000141421,0.00011938108181784918,4712840000000000.0,0.00042
M43-10,1,36,0.000141421,0.00019846,0.0001675303305673334,4924550000000000.0,0.00041
M43-10,1,37,0.00019846,0.000278503,0.00023509935214712947,4979740000000000.0,0.00038
M43-10,1,38,0.000278503,0.00039083,0.0003299201835141342,5140250000000000.0,0.00041
M43-10,1,39,0.00039083,0.00054846,0.00046298447252580727,5216830000000000.0,0.0004
M43-10,1,40,0.00054846,0.000769667,0.0006497165249706983,5301090000000000.0,0.00042
M43-10,1,41,0.000769667,0.00108009,0.0009117618274692136,5379770000000000.0,0.00038
M43-10,1,42,0.00108009,0.00151572,0.001279497563420892,5521140000000000.0,0.00041
M43-10,1,43,0.00151572,0.00212704,0.0017955492387567655,5483320000000000.0,0.00043
M43-10,1,44,0.00212704,0.00298492,0.0025197309850061374,5598650000000000.0,0.00039
M43-10,1,45,0.00298492,0.00418881,0.003535995297677869,5677710000000000.0,0.00042
M43-10,1,46,0.00418881,0.00587825,0.00496214393004677,5782990000000000.0,0.00039
M43-10,1,47,0.00587825,0.00824909,0.006963491458492644,5889230000000000.0,0.0004
M43-10,1,48,0.00824909,0.0115761,0.009772015695290303,6022970000000000.0,0.00039
M43-10,1,49,0.0115761,0.016245,0.013713268921012232,6203460000000000.0,0.00044
M43-10,1,50,0.016245,0.022797,0.01924414885101443,6451670000000000.0,0.0004
M43-10,1,51,0.022797,0.0319916,0.027005786513264154,6740290000000000.0,0.00036
M43-10,1,52,0.0319916,0.0448946,0.03789789024945848,7185850000000000.0,0.00039
M43-10,1,53,0.0448946,0.0630016,0.053183001338397595,7766150000000000.0,0.00037
M43-10,1,54,0.0630016,0.0884115,0.07463287451518935,8564120000000000.0,0.00039
M43-10,1,55,0.0884115,0.12407,0.10473401932991973,9619470000000000.0,0.00034
M43-10,1,56,0.12407,0.17411,0.14697560239713256,1.11323e+16,0.00033
M43-10,1,57,0.17411,0.244333,0.20625425724091126,1.31614e+16,0.00033
M43-10,1,58,0.244333,0.342878,0.2894415491493922,1.63674e+16,0.00031
M43-10,1,59,0.342878,0.481168,0.4061796665319425,1.50864e+16,0.00031
M43-10,1,60,0.481168,0.675234,0.5700008713256498,2.18581e+16,0.00032
M43-10,1,61,0.675234,0.947571,0.7998950910050643,2.55662e+16,0.00031
M43-10,1,62,0.947571,1.32975,1.1225117091816905,2.12619e+16,0.00032
M43-10,1,63,1.32975,1.86607,1.5752481018874456,2.42383e+16,0.00033
M43-10,1,64,1.86607,2.61869,2.210578849147888,2.4958e+16,0.00039
M43-10,1,65,2.61869,3.67487,3.102151724255279,2.04813e+16,0.00043
M43-10,1,66,3.67487,5.15703,4.35332227569933,1.30747e+16,0.00056
M43-10,1,67,5.15703,7.23698,6.109118018945124,6508580000000000.0,0.00091
M43-10,1,68,7.23698,10.1558,8.573057884092467,1701430000000000.0,0.00161
M43-10,1,69,10.1558,14.2519,12.030770799080164,240345000000000.0,0.00454
M43-10,1,70,14.2519,20.0,16.88306844148895,13897200000000.0,0.02118
M43-10,2,1,1e-09,1.40332e-09,1.1846180819150111e-09,1974480000000.0,0.00779
M43-10,2,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3169990000000.0,0.00681
M43-10,2,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,5533380000000.0,0.00622
M43-10,2,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,17225600000000.0,0.00335
M43-10,2,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,24576900000000.0,0.00302
M43-10,2,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,55583700000000.0,0.00215
M43-10,2,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,94606500000000.0,0.00185
M43-10,2,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,185895000000000.0,0.00126
M43-10,2,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,328410000000000.0,0.00093
M43-10,2,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,578767000000000.0,0.00087
M43-10,2,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,948805000000000.0,0.00071
M43-10,2,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1457850000000000.0,0.00056
M43-10,2,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2040180000000000.0,0.0005
M43-10,2,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2517330000000000.0,0.00051
M43-10,2,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,2627670000000000.0,0.00047
M43-10,2,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2281330000000000.0,0.00046
M43-10,2,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,1710430000000000.0,0.00048
M43-10,2,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2095720000000000.0,0.00051
M43-10,2,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,2832370000000000.0,0.0005
M43-10,2,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,2826040000000000.0,0.00049
M43-10,2,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,1970870000000000.0,0.00051
M43-10,2,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3455120000000000.0,0.00049
M43-10,2,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3646490000000000.0,0.00048
M43-10,2,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3430110000000000.0,0.00045
M43-10,2,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3622530000000000.0,0.00048
M43-10,2,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3185690000000000.0,0.00046
M43-10,2,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3476490000000000.0,0.00041
M43-10,2,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,3819420000000000.0,0.00044
M43-10,2,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,3869270000000000.0,0.00043
M43-10,2,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,3816390000000000.0,0.00042
M43-10,2,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4353720000000000.0,0.00044
M43-10,2,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4242900000000000.0,0.00043
M43-10,2,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4412720000000000.0,0.00043
M43-10,2,34,7.18125e-05,0.000100776,8.50704208288639e-05,4649790000000000.0,0.00045
M43-10,2,35,0.000100776,0.000141421,0.00011938108181784918,4732190000000000.0,0.00043
M43-10,2,36,0.000141421,0.00019846,0.0001675303305673334,4938560000000000.0,0.00044
M43-10,2,37,0.00019846,0.000278503,0.00023509935214712947,4993880000000000.0,0.00039
M43-10,2,38,0.000278503,0.00039083,0.0003299201835141342,5159860000000000.0,0.00038
M43-10,2,39,0.00039083,0.00054846,0.00046298447252580727,5234950000000000.0,0.00043
M43-10,2,40,0.00054846,0.000769667,0.0006497165249706983,5321520000000000.0,0.0004
M43-10,2,41,0.000769667,0.00108009,0.0009117618274692136,5402220000000000.0,0.00041
M43-10,2,42,0.00108009,0.00151572,0.001279497563420892,5541310000000000.0,0.00044
M43-10,2,43,0.00151572,0.00212704,0.0017955492387567655,5505680000000000.0,0.00036
