case,step,burnup_MWd_kgHM_global,TH232_CAPT_value,TH232_CAPT_rel_err,TH232_CAPT_fraction,TH232_CAPT_fraction_rel_err,U235_FISS_value,U235_FISS_rel_err,U235_FISS_fraction,U235_FISS_fraction_rel_err,U238_FISS_value,U238_FISS_rel_err,U238_FISS_fraction,U238_FISS_fraction_rel_err,PU239_FISS_value,PU239_FISS_rel_err,PU239_FISS_fraction,PU239_FISS_fraction_rel_err,PU240_FISS_value,PU240_FISS_rel_err,PU240_FISS_fraction,PU240_FISS_fraction_rel_err,PU241_FISS_value,PU241_FISS_rel_err,PU241_FISS_fraction,PU241_FISS_fraction_rel_err,U235_CAPT_value,U235_CAPT_rel_err,U235_CAPT_fraction,U235_CAPT_fraction_rel_err,U238_CAPT_value,U238_CAPT_rel_err,U238_CAPT_fraction,U238_CAPT_fraction_rel_err,PU239_CAPT_value,PU239_CAPT_rel_err,PU239_CAPT_fraction,PU239_CAPT_fraction_rel_err,PU240_CAPT_value,PU240_CAPT_rel_err,PU240_CAPT_fraction,PU240_CAPT_fraction_rel_err,PU241_CAPT_value,PU241_CAPT_rel_err,PU241_CAPT_fraction,PU241_CAPT_fraction_rel_err,XE135_CAPT_value,XE135_CAPT_rel_err,XE135_CAPT_fraction,XE135_CAPT_fraction_rel_err,XE135M_CAPT_value,XE135M_CAPT_rel_err,XE135M_CAPT_fraction,XE135M_CAPT_fraction_rel_err
M43-10,0,0.0,41854000000000.0,0.00151,0.0190893,0.00147,34978000000000.0,0.00152,0.0238136,0.0015,104468000000000.0,0.00103,0.0711233,0.00099,1065740000000000.0,0.00024,0.725577,0.00016,9362890000000.0,0.00302,0.00637434,0.003,248949000000000.0,0.00059,0.169488,0.00055,11266400000000.0,0.00283,0.00513867,0.00285,712402000000000.0,0.00043,0.324922,0.00031,584382000000000.0,0.00037,0.266535,0.00035,487613000000000.0,0.00045,0.222398,0.00039,84733000000000.0,0.00095,0.0386464,0.00093,42198700000000.0,0.00147,0.018669,0.00148,0.0,0.0,0.0,0.0
M43-10,1,0.1,42655700000000.0,0.00154,0.0188709,0.00152,34824000000000.0,0.00165,0.0237104,0.00165,106287000000000.0,0.00087,0.0723671,0.00086,1063200000000000.0,0.00025,0.723892,0.00016,9574240000000.0,0.00314,0.00651883,0.00316,249338000000000.0,0.00064,0.169764,0.00057,11282600000000.0,0.00295,0.00499146,0.00294,723921000000000.0,0.00044,0.320264,0.00034,584815000000000.0,0.00034,0.258725,0.00034,493935000000000.0,0.00048,0.218518,0.0004,84604000000000.0,0.00105,0.0374291,0.00103,42683700000000.0,0.00141,0.0187792,0.00143,,,,
M43-10,2,0.4,42615400000000.0,0.00135,0.018749,0.00134,34871000000000.0,0.0017,0.023732,0.0017,106879000000000.0,0.00093,0.0727376,0.00087,1061670000000000.0,0.00023,0.722532,0.00015,9597870000000.0,0.00293,0.0065319,0.00291,250666000000000.0,0.0006,0.170594,0.00056,11330800000000.0,0.00295,0.00498506,0.00293,725877000000000.0,0.0004,0.319355,0.00031,583786000000000.0,0.00038,0.256842,0.00035,495030000000000.0,0.00045,0.217792,0.0004,85192600000000.0,0.00104,0.0374811,0.00102,42622600000000.0,0.00145,0.0186505,0.00144,,,,
M43-10,3,0.7,42795300000000.0,0.00148,0.018726,0.00148,34871500000000.0,0.00152,0.0237331,0.00151,107031000000000.0,0.00094,0.0728436,0.00089,1059640000000000.0,0.00024,0.721178,0.00016,9651780000000.0,0.00302,0.00656883,0.003,252241000000000.0,0.00062,0.171672,0.00059,11317300000000.0,0.0027,0.00495221,0.00273,728961000000000.0,0.00036,0.318971,0.00028,582833000000000.0,0.00036,0.255031,0.00034,496582000000000.0,0.00042,0.21729,0.00035,85636200000000.0,0.00095,0.0374722,0.00097,42769100000000.0,0.00148,0.0186302,0.00148,,,,
M43-10,4,1.0,42917100000000.0,0.00136,0.0186945,0.00132,34729700000000.0,0.00172,0.0236478,0.00169,107356000000000.0,0.00096,0.0730999,0.00091,1057050000000000.0,0.00026,0.719759,0.00017,9622760000000.0,0.00329,0.00655217,0.00326,253763000000000.0,0.00064,0.172791,0.00059,11302100000000.0,0.00269,0.00492313,0.00266,730766000000000.0,0.00038,0.318319,0.00028,582330000000000.0,0.00036,0.253662,0.00034,498029000000000.0,0.00041,0.21694,0.00037,86168400000000.0,0.00112,0.0375348,0.00111,42910100000000.0,0.00155,0.0186223,0.00155,,,,
M43-10,5,1.3,43048400000000.0,0.00155,0.0186822,0.00152,34663400000000.0,0.0017,0.0235996,0.00169,107495000000000.0,0.00101,0.0731844,0.00096,1055490000000000.0,0.00026,0.718597,0.00016,9703590000000.0,0.00307,0.00660633,0.00305,255173000000000.0,0.00055,0.173727,0.00051,11268600000000.0,0.00288,0.00489031,0.00286,731712000000000.0,0.00036,0.317549,0.00028,581129000000000.0,0.00038,0.2522,0.00035,499218000000000.0,0.00044,0.216651,0.00039,86941600000000.0,0.00107,0.037731,0.00106,42963200000000.0,0.00144,0.0185856,0.00142,,,,
M43-10,6,1.6,43155500000000.0,0.00148,0.0186687,0.00144,34591600000000.0,0.00166,0.0235518,0.00165,107817000000000.0,0.00099,0.073407,0.00095,1053150000000000.0,0.00027,0.717042,0.00015,9722690000000.0,0.00315,0.00661978,0.00317,256917000000000.0,0.00056,0.174923,0.00055,11245900000000.0,0.00268,0.00486486,0.00265,733127000000000.0,0.0004,0.317146,0.00031,579808000000000.0,0.00039,0.250822,0.00036,500583000000000.0,0.00042,0.216549,0.00036,87457700000000.0,0.0011,0.0378337,0.00108,42964900000000.0,0.0016,0.0185074,0.0016,,,,
M43-10,7,2.0,43199400000000.0,0.00149,0.0186082,0.00146,34430200000000.0,0.00164,0.0234437,0.00163,107827000000000.0,0.00095,0.0734192,0.00087,1051070000000000.0,0.00024,0.715683,0.00016,9755240000000.0,0.00301,0.00664237,0.003,258681000000000.0,0.00064,0.176137,0.00058,11210700000000.0,0.00292,0.00482909,0.00292,735157000000000.0,0.0004,0.316671,0.0003,578648000000000.0,0.00036,0.249256,0.00034,501592000000000.0,0.00043,0.216064,0.0004,87940300000000.0,0.00096,0.0378808,0.00095,43001100000000.0,0.00145,0.0184267,0.00148,,,,
M43-10,8,2.5,43301000000000.0,0.00156,0.0185549,0.00154,34281100000000.0,0.00148,0.0233432,0.00147,108263000000000.0,0.00098,0.0737192,0.00092,1047590000000000.0,0.00026,0.713339,0.00015,9791490000000.0,0.00312,0.00666721,0.00309,261253000000000.0,0.00056,0.177896,0.00055,11148400000000.0,0.00283,0.0047772,0.00281,737301000000000.0,0.0004,0.315941,0.00031,577573000000000.0,0.00039,0.247497,0.00035,503392000000000.0,0.00047,0.215709,0.0004,88998200000000.0,0.00111,0.0381369,0.0011,43108700000000.0,0.00163,0.0183985,0.0016,,,,
M43-10,9,3.0,43541700000000.0,0.00146,0.0185835,0.00145,34196900000000.0,0.00175,0.02329,0.00171,108579000000000.0,0.00095,0.0739481,0.0009,1043950000000000.0,0.00028,0.71099,0.00017,9752830000000.0,0.00308,0.00664214,0.00304,263913000000000.0,0.0006,0.179741,0.00058,11117800000000.0,0.00303,0.00474505,0.00302,739066000000000.0,0.00038,0.315431,0.0003,575749000000000.0,0.00037,0.245729,0.00034,504451000000000.0,0.00045,0.215298,0.00037,89747800000000.0,0.00096,0.0383042,0.00096,43441300000000.0,0.00145,0.0183924,0.00147,,,,
M43-10,10,4.0,43534500000000.0,0.00154,0.0184315,0.00151,34087700000000.0,0.00178,0.0232158,0.00174,108892000000000.0,0.00096,0.0741629,0.00094,1037920000000000.0,0.00026,0.70689,0.00018,9831280000000.0,0.00306,0.0066957,0.00304,268637000000000.0,0.00066,0.18296,0.00061,11047200000000.0,0.00294,0.00467716,0.00293,742314000000000.0,0.0004,0.31428,0.0003,572291000000000.0,0.00036,0.242297,0.00035,507476000000000.0,0.00045,0.214854,0.00037,91484400000000.0,0.00101,0.0387328,0.00101,43689700000000.0,0.00154,0.0183415,0.00155,,,,
M43-10,11,5.0,43797400000000.0,0.00148,0.0183867,0.00147,33788400000000.0,0.00154,0.0230073,0.00151,109594000000000.0,0.00101,0.0746247,0.00094,1031790000000000.0,0.00024,0.702578,0.00015,9950660000000.0,0.00314,0.00677569,0.00314,273517000000000.0,0.00057,0.186246,0.00055,10925700000000.0,0.00304,0.0045868,0.00305,746135000000000.0,0.0004,0.313235,0.00029,569392000000000.0,0.00037,0.239038,0.00035,510348000000000.0,0.00046,0.214249,0.00038,93414200000000.0,0.001,0.0392164,0.00099,43829000000000.0,0.00149,0.0182689,0.0015,,,,
