case,step,burnup_MWd_kgHM_global,ANA_KEFF,CONVERSION_RATIO,reactivity_pcm
M43-10,0,0.0,1.15569,0.618058,13471.605707412895
M43-10,1,0.1,1.13469,0.62781,11870.202434145007
M43-10,2,0.4,1.13141,0.629467,11614.71084752654
M43-10,3,0.7,1.12754,0.632117,11311.350373379215
M43-10,4,1.0,1.12419,0.634133,11047.064997909607
M43-10,5,1.3,1.12174,0.635404,10852.782284664892
M43-10,6,1.6,1.11948,0.637234,10672.81237717512
M43-10,7,2.0,1.11651,0.639058,10435.195385621257
M43-10,8,2.5,1.11297,0.641305,10150.318517120859
M43-10,9,3.0,1.11019,0.643351,9925.328096992407
M43-10,10,4.0,1.10464,0.647269,9472.769409038245
M43-10,11,5.0,1.09921,0.651334,9025.572911454592
M43-10,12,6.0,1.09425,0.65495,8613.205391820877
M43-10,13,7.0,1.08926,0.658874,8194.554100949259
M43-10,14,8.0,1.08417,0.662563,7763.542617855141
M43-10,15,10.0,1.07454,0.670241,6936.92184562697
M43-10,16,12.0,1.0657,0.676658,6164.961996809617
M43-10,17,14.0,1.05649,0.684294,5346.95075201847
M43-10,18,16.0,1.04804,0.691455,4583.794511659868
M43-10,19,18.0,1.0391,0.698576,3762.8717159079893
M43-10,20,20.0,1.03089,0.705491,2996.439969346883
M43-10,21,24.0,1.01482,0.719441,1460.3575018229888
M43-10,22,28.0,0.998928,0.73337,-107.31504172472508
M43-10,23,34.0,0.976649,0.752926,-2390.930620929322
M43-10,24,42.0,0.948141,0.778898,-5469.5451414926665
M43-10,25,50.0,0.922287,0.803317,-8426.118984654455
M43-15,0,0.0,1.15315,0.621403,13281.012877769579
M43-15,1,0.1,1.13231,0.631211,11684.962598581655
M43-15,2,0.4,1.12845,0.633583,11382.870308830694
M43-15,3,0.7,1.12412,0.635994,11041.52581574921
M43-15,4,1.0,1.12152,0.637534,10835.294956844287
M43-15,5,1.3,1.11913,0.639295,10644.875930410226
M43-15,6,1.6,1.11653,0.640572,10436.799727727874
M43-15,7,2.0,1.11373,0.642845,10211.631185296266
M43-15,8,2.5,1.11097,0.644576,9988.568548205623
M43-15,9,3.0,1.10724,0.646806,9685.343737581736
M43-15,10,4.0,1.10241,0.650526,9289.647227438058
M43-15,11,5.0,1.09712,0.654603,8852.26775557825
M43-15,12,6.0,1.09217,0.658435,8439.162401457656
M43-15,13,7.0,1.08704,0.662247,8007.065057403593
M43-15,14,8.0,1.08181,0.666106,7562.326101625974
M43-15,15,10.0,1.07256,0.673095,6765.122697098527
M43-15,16,12.0,1.06311,0.680849,5936.356538834176
M43-15,17,14.0,1.05442,0.687898,5161.131238026585
M43-15,18,16.0,1.04562,0.695346,4362.961687802452
M43-15,19,18.0,1.03711,0.701669,3578.2125329039327
M43-15,20,20.0,1.02921,0.709022,2838.099124571269
M43-15,21,24.0,1.0128,0.72301,1263.8230647709247
M43-15,22,28.0,0.997405,0.736445,-260.1751545259964
M43-15,23,34.0,0.97529,0.756129,-2533.6053891663
M43-15,24,42.0,0.947762,0.781869,-5511.721297118897
M43-15,25,50.0,0.922119,0.805454,-8445.873038078596
M43-20,0,0.0,1.15104,0.62396,13122.046149569089
M43-20,1,0.1,1.13002,0.633664,11505.991044406295
M43-20,2,0.4,1.12591,0.636613,11182.954232576312
M43-20,3,0.7,1.12236,0.638594,10902.027869845684
M43-20,4,1.0,1.11967,0.639857,10687.970562755094
M43-20,5,1.3,1.11711,0.641435,10483.300659738077
M43-20,6,1.6,1.11451,0.643579,10274.470395061498
M43-20,7,2.0,1.1117,0.645181,10047.674732391824
M43-20,8,2.5,1.10863,0.647798,9798.580229652815
M43-20,9,3.0,1.10542,0.649787,9536.646704420045
M43-20,10,4.0,1.10029,0.653274,9114.869716165736
M43-20,11,5.0,1.09494,0.657442,8670.794746744115
M43-20,12,6.0,1.08999,0.661119,8256.039046229784
M43-20,13,7.0,1.08497,0.665238,7831.552946164409
