case_id,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment
A001,uniform,0.00,0,0.02,0
A002,uniform,0.00,0,0.03,0
A003,uniform,0.00,0,0.05,0
A004,uniform,0.30,0,0.02,0
A005,uniform,0.30,0,0.03,0
A006,uniform,0.30,0,0.05,0
A007,uniform,0.60,0,0.02,0
A008,uniform,0.60,0,0.03,0
A009,uniform,0.60,0,0.05,0
A010,uniform,0.90,0,0.02,0
A011,uniform,0.90,0,0.03,0
A012,uniform,0.90,0,0.05,0
B001,uniform,0.95,0,0,0.05
B002,uniform,0.90,0,0,0.10
B003,uniform,0.85,0,0,0.15
B004,uniform,0.80,0,0,0.20
B005,uniform,0.75,0,0,0.25
B006,uniform,0.70,0,0,0.30
B007,uniform,0.65,0,0,0.35
B008,uniform,0.60,0,0,0.40
B009,uniform,0.55,0,0,0.45
B010,uniform,0.50,0,0,0.50
B011,uniform,0.45,0,0,0.55
B012,uniform,0.40,0,0,0.60
C001,uniform,0.95,0.05,0,0
C002,uniform,0.90,0.10,0,0
C003,uniform,0.85,0.15,0,0
C004,uniform,0.80,0.20,0,0
C005,uniform,0.75,0.25,0,0
C006,uniform,0.70,0.30,0,0
C007,uniform,0.65,0.35,0,0
C008,uniform,0.60,0.40,0,0
C009,uniform,0.55,0.45,0,0
C010,uniform,0.50,0.50,0,0
C011,uniform,0.45,0.55,0,0
C012,uniform,0.40,0.60,0,0
D001,uniform,0.70,0.04,0.02,0
D002,uniform,0.70,0.04,0.03,0
D003,uniform,0.70,0.04,0.05,0
D004,uniform,0.70,0.06,0.02,0
D005,uniform,0.70,0.06,0.03,0
D006,uniform,0.70,0.06,0.05,0
D007,uniform,0.70,0.08,0.02,0
D008,uniform,0.70,0.08,0.03,0
D009,uniform,0.70,0.08,0.05,0
D010,uniform,0.80,0.04,0.02,0
D011,uniform,0.80,0.04,0.03,0
D012,uniform,0.80,0.04,0.05,0
D013,uniform,0.80,0.06,0.02,0
D014,uniform,0.80,0.06,0.03,0
D015,uniform,0.80,0.06,0.05,0
D016,uniform,0.80,0.08,0.02,0
D017,uniform,0.80,0.08,0.03,0
D018,uniform,0.80,0.08,0.05,0
D019,uniform,0.90,0.04,0.02,0
D020,uniform,0.90,0.04,0.03,0
D021,uniform,0.90,0.04,0.05,0
D022,uniform,0.90,0.06,0.02,0
D023,uniform,0.90,0.06,0.03,0
D024,uniform,0.90,0.06,0.05,0
D025,uniform,0.90,0.08,0.02,0
D026,uniform,0.90,0.08,0.03,0
D027,uniform,0.90,0.08,0.05,0
