BURN_STEP,burnup_MWd_kgHM,EFPD,Mdens_U233,Adens_U233,Mass_U233_kg
0,0.0,0.0,0.0,0.0,0.0
1,0.1,2.6315789473684212,6.09465e-11,1.57494e-13,3.1014383141841357e-09
2,0.400001,10.526342105263158,2.53172e-10,6.5423e-13,1.288338691932475e-08
3,0.700002,18.421105263157894,4.34211e-10,1.12206e-12,2.2096078229926372e-08
4,1.0,26.315789473684212,6.21783e-10,1.60677e-12,3.164122007512088e-08
5,1.3,34.21052631578947,8.07984e-10,2.08793e-12,4.111659463378134e-08
6,1.60001,42.105526315789476,9.90177e-10,2.55874e-12,5.038801056047361e-08
7,2.00001,52.63184210526316,1.23583e-09,3.19354e-12,6.288877149332907e-08
8,2.50001,65.78973684210527,1.54427e-09,3.99058e-12,7.858462988760857e-08
9,3.00001,78.94763157894737,1.83817e-09,4.75007e-12,9.354057847429882e-08
10,4.00001,105.26342105263157,2.41077e-09,6.22973e-12,1.2267897983781986e-07
11,5.00002,131.57947368421054,2.96368e-09,7.65852e-12,1.5081539880027957e-07
12,6.00002,157.89526315789473,3.49384e-09,9.02853e-12,1.777941184420615e-07
13,7.00002,184.21105263157895,4.01727e-09,1.03811e-11,2.0443036263645166e-07
14,8.00003,210.52710526315792,4.5098e-09,1.16539e-11,2.2949417127000918e-07
15,10.0,263.15789473684214,5.46101e-09,1.4112e-11,2.778992337237201e-07
16,12.0,315.7894736842105,6.31932e-09,1.63299e-11,3.2157681191848735e-07
17,14.0,368.42105263157896,7.09957e-09,1.83462e-11,3.612820820265686e-07
18,16.0001,421.05526315789473,7.8324e-09,2.02399e-11,3.9857424875941724e-07
19,18.0001,473.68684210526317,8.49385e-09,2.19492e-11,4.322340384588602e-07
20,20.0001,526.3184210526316,9.09425e-09,2.35007e-11,4.6278712294830835e-07
21,24.0001,631.5815789473685,1.00717e-08,2.60266e-11,5.125274834316713e-07
22,28.0001,736.8447368421052,1.07547e-08,2.77914e-11,5.472839069931189e-07
23,34.0001,894.7394736842107,1.13477e-08,2.9324e-11,5.77460421154083e-07
24,42.0002,1105.2684210526315,1.14273e-08,2.95295e-11,5.815110965793995e-07
25,50.0002,1315.7947368421053,1.08917e-08,2.81456e-11,5.542555468582995e-07
