BURN_STEP,burnup_MWd_kgHM,EFPD,Mdens_Pa233,Adens_Pa233,Mass_Pa233_kg
0,0.0,0.0,0.0,0.0,0.0
1,0.1,2.6315789473684212,2.0047e-16,5.1804e-19,1.0201493750166025e-14
2,0.400001,10.526342105263158,1.05003e-14,2.7134e-17,5.343380297544187e-13
3,0.700002,18.421105263157894,4.69227e-14,1.21254e-16,2.3877968314007847e-12
4,1.0,26.315789473684212,1.15968e-13,2.99677e-16,5.901365926169769e-12
5,1.3,34.21052631578947,2.1925e-13,5.66568e-16,1.1157168178400264e-11
6,1.60001,42.105526315789476,3.56366e-13,9.20895e-16,1.8134711037919218e-11
7,2.00001,52.63184210526316,5.89832e-13,1.5242e-15,3.0015301350066976e-11
8,2.50001,65.78973684210527,9.58719e-13,2.47745e-15,4.8787179561357916e-11
9,3.00001,78.94763157894737,1.40786e-12,3.63809e-15,7.16430138729423e-11
10,4.00001,105.26342105263157,2.52807e-12,6.53284e-15,1.2864812842311679e-10
11,5.00002,131.57947368421054,3.91976e-12,1.01292e-14,1.9946828524043886e-10
12,6.00002,157.89526315789473,5.5607e-12,1.43695e-14,2.829722467029891e-10
13,7.00002,184.21105263157895,7.43401e-12,1.92104e-14,3.783010253587656e-10
14,8.00003,210.52710526315792,9.52493e-12,2.46136e-14,4.847035160660891e-10
15,10.0,263.15789473684214,1.43092e-11,3.69767e-14,7.281648843711064e-10
16,12.0,315.7894736842105,1.98285e-11,5.12394e-14,1.009030372749873e-09
17,14.0,368.42105263157896,2.60096e-11,6.7212e-14,1.3235734615868622e-09
18,16.0001,421.05526315789473,3.27835e-11,8.47167e-14,1.6682828870083698e-09
19,18.0001,473.68684210526317,4.00888e-11,1.03595e-13,2.0400341330456216e-09
20,20.0001,526.3184210526316,4.78689e-11,1.23699e-13,2.4359469455645355e-09
21,24.0001,631.5815789473685,6.46661e-11,1.67105e-13,3.2907208809178993e-09
22,28.0001,736.8447368421052,8.28075e-11,2.13985e-13,4.213898307561596e-09
23,34.0001,894.7394736842107,1.11822e-10,2.88961e-13,5.6903847664541595e-09
24,42.0002,1105.2684210526315,1.52318e-10,3.9361e-13,7.751140445142859e-09
25,50.0002,1315.7947368421053,1.92883e-10,4.98433e-13,9.81540738770526e-09
