BURN_STEP,burnup_MWd_kgHM,EFPD,Mdens_Pu239,Adens_Pu239,Mass_Pu239_kg
0,0.0,0.0,0.0,0.0,0.0
1,0.1,2.6315789473684212,0.000108555,2.73464e-07,0.005524134055216606
2,0.400001,10.526342105263158,0.00100099,2.52164e-06,0.05093826123100059
3,0.700002,18.421105263157894,0.0020557,5.17857e-06,0.10461021949526761
4,1.0,26.315789473684212,0.0031072,7.82745e-06,0.15811882765758403
5,1.3,34.21052631578947,0.00413917,1.04271e-05,0.21063359547999555
6,1.60001,42.105526315789476,0.00515015,1.29739e-05,0.2620802266544498
7,2.00001,52.63184210526316,0.00646608,1.62889e-05,0.3290451175142093
8,2.50001,65.78973684210527,0.00806088,2.03064e-05,0.41020111209077814
9,3.00001,78.94763157894737,0.00960203,2.41888e-05,0.48862697178583664
10,4.00001,105.26342105263157,0.0125333,3.15732e-05,0.6377930943231199
11,5.00002,131.57947368421054,0.0152759,3.8482e-05,0.7773582001205227
12,6.00002,157.89526315789473,0.0178436,4.49503e-05,0.9080230153163191
13,7.00002,184.21105263157895,0.0202504,5.10135e-05,1.0304999702616955
14,8.00003,210.52710526315792,0.0225074,5.66992e-05,1.145353920449378
15,10.0,263.15789473684214,0.0266094,6.70325e-05,1.3540960133469737
16,12.0,315.7894736842105,0.0302139,7.61129e-05,1.5375213848363407
17,14.0,368.42105263157896,0.0333781,8.4084e-05,1.698540821780898
18,16.0001,421.05526315789473,0.036149,9.10642e-05,1.8395460546453417
19,18.0001,473.68684210526317,0.0385709,9.71652e-05,1.9627914166123546
20,20.0001,526.3184210526316,0.0406769,0.00010247,2.0699612965836702
21,24.0001,631.5815789473685,0.0440728,0.000111025,2.2427714558403613
22,28.0001,736.8447368421052,0.0465395,0.000117239,2.36829659493117
23,34.0001,894.7394736842107,0.0488797,0.000123134,2.487384416920189
24,42.0002,1105.2684210526315,0.0501708,0.000126387,2.553085761664237
25,50.0002,1315.7947368421053,0.0501063,0.000126224,2.5498034932605576
