BURN_STEP,burnup_MWd_kgHM,EFPD,Mdens_U235,Adens_U235,Mass_U235_kg
0,0.0,0.0,0.426735,0.00109333,21.71564042239287
1,0.1,2.6315789473684212,0.425684,0.00109064,21.662157258171668
2,0.400001,10.526342105263158,0.422543,0.00108259,21.50231842009479
3,0.700002,18.421105263157894,0.41942,0.00107459,21.34339556389801
4,1.0,26.315789473684212,0.416318,0.00106664,21.18554135322801
5,1.3,34.21052631578947,0.413235,0.00105875,21.028654012320334
6,1.60001,42.105526315789476,0.410172,0.0010509,20.87278442905721
7,2.00001,52.63184210526316,0.406118,0.00104051,20.666484954506537
8,2.50001,65.78973684210527,0.401097,0.00102765,20.41097689784178
9,3.00001,78.94763157894737,0.396127,0.00101491,20.158064123170636
10,4.00001,105.26342105263157,0.386331,0.000989817,19.659566428869113
11,5.00002,131.57947368421054,0.376722,0.000965198,19.17058476854415
12,6.00002,157.89526315789473,0.367292,0.000941036,18.690712039137924
13,7.00002,184.21105263157895,0.358033,0.000917314,18.21954113759262
14,8.00003,210.52710526315792,0.348939,0.000894015,17.756766736614868
15,10.0,263.15789473684214,0.331227,0.000848634,16.8554405665997
16,12.0,315.7894736842105,0.314123,0.000804811,15.98505422897891
17,14.0,368.42105263157896,0.297599,0.000762475,15.144182863050128
18,16.0001,421.05526315789473,0.281634,0.000721571,14.331757823286567
19,18.0001,473.68684210526317,0.266209,0.000682052,13.54681223992591
20,20.0001,526.3184210526316,0.25131,0.00064388,12.788633682616968
21,24.0001,631.5815789473685,0.223038,0.000571445,11.349931476278394
22,28.0001,736.8447368421052,0.19675,0.000504093,10.012190828279373
23,34.0001,894.7394736842107,0.16092,0.000412293,8.188878008064632
24,42.0002,1105.2684210526315,0.119722,0.000306738,6.092399036052161
25,50.0002,1315.7947368421053,0.0858769,0.000220025,4.370093573270977
