case,detector,G1,G2,G3,G4,G5,G6,G7
A003,det0,28893928300000.0,135812760000000.0,5997551500000000.0,7515217200000000.0,2.01188323e+16,4071407600000000.0,6.0348169e+16
A003,det1,28728519100000.0,135006340000000.0,5949923800000000.0,7632409500000000.0,2.07997211e+16,4208802900000000.0,6.238039e+16
A003,det2,28825446900000.0,135255853000000.0,5954305500000000.0,7648581800000000.0,2.09386035e+16,4237137300000000.0,6.2808485e+16
A003,det3,28838849400000.0,135263469000000.0,5955186000000000.0,7649482800000000.0,2.10374627e+16,4257479100000000.0,6.3116847e+16
A003,det4,28843549400000.0,135362742000000.0,5958276600000000.0,7651917300000000.0,2.11183877e+16,4274093000000000.0,6.3358159e+16
A003,det5,28918165800000.0,135674183000000.0,5964318400000000.0,7651343600000000.0,2.1188674e+16,4289036200000000.0,6.3579295e+16
A003,det6,28910505300000.0,135738773000000.0,5968783000000000.0,7650111800000000.0,2.12536622e+16,4300496600000000.0,6.3774214e+16
A003,det7,28997914600000.0,136039462000000.0,5977028500000000.0,7649828600000000.0,2.13386637e+16,4321536200000000.0,6.4054202e+16
A003,det8,29066124900000.0,136446259000000.0,5989412500000000.0,7650756200000000.0,2.14437791e+16,4343599500000000.0,6.4389382e+16
A003,det9,29133304100000.0,136854511000000.0,6005259400000000.0,7652654900000000.0,2.1550793e+16,4367885600000000.0,6.4739921e+16
A003,det10,29316903800000.0,137627394000000.0,6036664300000000.0,7662469400000000.0,2.17659731e+16,4412507500000000.0,6.5414572e+16
A003,det11,29528854100000.0,138863915000000.0,6075665400000000.0,7678222500000000.0,2.19814819e+16,4459299300000000.0,6.6111422e+16
A003,det12,29803293600000.0,140007900000000.0,6116755300000000.0,7698264900000000.0,2.22032088e+16,4507456600000000.0,6.6822011e+16
A003,det13,30052952000000.0,141148351000000.0,6164023500000000.0,7724244100000000.0,2.24206079e+16,4555174600000000.0,6.7524824e+16
A003,det14,30345053600000.0,142391504000000.0,6214050800000000.0,7753342300000000.0,2.26398811e+16,4602632200000000.0,6.8222523e+16
A003,det15,30962530000000.0,145419774000000.0,6325237200000000.0,7822244100000000.0,2.30748619e+16,4696394700000000.0,6.960671e+16
A003,det16,31598839100000.0,148560069000000.0,6446820800000000.0,7904514700000000.0,2.35125735e+16,4790039800000000.0,7.1003695e+16
A003,det17,32343184000000.0,152045074000000.0,6582351000000000.0,7998742400000000.0,2.39408377e+16,4881298500000000.0,7.2363312e+16
A003,det18,33182092700000.0,156011078000000.0,6730252300000000.0,8105878700000000.0,2.43854355e+16,4976785300000000.0,7.3753328e+16
A003,det19,34036129200000.0,160006507000000.0,6890165600000000.0,8224010600000000.0,2.48203411e+16,5069646400000000.0,7.5121993e+16
A003,det20,34959392600000.0,164438562000000.0,7060108100000000.0,8351928300000000.0,2.52583224e+16,5161410500000000.0,7.6481496e+16
A003,det21,36989902000000.0,174110147000000.0,7438367500000000.0,8639113700000000.0,2.61544294e+16,5352514600000000.0,7.9264629e+16
A003,det22,39329508000000.0,185088933000000.0,7864252200000000.0,8967691200000000.0,2.70739758e+16,5546431900000000.0,8.2102127e+16
A003,det23,43354796000000.0,203867091000000.0,8592872900000000.0,9534221100000000.0,2.85293539e+16,5849370300000000.0,8.6559632e+16
A003,det24,49637581000000.0,233507361000000.0,9740123600000000.0,1.04296477e+16,3.0609227e+16,6284939800000000.0,9.2965051e+16
A003,det25,56914312000000.0,267861564000000.0,1.10728786e+16,1.14671854e+16,3.2849314e+16,6753740500000000.0,9.9835523e+16
