BURN_STEP,burnup_MWd_kgHM,fissile_density_sum,FIR
0,0.0,4.2673500000e-01,1.0000000000
1,0.1,4.2579255585e-01,0.9977915002
2,0.400001,4.2354407015e-01,0.9925224557
3,0.700002,4.2147619820e-01,0.9876766569
4,1.0,4.1942675349e-01,0.9828740401
5,1.3,4.1737769230e-01,0.9780723219
6,1.60001,4.1532880841e-01,0.9732710193
7,2.00001,4.1259712654e-01,0.9668696651
8,2.50001,4.0918312104e-01,0.9588693710
9,3.00001,4.0577185534e-01,0.9508754973
10,4.00001,3.9896076831e-01,0.9349145683
11,5.00002,3.9217518096e-01,0.9190133946
12,6.00002,3.8542257249e-01,0.9031895028
13,7.00002,3.7870917502e-01,0.8874574971
14,8.00003,3.7203920551e-01,0.8718272593
15,10.0,3.5884415546e-01,0.8409063130
16,12.0,3.4585294632e-01,0.8104630422
17,14.0,3.3307835710e-01,0.7805273931
18,16.0001,3.2052864783e-01,0.7511187220
19,18.0001,3.0821456849e-01,0.7222622201
20,20.0001,2.9614067909e-01,0.6939685732
21,24.0001,2.7275897007e-01,0.6391764680
22,28.0001,2.5041896075e-01,0.5868254555
23,34.0001,2.1903948135e-01,0.5132915776
24,42.0002,1.8152671143e-01,0.4253851018
25,50.0002,1.4936781089e-01,0.3500247481
