candidate,BURN_STEP,burnup_MWd_kgHM,fissile_density_sum,FIR
A004,0,0.0,1.2024100000e-01,1.0000000000
A004,1,0.1,1.1940641223e-01,0.9930590417
A004,2,0.400002,1.1793035732e-01,0.9807832380
A004,3,0.700003,1.1690086315e-01,0.9722213151
A004,4,1.0,1.1603160180e-01,0.9649919894
A004,5,1.30001,1.1527185420e-01,0.9586734492
A004,6,1.60001,1.1459835110e-01,0.9530721726
A004,7,2.00001,1.1380706180e-01,0.9464913116
A004,8,2.50001,1.1294586600e-01,0.9393290641
A004,9,3.00001,1.1219001200e-01,0.9330429055
A004,10,4.00002,1.1087991600e-01,0.9221473208
A004,11,5.00002,1.0974034900e-01,0.9126699628
A004,12,6.00003,1.0870470000e-01,0.9040568525
A004,13,7.00003,1.0774076000e-01,0.8960401194
A004,14,8.00003,1.0683427000e-01,0.8885011768
A004,15,10.0,1.0516751000e-01,0.8746393493
A004,16,12.0001,1.0370381000e-01,0.8624662969
A004,17,14.0001,1.0242761000e-01,0.8518526127
A004,18,16.0001,1.0133512000e-01,0.8427667767
A004,19,18.0001,1.0041572000e-01,0.8351204664
A004,20,20.0001,9.9655470000e-02,0.8287977479
A004,21,24.0001,9.8535230000e-02,0.8194811254
A004,22,28.0001,9.7878160000e-02,0.8140165168
A004,23,34.0002,9.7508670000e-02,0.8109436049
A004,24,42.0002,9.7793800000e-02,0.8133149259
A004,25,50.0002,9.8627250000e-02,0.8202464218
A009,0,0.0,1.7294800000e-01,1.0000000000
A009,1,0.1,1.7202000026e-01,0.9946342268
A009,2,0.400002,1.6995108783e-01,0.9826715997
A009,3,0.700003,1.6830291484e-01,0.9731417238
A009,4,1.0,1.6688148513e-01,0.9649228967
A009,5,1.30001,1.6563382440e-01,0.9577088165
A009,6,1.60001,1.6452760500e-01,0.9513125622
A009,7,2.00001,1.6322695210e-01,0.9437920768
A009,8,2.50001,1.6181871230e-01,0.9356495149
A009,9,3.00001,1.6058599000e-01,0.9285218100
A009,10,4.00002,1.5847164700e-01,0.9162964995
A009,11,5.00002,1.5664248700e-01,0.9057201413
A009,12,6.00003,1.5498179700e-01,0.8961178909
A009,13,7.00003,1.5342839000e-01,0.8871359599
A009,14,8.00003,1.5195457000e-01,0.8786142077
A009,15,10.0,1.4919452000e-01,0.8626553646
A009,16,12.0001,1.4666360000e-01,0.8480213706
A009,17,14.0001,1.4434898000e-01,0.8346380415
A009,18,16.0001,1.4224470000e-01,0.8224709161
A009,19,18.0001,1.4033564000e-01,0.8114325693
A009,20,20.0001,1.3861539000e-01,0.8014859380
A009,21,24.0001,1.3570925000e-01,0.7846823901
A009,22,28.0001,1.3342112000e-01,0.7714522284
A009,23,34.0002,1.3096598000e-01,0.7572564008
A009,24,42.0002,1.2906727000e-01,0.7462778986
A009,25,50.0002,1.2828033000e-01,0.7417277448
