case,Th_level,Pu_level,U235_enrichment,U233_enrichment,BOL_KEFF,EOL_KEFF,BOL_CR,EOL_CR,max_burnup_MWd_kgHM
A001,0.00,0,0.02,0,1.24679,0.798374,0.536048,0.982676,50.0002
A002,0.00,0,0.03,0,1.35294,0.835801,0.429007,0.900219,50.0002
A003,0.00,0,0.05,0,1.45214,0.965006,0.336242,0.677319,50.0002
A004,0.30,0,0.02,0,0.992343,0.830551,0.924399,1.02606,50.0002
A005,0.30,0,0.03,0,1.12991,0.841726,0.704105,0.996467,50.0002
A006,0.30,0,0.05,0,1.27308,0.891081,0.521734,0.883307,50.0002
A007,0.60,0,0.02,0,0.696585,0.844809,1.70986,1.04607,50.0002
A008,0.60,0,0.03,0,0.852379,0.845595,1.2254,1.04,50.0002
A009,0.60,0,0.05,0,1.04254,0.85293,0.834912,1.01453,50.0002
A010,0.90,0,0.02,0,0.239056,0.863764,6.99708,1.04682,50.0002
A011,0.90,0,0.03,0,0.326902,0.863126,4.73684,1.047,50.0002
A012,0.90,0,0.05,0,0.473315,0.862002,2.92577,1.04767,50.0002
B001,0.95,0,0,0.05,1.57098,1.02956,0.360502,0.758946,50.0002
B002,0.90,0,0,0.10,1.76027,1.41344,0.227246,0.36203,50.0001
B003,0.85,0,0,0.15,1.84097,1.59603,0.178652,0.248264,50.0001
B004,0.80,0,0,0.20,1.89173,1.69807,0.150647,0.196828,50.0001
B005,0.75,0,0,0.25,1.93022,1.76748,0.130664,0.164989,50.0001
B006,0.70,0,0,0.30,1.96197,1.82044,0.115102,0.142344,50.0001
B007,0.65,0,0,0.35,1.98984,1.86385,0.101989,0.124428,50.0001
B008,0.60,0,0,0.40,2.01504,1.9012,0.0906643,0.109442,50.0001
B009,0.55,0,0,0.45,2.03825,1.93436,0.0805814,0.0965461,50.0001
B010,0.50,0,0,0.50,2.06003,1.96451,0.0713904,0.0852358,50.0001
B011,0.45,0,0,0.55,2.08054,1.99246,0.0629601,0.0749557,50.0001
B012,0.40,0,0,0.60,2.1002,2.01848,0.0551087,0.0656471,50.0001
C001,0.95,0.05,0,0,1.45039,0.908662,0.261523,0.880412,50.0002
C002,0.90,0.10,0,0,1.54468,1.13285,0.200141,0.502005,50.0001
C003,0.85,0.15,0,0,1.60069,1.23804,0.17101,0.394888,50.0001
C004,0.80,0.20,0,0,1.64556,1.31236,0.150744,0.335167,50.0001
C005,0.75,0.25,0,0,1.68482,1.37402,0.134702,0.292735,50.0001
C006,0.70,0.30,0,0,1.7207,1.42814,0.121095,0.259317,50.0001
C007,0.65,0.35,0,0,1.75402,1.47769,0.109183,0.231529,50.0001
C008,0.60,0.40,0,0,1.78547,1.5233,0.098451,0.207877,50.0001
C009,0.55,0.45,0,0,1.81555,1.56621,0.0885128,0.187159,50.0001
C010,0.50,0.50,0,0,1.84434,1.60674,0.0794024,0.168723,50.0001
C011,0.45,0.55,0,0,1.87192,1.64524,0.070911,0.152179,50.0001
C012,0.40,0.60,0,0,1.89869,1.68203,0.062835,0.137194,50.0001
D001,0.70,0.04,0.02,0,1.35326,0.910702,0.360989,0.889353,50.0002
D002,0.70,0.04,0.03,0,1.35864,0.9222,0.355825,0.863559,50.0002
D003,0.70,0.04,0.05,0,1.36879,0.945103,0.345854,0.814949,50.0002
D004,0.70,0.06,0.02,0,1.40516,0.991627,0.315952,0.732842,50.0002
D005,0.70,0.06,0.03,0,1.40827,1.00018,0.312572,0.71672,50.0002
D006,0.70,0.06,0.05,0,1.41446,1.01645,0.306132,0.686824,50.0002
D007,0.70,0.08,0.02,0,1.44187,1.05625,0.287242,0.629176,50.0002
D008,0.70,0.08,0.03,0,1.44409,1.06199,0.284775,0.619546,50.0002
D009,0.70,0.08,0.05,0,1.44821,1.07321,0.28024,0.600915,50.0002
D010,0.80,0.04,0.02,0,1.35332,0.897143,0.356589,0.919902,50.0002
D011,0.80,0.04,0.03,0,1.35691,0.904399,0.352982,0.902881,50.0002
D012,0.80,0.04,0.05,0,1.36384,0.919018,0.346373,0.869371,50.0002
D013,0.80,0.06,0.02,0,1.41001,0.98289,0.307844,0.745086,50.0002
D014,0.80,0.06,0.03,0,1.41211,0.988413,0.305792,0.734563,50.0002
D015,0.80,0.06,0.05,0,1.41603,0.998912,0.301754,0.714262,50.0002
D016,0.80,0.08,0.02,0,1.44996,1.05367,0.277238,0.62785,50.0002
D017,0.80,0.08,0.03,0,1.45119,1.05712,0.275715,0.622028,50.0002
D018,0.80,0.08,0.05,0,1.45367,1.06383,0.272994,0.610716,50.0002
D019,0.90,0.04,0.02,0,1.3648,0.881404,0.340585,0.954626,50.0002
D020,0.90,0.04,0.03,0,1.36635,0.884132,0.338845,0.948462,50.0002
D021,0.90,0.04,0.05,0,1.36946,0.88956,0.335887,0.934465,50.0002
D022,0.90,0.06,0.02,0,1.43115,0.974526,0.284842,0.753453,50.0002
D023,0.90,0.06,0.03,0,1.43195,0.976373,0.284028,0.749649,50.0002
D024,0.90,0.06,0.05,0,1.43347,0.979947,0.282415,0.742445,50.0002
D025,0.90,0.08,0.02,0,1.48304,1.05988,0.245281,0.60685,50.0002
D026,0.90,0.08,0.03,0,1.48342,1.06045,0.24478,0.605906,50.0002
D027,0.90,0.08,0.05,0,1.48399,1.06194,0.244152,0.603252,50.0002
